组合ID,主题,主题序号,组合内顺序,主题组合显示,剧本数量,主要核心主题
combo-b8241900,政治权力,2,1,政治权力 + 战争武略,153,战争武略
combo-b8241900,战争武略,7,2,政治权力 + 战争武略,153,战争武略
combo-29f389dd,家庭亲情,4,1,家庭亲情 + 战争武略,73,战争武略
combo-29f389dd,战争武略,7,2,家庭亲情 + 战争武略,73,战争武略
combo-a95186b5,婚恋姻缘,3,1,婚恋姻缘 + 家庭亲情,56,婚恋姻缘
combo-a95186b5,家庭亲情,4,2,婚恋姻缘 + 家庭亲情,56,婚恋姻缘
combo-140aa311,忠义家国,1,1,忠义家国 + 战争武略,47,战争武略
combo-140aa311,战争武略,7,2,忠义家国 + 战争武略,47,战争武略
combo-d8ac3995,除暴侠义,6,1,除暴侠义 + 战争武略,44,除暴侠义
combo-d8ac3995,战争武略,7,2,除暴侠义 + 战争武略,44,除暴侠义
combo-e50e2916,政治权力,2,1,政治权力 + 家庭亲情 + 战争武略,44,战争武略
combo-e50e2916,家庭亲情,4,2,政治权力 + 家庭亲情 + 战争武略,44,战争武略
combo-e50e2916,战争武略,7,3,政治权力 + 家庭亲情 + 战争武略,44,战争武略
combo-a8ac4946,战争武略,7,1,战争武略 + 善恶转化,37,战争武略
combo-a8ac4946,善恶转化,9,2,战争武略 + 善恶转化,37,战争武略
combo-d474f03d,战争武略,7,1,战争武略 + 恩怨报偿,37,战争武略
combo-d474f03d,恩怨报偿,8,2,战争武略 + 恩怨报偿,37,战争武略
combo-fbfd4b9a,婚恋姻缘,3,1,婚恋姻缘 + 家庭亲情 + 战争武略,33,婚恋姻缘
combo-fbfd4b9a,家庭亲情,4,2,婚恋姻缘 + 家庭亲情 + 战争武略,33,婚恋姻缘
combo-fbfd4b9a,战争武略,7,3,婚恋姻缘 + 家庭亲情 + 战争武略,33,婚恋姻缘
combo-d1914412,婚恋姻缘,3,1,婚恋姻缘 + 家庭亲情 + 文人世情,33,家庭亲情
combo-d1914412,家庭亲情,4,2,婚恋姻缘 + 家庭亲情 + 文人世情,33,家庭亲情
combo-d1914412,文人世情,12,3,婚恋姻缘 + 家庭亲情 + 文人世情,33,家庭亲情
combo-f02c3a74,家庭亲情,4,1,家庭亲情 + 宗教祥瑞,30,宗教祥瑞
combo-f02c3a74,宗教祥瑞,11,2,家庭亲情 + 宗教祥瑞,30,宗教祥瑞
combo-6bfa251f,家庭亲情,4,1,家庭亲情 + 礼教品格,29,家庭亲情
combo-6bfa251f,礼教品格,10,2,家庭亲情 + 礼教品格,29,家庭亲情
combo-26510932,家庭亲情,4,1,家庭亲情 + 公案冤狱,28,公案冤狱
combo-26510932,公案冤狱,5,2,家庭亲情 + 公案冤狱,28,公案冤狱
combo-ef44c7e3,政治权力,2,1,政治权力 + 家庭亲情,25,政治权力
combo-ef44c7e3,家庭亲情,4,2,政治权力 + 家庭亲情,25,政治权力
combo-00a071b5,婚恋姻缘,3,1,婚恋姻缘 + 文人世情,23,婚恋姻缘
combo-00a071b5,文人世情,12,2,婚恋姻缘 + 文人世情,23,婚恋姻缘
combo-7e87b6dc,政治权力,2,1,政治权力 + 公案冤狱,23,公案冤狱
combo-7e87b6dc,公案冤狱,5,2,政治权力 + 公案冤狱,23,公案冤狱
combo-903bda67,政治权力,2,1,政治权力 + 婚恋姻缘 + 家庭亲情,20,家庭亲情
combo-903bda67,婚恋姻缘,3,2,政治权力 + 婚恋姻缘 + 家庭亲情,20,家庭亲情
combo-903bda67,家庭亲情,4,3,政治权力 + 婚恋姻缘 + 家庭亲情,20,家庭亲情
combo-7453faeb,忠义家国,1,1,忠义家国 + 政治权力 + 战争武略,18,战争武略
combo-7453faeb,政治权力,2,2,忠义家国 + 政治权力 + 战争武略,18,战争武略
combo-7453faeb,战争武略,7,3,忠义家国 + 政治权力 + 战争武略,18,战争武略
combo-d79bb21d,公案冤狱,5,1,公案冤狱 + 宗教祥瑞,17,宗教祥瑞
combo-d79bb21d,宗教祥瑞,11,2,公案冤狱 + 宗教祥瑞,17,宗教祥瑞
combo-55f83682,忠义家国,1,1,忠义家国 + 政治权力,17,政治权力
combo-55f83682,政治权力,2,2,忠义家国 + 政治权力,17,政治权力
combo-1886bc15,政治权力,2,1,政治权力 + 战争武略 + 恩怨报偿,17,战争武略
combo-1886bc15,战争武略,7,2,政治权力 + 战争武略 + 恩怨报偿,17,战争武略
combo-1886bc15,恩怨报偿,8,3,政治权力 + 战争武略 + 恩怨报偿,17,战争武略
combo-7242ceb9,婚恋姻缘,3,1,婚恋姻缘 + 家庭亲情 + 礼教品格,16,婚恋姻缘
combo-7242ceb9,家庭亲情,4,2,婚恋姻缘 + 家庭亲情 + 礼教品格,16,婚恋姻缘
combo-7242ceb9,礼教品格,10,3,婚恋姻缘 + 家庭亲情 + 礼教品格,16,婚恋姻缘
combo-d8f4758f,除暴侠义,6,1,除暴侠义 + 善恶转化,15,除暴侠义
combo-d8f4758f,善恶转化,9,2,除暴侠义 + 善恶转化,15,除暴侠义
combo-a0cff0f6,政治权力,2,1,政治权力 + 战争武略 + 善恶转化,14,战争武略
combo-a0cff0f6,战争武略,7,2,政治权力 + 战争武略 + 善恶转化,14,战争武略
combo-a0cff0f6,善恶转化,9,3,政治权力 + 战争武略 + 善恶转化,14,战争武略
combo-b014fe84,政治权力,2,1,政治权力 + 礼教品格,13,礼教品格
combo-b014fe84,礼教品格,10,2,政治权力 + 礼教品格,13,礼教品格
combo-b648ebb9,政治权力,2,1,政治权力 + 战争武略 + 文人世情,13,战争武略
combo-b648ebb9,战争武略,7,2,政治权力 + 战争武略 + 文人世情,13,战争武略
combo-b648ebb9,文人世情,12,3,政治权力 + 战争武略 + 文人世情,13,战争武略
combo-42616e65,善恶转化,9,1,善恶转化 + 宗教祥瑞,12,宗教祥瑞
combo-42616e65,宗教祥瑞,11,2,善恶转化 + 宗教祥瑞,12,宗教祥瑞
combo-faca3e93,政治权力,2,1,政治权力 + 除暴侠义 + 战争武略,12,战争武略
combo-faca3e93,除暴侠义,6,2,政治权力 + 除暴侠义 + 战争武略,12,战争武略
combo-faca3e93,战争武略,7,3,政治权力 + 除暴侠义 + 战争武略,12,战争武略
combo-e4da1a41,除暴侠义,6,1,除暴侠义 + 恩怨报偿,11,除暴侠义
combo-e4da1a41,恩怨报偿,8,2,除暴侠义 + 恩怨报偿,11,除暴侠义
combo-1fb89352,家庭亲情,4,1,家庭亲情 + 文人世情,10,文人世情
combo-1fb89352,文人世情,12,2,家庭亲情 + 文人世情,10,文人世情
combo-e68fac5d,家庭亲情,4,1,家庭亲情 + 战争武略 + 宗教祥瑞,10,宗教祥瑞
combo-e68fac5d,战争武略,7,2,家庭亲情 + 战争武略 + 宗教祥瑞,10,宗教祥瑞
combo-e68fac5d,宗教祥瑞,11,3,家庭亲情 + 战争武略 + 宗教祥瑞,10,宗教祥瑞
combo-a3e9c1ba,家庭亲情,4,1,家庭亲情 + 除暴侠义 + 恩怨报偿,10,除暴侠义
combo-a3e9c1ba,除暴侠义,6,2,家庭亲情 + 除暴侠义 + 恩怨报偿,10,除暴侠义
combo-a3e9c1ba,恩怨报偿,8,3,家庭亲情 + 除暴侠义 + 恩怨报偿,10,除暴侠义
combo-241a6232,政治权力,2,1,政治权力 + 战争武略 + 礼教品格,10,战争武略
combo-241a6232,战争武略,7,2,政治权力 + 战争武略 + 礼教品格,10,战争武略
combo-241a6232,礼教品格,10,3,政治权力 + 战争武略 + 礼教品格,10,战争武略
combo-ee1d174d,家庭亲情,4,1,家庭亲情 + 战争武略 + 恩怨报偿,9,战争武略
combo-ee1d174d,战争武略,7,2,家庭亲情 + 战争武略 + 恩怨报偿,9,战争武略
combo-ee1d174d,恩怨报偿,8,3,家庭亲情 + 战争武略 + 恩怨报偿,9,战争武略
combo-a7dd6b69,家庭亲情,4,1,家庭亲情 + 战争武略 + 礼教品格,9,战争武略
combo-a7dd6b69,战争武略,7,2,家庭亲情 + 战争武略 + 礼教品格,9,战争武略
combo-a7dd6b69,礼教品格,10,3,家庭亲情 + 战争武略 + 礼教品格,9,战争武略
combo-f9c737db,家庭亲情,4,1,家庭亲情 + 礼教品格 + 文人世情,9,家庭亲情
combo-f9c737db,礼教品格,10,2,家庭亲情 + 礼教品格 + 文人世情,9,家庭亲情
combo-f9c737db,文人世情,12,3,家庭亲情 + 礼教品格 + 文人世情,9,家庭亲情
combo-03ef7106,家庭亲情,4,1,家庭亲情 + 除暴侠义 + 战争武略,9,战争武略
combo-03ef7106,除暴侠义,6,2,家庭亲情 + 除暴侠义 + 战争武略,9,战争武略
combo-03ef7106,战争武略,7,3,家庭亲情 + 除暴侠义 + 战争武略,9,战争武略
combo-c44bb174,忠义家国,1,1,忠义家国 + 政治权力 + 家庭亲情,9,忠义家国
combo-c44bb174,政治权力,2,2,忠义家国 + 政治权力 + 家庭亲情,9,忠义家国
combo-c44bb174,家庭亲情,4,3,忠义家国 + 政治权力 + 家庭亲情,9,忠义家国
combo-c603a257,政治权力,2,1,政治权力 + 家庭亲情 + 公案冤狱,9,公案冤狱
combo-c603a257,家庭亲情,4,2,政治权力 + 家庭亲情 + 公案冤狱,9,公案冤狱
combo-c603a257,公案冤狱,5,3,政治权力 + 家庭亲情 + 公案冤狱,9,公案冤狱
combo-e71758c8,政治权力,2,1,政治权力 + 家庭亲情 + 恩怨报偿,9,政治权力
combo-e71758c8,家庭亲情,4,2,政治权力 + 家庭亲情 + 恩怨报偿,9,政治权力
combo-e71758c8,恩怨报偿,8,3,政治权力 + 家庭亲情 + 恩怨报偿,9,政治权力
combo-29c00336,忠义家国,1,1,忠义家国 + 除暴侠义,8,除暴侠义
combo-29c00336,除暴侠义,6,2,忠义家国 + 除暴侠义,8,除暴侠义
combo-e3c555b3,家庭亲情,4,1,家庭亲情 + 宗教祥瑞 + 文人世情,8,家庭亲情
combo-e3c555b3,宗教祥瑞,11,2,家庭亲情 + 宗教祥瑞 + 文人世情,8,家庭亲情
combo-e3c555b3,文人世情,12,3,家庭亲情 + 宗教祥瑞 + 文人世情,8,家庭亲情
combo-80097bd4,战争武略,7,1,战争武略 + 恩怨报偿 + 善恶转化,8,战争武略
combo-80097bd4,恩怨报偿,8,2,战争武略 + 恩怨报偿 + 善恶转化,8,战争武略
combo-80097bd4,善恶转化,9,3,战争武略 + 恩怨报偿 + 善恶转化,8,战争武略
combo-bf2a650a,政治权力,2,1,政治权力 + 家庭亲情 + 礼教品格,8,政治权力
combo-bf2a650a,家庭亲情,4,2,政治权力 + 家庭亲情 + 礼教品格,8,政治权力
combo-bf2a650a,礼教品格,10,3,政治权力 + 家庭亲情 + 礼教品格,8,政治权力
combo-6d3620fa,家庭亲情,4,1,家庭亲情 + 恩怨报偿,7,家庭亲情
combo-6d3620fa,恩怨报偿,8,2,家庭亲情 + 恩怨报偿,7,家庭亲情
combo-fa9c434c,政治权力,2,1,政治权力 + 文人世情,7,文人世情
combo-fa9c434c,文人世情,12,2,政治权力 + 文人世情,7,文人世情
combo-aa56a19d,婚恋姻缘,3,1,婚恋姻缘 + 家庭亲情 + 公案冤狱,7,家庭亲情
combo-aa56a19d,家庭亲情,4,2,婚恋姻缘 + 家庭亲情 + 公案冤狱,7,家庭亲情
combo-aa56a19d,公案冤狱,5,3,婚恋姻缘 + 家庭亲情 + 公案冤狱,7,家庭亲情
combo-821c9277,婚恋姻缘,3,1,婚恋姻缘 + 战争武略 + 恩怨报偿,7,恩怨报偿
combo-821c9277,战争武略,7,2,婚恋姻缘 + 战争武略 + 恩怨报偿,7,恩怨报偿
combo-821c9277,恩怨报偿,8,3,婚恋姻缘 + 战争武略 + 恩怨报偿,7,恩怨报偿
combo-b0986cef,家庭亲情,4,1,家庭亲情 + 战争武略 + 善恶转化,7,家庭亲情
combo-b0986cef,战争武略,7,2,家庭亲情 + 战争武略 + 善恶转化,7,家庭亲情
combo-b0986cef,善恶转化,9,3,家庭亲情 + 战争武略 + 善恶转化,7,家庭亲情
combo-caa7729e,政治权力,2,1,政治权力 + 公案冤狱 + 战争武略,7,战争武略
combo-caa7729e,公案冤狱,5,2,政治权力 + 公案冤狱 + 战争武略,7,战争武略
combo-caa7729e,战争武略,7,3,政治权力 + 公案冤狱 + 战争武略,7,战争武略
combo-bd34e0fa,政治权力,2,1,政治权力 + 公案冤狱 + 除暴侠义,7,政治权力
combo-bd34e0fa,公案冤狱,5,2,政治权力 + 公案冤狱 + 除暴侠义,7,政治权力
combo-bd34e0fa,除暴侠义,6,3,政治权力 + 公案冤狱 + 除暴侠义,7,政治权力
combo-de874e80,政治权力,2,1,政治权力 + 家庭亲情 + 宗教祥瑞,7,家庭亲情
combo-de874e80,家庭亲情,4,2,政治权力 + 家庭亲情 + 宗教祥瑞,7,家庭亲情
combo-de874e80,宗教祥瑞,11,3,政治权力 + 家庭亲情 + 宗教祥瑞,7,家庭亲情
combo-e236d782,政治权力,2,1,政治权力 + 家庭亲情 + 战争武略 + 恩怨报偿,7,政治权力
combo-e236d782,家庭亲情,4,2,政治权力 + 家庭亲情 + 战争武略 + 恩怨报偿,7,政治权力
combo-e236d782,战争武略,7,3,政治权力 + 家庭亲情 + 战争武略 + 恩怨报偿,7,政治权力
combo-e236d782,恩怨报偿,8,4,政治权力 + 家庭亲情 + 战争武略 + 恩怨报偿,7,政治权力
combo-619ddc66,公案冤狱,5,1,公案冤狱 + 除暴侠义,6,除暴侠义
combo-619ddc66,除暴侠义,6,2,公案冤狱 + 除暴侠义,6,除暴侠义
combo-b941ae22,婚恋姻缘,3,1,婚恋姻缘 + 礼教品格,6,婚恋姻缘
combo-b941ae22,礼教品格,10,2,婚恋姻缘 + 礼教品格,6,婚恋姻缘
combo-6cbdec8f,宗教祥瑞,11,1,宗教祥瑞 + 文人世情,6,宗教祥瑞
combo-6cbdec8f,文人世情,12,2,宗教祥瑞 + 文人世情,6,宗教祥瑞
combo-74dc7e8c,婚恋姻缘,3,1,婚恋姻缘 + 家庭亲情 + 宗教祥瑞,6,婚恋姻缘
combo-74dc7e8c,家庭亲情,4,2,婚恋姻缘 + 家庭亲情 + 宗教祥瑞,6,婚恋姻缘
combo-74dc7e8c,宗教祥瑞,11,3,婚恋姻缘 + 家庭亲情 + 宗教祥瑞,6,婚恋姻缘
combo-3246b321,忠义家国,1,1,忠义家国 + 家庭亲情 + 战争武略,6,家庭亲情
combo-3246b321,家庭亲情,4,2,忠义家国 + 家庭亲情 + 战争武略,6,家庭亲情
combo-3246b321,战争武略,7,3,忠义家国 + 家庭亲情 + 战争武略,6,家庭亲情
combo-97084014,政治权力,2,1,政治权力 + 婚恋姻缘 + 文人世情,6,文人世情
combo-97084014,婚恋姻缘,3,2,政治权力 + 婚恋姻缘 + 文人世情,6,文人世情
combo-97084014,文人世情,12,3,政治权力 + 婚恋姻缘 + 文人世情,6,文人世情
combo-56734d03,政治权力,2,1,政治权力 + 婚恋姻缘 + 家庭亲情 + 文人世情,6,文人世情
combo-56734d03,婚恋姻缘,3,2,政治权力 + 婚恋姻缘 + 家庭亲情 + 文人世情,6,文人世情
combo-56734d03,家庭亲情,4,3,政治权力 + 婚恋姻缘 + 家庭亲情 + 文人世情,6,文人世情
combo-56734d03,文人世情,12,4,政治权力 + 婚恋姻缘 + 家庭亲情 + 文人世情,6,文人世情
combo-f435db67,婚恋姻缘,3,1,婚恋姻缘 + 家庭亲情 + 除暴侠义,5,家庭亲情
combo-f435db67,家庭亲情,4,2,婚恋姻缘 + 家庭亲情 + 除暴侠义,5,家庭亲情
combo-f435db67,除暴侠义,6,3,婚恋姻缘 + 家庭亲情 + 除暴侠义,5,家庭亲情
combo-c8717793,家庭亲情,4,1,家庭亲情 + 善恶转化 + 宗教祥瑞,5,宗教祥瑞
combo-c8717793,善恶转化,9,2,家庭亲情 + 善恶转化 + 宗教祥瑞,5,宗教祥瑞
combo-c8717793,宗教祥瑞,11,3,家庭亲情 + 善恶转化 + 宗教祥瑞,5,宗教祥瑞
combo-5bee18ce,忠义家国,1,1,忠义家国 + 政治权力 + 文人世情,5,政治权力
combo-5bee18ce,政治权力,2,2,忠义家国 + 政治权力 + 文人世情,5,政治权力
combo-5bee18ce,文人世情,12,3,忠义家国 + 政治权力 + 文人世情,5,政治权力
combo-ff6096a1,战争武略,7,1,战争武略 + 善恶转化 + 宗教祥瑞,5,善恶转化
combo-ff6096a1,善恶转化,9,2,战争武略 + 善恶转化 + 宗教祥瑞,5,善恶转化
combo-ff6096a1,宗教祥瑞,11,3,战争武略 + 善恶转化 + 宗教祥瑞,5,善恶转化
combo-0c82703a,战争武略,7,1,战争武略 + 恩怨报偿 + 宗教祥瑞,5,战争武略
combo-0c82703a,恩怨报偿,8,2,战争武略 + 恩怨报偿 + 宗教祥瑞,5,战争武略
combo-0c82703a,宗教祥瑞,11,3,战争武略 + 恩怨报偿 + 宗教祥瑞,5,战争武略
combo-324cb07c,政治权力,2,1,政治权力 + 婚恋姻缘 + 战争武略,5,战争武略
combo-324cb07c,婚恋姻缘,3,2,政治权力 + 婚恋姻缘 + 战争武略,5,战争武略
combo-324cb07c,战争武略,7,3,政治权力 + 婚恋姻缘 + 战争武略,5,战争武略
combo-c3ca3efe,政治权力,2,1,政治权力 + 礼教品格 + 文人世情,5,文人世情
combo-c3ca3efe,礼教品格,10,2,政治权力 + 礼教品格 + 文人世情,5,文人世情
combo-c3ca3efe,文人世情,12,3,政治权力 + 礼教品格 + 文人世情,5,文人世情
combo-2371bab9,婚恋姻缘,3,1,婚恋姻缘 + 家庭亲情 + 战争武略 + 善恶转化,5,战争武略
combo-2371bab9,家庭亲情,4,2,婚恋姻缘 + 家庭亲情 + 战争武略 + 善恶转化,5,战争武略
combo-2371bab9,战争武略,7,3,婚恋姻缘 + 家庭亲情 + 战争武略 + 善恶转化,5,战争武略
combo-2371bab9,善恶转化,9,4,婚恋姻缘 + 家庭亲情 + 战争武略 + 善恶转化,5,战争武略
combo-bdad6938,政治权力,2,1,政治权力 + 婚恋姻缘 + 家庭亲情 + 战争武略,5,婚恋姻缘
combo-bdad6938,婚恋姻缘,3,2,政治权力 + 婚恋姻缘 + 家庭亲情 + 战争武略,5,婚恋姻缘
combo-bdad6938,家庭亲情,4,3,政治权力 + 婚恋姻缘 + 家庭亲情 + 战争武略,5,婚恋姻缘
combo-bdad6938,战争武略,7,4,政治权力 + 婚恋姻缘 + 家庭亲情 + 战争武略,5,婚恋姻缘
combo-1cdee729,政治权力,2,1,政治权力 + 家庭亲情 + 战争武略 + 礼教品格,5,家庭亲情
combo-1cdee729,家庭亲情,4,2,政治权力 + 家庭亲情 + 战争武略 + 礼教品格,5,家庭亲情
combo-1cdee729,战争武略,7,3,政治权力 + 家庭亲情 + 战争武略 + 礼教品格,5,家庭亲情
combo-1cdee729,礼教品格,10,4,政治权力 + 家庭亲情 + 战争武略 + 礼教品格,5,家庭亲情
combo-806f22b1,恩怨报偿,8,1,恩怨报偿 + 宗教祥瑞,4,宗教祥瑞
combo-806f22b1,宗教祥瑞,11,2,恩怨报偿 + 宗教祥瑞,4,宗教祥瑞
combo-c3c02f8a,家庭亲情,4,1,家庭亲情 + 公案冤狱 + 文人世情,4,公案冤狱
combo-c3c02f8a,公案冤狱,5,2,家庭亲情 + 公案冤狱 + 文人世情,4,公案冤狱
combo-c3c02f8a,文人世情,12,3,家庭亲情 + 公案冤狱 + 文人世情,4,公案冤狱
combo-6e39cca7,家庭亲情,4,1,家庭亲情 + 恩怨报偿 + 善恶转化,4,善恶转化
combo-6e39cca7,恩怨报偿,8,2,家庭亲情 + 恩怨报偿 + 善恶转化,4,善恶转化
combo-6e39cca7,善恶转化,9,3,家庭亲情 + 恩怨报偿 + 善恶转化,4,善恶转化
combo-50f90a47,家庭亲情,4,1,家庭亲情 + 恩怨报偿 + 文人世情,4,恩怨报偿
combo-50f90a47,恩怨报偿,8,2,家庭亲情 + 恩怨报偿 + 文人世情,4,恩怨报偿
combo-50f90a47,文人世情,12,3,家庭亲情 + 恩怨报偿 + 文人世情,4,恩怨报偿
