组合ID,主题,主题序号,组合内顺序,主题组合显示,剧本数量,主要核心主题
combo-6492daf1,家庭亲情,4,2,婚恋姻缘 + 家庭亲情 + 礼教品格 + 宗教祥瑞,1,家庭亲情
combo-6492daf1,礼教品格,10,3,婚恋姻缘 + 家庭亲情 + 礼教品格 + 宗教祥瑞,1,家庭亲情
combo-6492daf1,宗教祥瑞,11,4,婚恋姻缘 + 家庭亲情 + 礼教品格 + 宗教祥瑞,1,家庭亲情
combo-dc6e2457,婚恋姻缘,3,1,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 善恶转化,1,家庭亲情
combo-dc6e2457,家庭亲情,4,2,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 善恶转化,1,家庭亲情
combo-dc6e2457,除暴侠义,6,3,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 善恶转化,1,家庭亲情
combo-dc6e2457,善恶转化,9,4,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 善恶转化,1,家庭亲情
combo-c498b0e4,家庭亲情,4,1,家庭亲情 + 公案冤狱 + 善恶转化 + 文人世情,1,善恶转化
combo-c498b0e4,公案冤狱,5,2,家庭亲情 + 公案冤狱 + 善恶转化 + 文人世情,1,善恶转化
combo-c498b0e4,善恶转化,9,3,家庭亲情 + 公案冤狱 + 善恶转化 + 文人世情,1,善恶转化
combo-c498b0e4,文人世情,12,4,家庭亲情 + 公案冤狱 + 善恶转化 + 文人世情,1,善恶转化
combo-dabcc6ac,家庭亲情,4,1,家庭亲情 + 公案冤狱 + 宗教祥瑞 + 文人世情,1,文人世情
combo-dabcc6ac,公案冤狱,5,2,家庭亲情 + 公案冤狱 + 宗教祥瑞 + 文人世情,1,文人世情
combo-dabcc6ac,宗教祥瑞,11,3,家庭亲情 + 公案冤狱 + 宗教祥瑞 + 文人世情,1,文人世情
combo-dabcc6ac,文人世情,12,4,家庭亲情 + 公案冤狱 + 宗教祥瑞 + 文人世情,1,文人世情
combo-ea32715b,家庭亲情,4,1,家庭亲情 + 公案冤狱 + 恩怨报偿 + 善恶转化,1,家庭亲情
combo-ea32715b,公案冤狱,5,2,家庭亲情 + 公案冤狱 + 恩怨报偿 + 善恶转化,1,家庭亲情
combo-ea32715b,恩怨报偿,8,3,家庭亲情 + 公案冤狱 + 恩怨报偿 + 善恶转化,1,家庭亲情
combo-ea32715b,善恶转化,9,4,家庭亲情 + 公案冤狱 + 恩怨报偿 + 善恶转化,1,家庭亲情
combo-182e7a62,家庭亲情,4,1,家庭亲情 + 公案冤狱 + 战争武略 + 宗教祥瑞,1,家庭亲情
combo-182e7a62,公案冤狱,5,2,家庭亲情 + 公案冤狱 + 战争武略 + 宗教祥瑞,1,家庭亲情
combo-182e7a62,战争武略,7,3,家庭亲情 + 公案冤狱 + 战争武略 + 宗教祥瑞,1,家庭亲情
combo-182e7a62,宗教祥瑞,11,4,家庭亲情 + 公案冤狱 + 战争武略 + 宗教祥瑞,1,家庭亲情
combo-05eba58c,家庭亲情,4,1,家庭亲情 + 公案冤狱 + 礼教品格 + 文人世情,1,公案冤狱
combo-05eba58c,公案冤狱,5,2,家庭亲情 + 公案冤狱 + 礼教品格 + 文人世情,1,公案冤狱
combo-05eba58c,礼教品格,10,3,家庭亲情 + 公案冤狱 + 礼教品格 + 文人世情,1,公案冤狱
combo-05eba58c,文人世情,12,4,家庭亲情 + 公案冤狱 + 礼教品格 + 文人世情,1,公案冤狱
combo-9fe088e8,家庭亲情,4,1,家庭亲情 + 公案冤狱 + 除暴侠义 + 战争武略,1,公案冤狱
combo-9fe088e8,公案冤狱,5,2,家庭亲情 + 公案冤狱 + 除暴侠义 + 战争武略,1,公案冤狱
combo-9fe088e8,除暴侠义,6,3,家庭亲情 + 公案冤狱 + 除暴侠义 + 战争武略,1,公案冤狱
combo-9fe088e8,战争武略,7,4,家庭亲情 + 公案冤狱 + 除暴侠义 + 战争武略,1,公案冤狱
combo-b29a5cad,家庭亲情,4,1,家庭亲情 + 善恶转化 + 礼教品格 + 文人世情,1,家庭亲情
combo-b29a5cad,善恶转化,9,2,家庭亲情 + 善恶转化 + 礼教品格 + 文人世情,1,家庭亲情
combo-b29a5cad,礼教品格,10,3,家庭亲情 + 善恶转化 + 礼教品格 + 文人世情,1,家庭亲情
combo-b29a5cad,文人世情,12,4,家庭亲情 + 善恶转化 + 礼教品格 + 文人世情,1,家庭亲情
combo-c281cc40,家庭亲情,4,1,家庭亲情 + 恩怨报偿 + 礼教品格 + 宗教祥瑞,1,宗教祥瑞
combo-c281cc40,恩怨报偿,8,2,家庭亲情 + 恩怨报偿 + 礼教品格 + 宗教祥瑞,1,宗教祥瑞
combo-c281cc40,礼教品格,10,3,家庭亲情 + 恩怨报偿 + 礼教品格 + 宗教祥瑞,1,宗教祥瑞
combo-c281cc40,宗教祥瑞,11,4,家庭亲情 + 恩怨报偿 + 礼教品格 + 宗教祥瑞,1,宗教祥瑞
combo-3c6c8d17,家庭亲情,4,1,家庭亲情 + 战争武略 + 善恶转化 + 文人世情,1,战争武略
combo-3c6c8d17,战争武略,7,2,家庭亲情 + 战争武略 + 善恶转化 + 文人世情,1,战争武略
combo-3c6c8d17,善恶转化,9,3,家庭亲情 + 战争武略 + 善恶转化 + 文人世情,1,战争武略
combo-3c6c8d17,文人世情,12,4,家庭亲情 + 战争武略 + 善恶转化 + 文人世情,1,战争武略
combo-b065e05d,家庭亲情,4,1,家庭亲情 + 战争武略 + 恩怨报偿 + 文人世情,1,恩怨报偿
combo-b065e05d,战争武略,7,2,家庭亲情 + 战争武略 + 恩怨报偿 + 文人世情,1,恩怨报偿
combo-b065e05d,恩怨报偿,8,3,家庭亲情 + 战争武略 + 恩怨报偿 + 文人世情,1,恩怨报偿
combo-b065e05d,文人世情,12,4,家庭亲情 + 战争武略 + 恩怨报偿 + 文人世情,1,恩怨报偿
combo-b00037ce,家庭亲情,4,1,家庭亲情 + 除暴侠义 + 恩怨报偿 + 善恶转化,1,善恶转化
combo-b00037ce,除暴侠义,6,2,家庭亲情 + 除暴侠义 + 恩怨报偿 + 善恶转化,1,善恶转化
combo-b00037ce,恩怨报偿,8,3,家庭亲情 + 除暴侠义 + 恩怨报偿 + 善恶转化,1,善恶转化
combo-b00037ce,善恶转化,9,4,家庭亲情 + 除暴侠义 + 恩怨报偿 + 善恶转化,1,善恶转化
combo-9139acff,家庭亲情,4,1,家庭亲情 + 除暴侠义 + 恩怨报偿 + 文人世情,1,家庭亲情
combo-9139acff,除暴侠义,6,2,家庭亲情 + 除暴侠义 + 恩怨报偿 + 文人世情,1,家庭亲情
combo-9139acff,恩怨报偿,8,3,家庭亲情 + 除暴侠义 + 恩怨报偿 + 文人世情,1,家庭亲情
combo-9139acff,文人世情,12,4,家庭亲情 + 除暴侠义 + 恩怨报偿 + 文人世情,1,家庭亲情
combo-1b5221d0,忠义家国,1,1,忠义家国 + 婚恋姻缘 + 家庭亲情 + 战争武略,1,忠义家国
combo-1b5221d0,婚恋姻缘,3,2,忠义家国 + 婚恋姻缘 + 家庭亲情 + 战争武略,1,忠义家国
combo-1b5221d0,家庭亲情,4,3,忠义家国 + 婚恋姻缘 + 家庭亲情 + 战争武略,1,忠义家国
combo-1b5221d0,战争武略,7,4,忠义家国 + 婚恋姻缘 + 家庭亲情 + 战争武略,1,忠义家国
combo-c03d00d5,忠义家国,1,1,忠义家国 + 婚恋姻缘 + 战争武略 + 礼教品格,1,忠义家国
combo-c03d00d5,婚恋姻缘,3,2,忠义家国 + 婚恋姻缘 + 战争武略 + 礼教品格,1,忠义家国
combo-c03d00d5,战争武略,7,3,忠义家国 + 婚恋姻缘 + 战争武略 + 礼教品格,1,忠义家国
combo-c03d00d5,礼教品格,10,4,忠义家国 + 婚恋姻缘 + 战争武略 + 礼教品格,1,忠义家国
combo-35e111b9,忠义家国,1,1,忠义家国 + 家庭亲情 + 宗教祥瑞 + 文人世情,1,家庭亲情
combo-35e111b9,家庭亲情,4,2,忠义家国 + 家庭亲情 + 宗教祥瑞 + 文人世情,1,家庭亲情
combo-35e111b9,宗教祥瑞,11,3,忠义家国 + 家庭亲情 + 宗教祥瑞 + 文人世情,1,家庭亲情
combo-35e111b9,文人世情,12,4,忠义家国 + 家庭亲情 + 宗教祥瑞 + 文人世情,1,家庭亲情
combo-05c38315,忠义家国,1,1,忠义家国 + 家庭亲情 + 战争武略 + 恩怨报偿,1,战争武略
combo-05c38315,家庭亲情,4,2,忠义家国 + 家庭亲情 + 战争武略 + 恩怨报偿,1,战争武略
combo-05c38315,战争武略,7,3,忠义家国 + 家庭亲情 + 战争武略 + 恩怨报偿,1,战争武略
combo-05c38315,恩怨报偿,8,4,忠义家国 + 家庭亲情 + 战争武略 + 恩怨报偿,1,战争武略
combo-f653081f,忠义家国,1,1,忠义家国 + 恩怨报偿 + 善恶转化 + 礼教品格,1,恩怨报偿
combo-f653081f,恩怨报偿,8,2,忠义家国 + 恩怨报偿 + 善恶转化 + 礼教品格,1,恩怨报偿
combo-f653081f,善恶转化,9,3,忠义家国 + 恩怨报偿 + 善恶转化 + 礼教品格,1,恩怨报偿
combo-f653081f,礼教品格,10,4,忠义家国 + 恩怨报偿 + 善恶转化 + 礼教品格,1,恩怨报偿
combo-49a774c2,忠义家国,1,1,忠义家国 + 政治权力 + 公案冤狱 + 战争武略,1,忠义家国
combo-49a774c2,政治权力,2,2,忠义家国 + 政治权力 + 公案冤狱 + 战争武略,1,忠义家国
combo-49a774c2,公案冤狱,5,3,忠义家国 + 政治权力 + 公案冤狱 + 战争武略,1,忠义家国
combo-49a774c2,战争武略,7,4,忠义家国 + 政治权力 + 公案冤狱 + 战争武略,1,忠义家国
combo-ff35aba0,忠义家国,1,1,忠义家国 + 政治权力 + 公案冤狱 + 文人世情,1,忠义家国
combo-ff35aba0,政治权力,2,2,忠义家国 + 政治权力 + 公案冤狱 + 文人世情,1,忠义家国
combo-ff35aba0,公案冤狱,5,3,忠义家国 + 政治权力 + 公案冤狱 + 文人世情,1,忠义家国
combo-ff35aba0,文人世情,12,4,忠义家国 + 政治权力 + 公案冤狱 + 文人世情,1,忠义家国
combo-0c1a5304,忠义家国,1,1,忠义家国 + 政治权力 + 婚恋姻缘 + 家庭亲情,1,忠义家国
combo-0c1a5304,政治权力,2,2,忠义家国 + 政治权力 + 婚恋姻缘 + 家庭亲情,1,忠义家国
combo-0c1a5304,婚恋姻缘,3,3,忠义家国 + 政治权力 + 婚恋姻缘 + 家庭亲情,1,忠义家国
combo-0c1a5304,家庭亲情,4,4,忠义家国 + 政治权力 + 婚恋姻缘 + 家庭亲情,1,忠义家国
combo-d5791387,忠义家国,1,1,忠义家国 + 政治权力 + 婚恋姻缘 + 礼教品格,1,政治权力
combo-d5791387,政治权力,2,2,忠义家国 + 政治权力 + 婚恋姻缘 + 礼教品格,1,政治权力
combo-d5791387,婚恋姻缘,3,3,忠义家国 + 政治权力 + 婚恋姻缘 + 礼教品格,1,政治权力
combo-d5791387,礼教品格,10,4,忠义家国 + 政治权力 + 婚恋姻缘 + 礼教品格,1,政治权力
combo-b4f73c09,忠义家国,1,1,忠义家国 + 政治权力 + 家庭亲情 + 公案冤狱,1,忠义家国
combo-b4f73c09,政治权力,2,2,忠义家国 + 政治权力 + 家庭亲情 + 公案冤狱,1,忠义家国
combo-b4f73c09,家庭亲情,4,3,忠义家国 + 政治权力 + 家庭亲情 + 公案冤狱,1,忠义家国
combo-b4f73c09,公案冤狱,5,4,忠义家国 + 政治权力 + 家庭亲情 + 公案冤狱,1,忠义家国
combo-501bd5f4,忠义家国,1,1,忠义家国 + 政治权力 + 战争武略 + 善恶转化,1,善恶转化
combo-501bd5f4,政治权力,2,2,忠义家国 + 政治权力 + 战争武略 + 善恶转化,1,善恶转化
combo-501bd5f4,战争武略,7,3,忠义家国 + 政治权力 + 战争武略 + 善恶转化,1,善恶转化
combo-501bd5f4,善恶转化,9,4,忠义家国 + 政治权力 + 战争武略 + 善恶转化,1,善恶转化
combo-761a8304,忠义家国,1,1,忠义家国 + 政治权力 + 战争武略 + 文人世情,1,政治权力
combo-761a8304,政治权力,2,2,忠义家国 + 政治权力 + 战争武略 + 文人世情,1,政治权力
combo-761a8304,战争武略,7,3,忠义家国 + 政治权力 + 战争武略 + 文人世情,1,政治权力
combo-761a8304,文人世情,12,4,忠义家国 + 政治权力 + 战争武略 + 文人世情,1,政治权力
combo-4ac1ebd0,忠义家国,1,1,忠义家国 + 政治权力 + 战争武略 + 礼教品格,1,忠义家国
combo-4ac1ebd0,政治权力,2,2,忠义家国 + 政治权力 + 战争武略 + 礼教品格,1,忠义家国
combo-4ac1ebd0,战争武略,7,3,忠义家国 + 政治权力 + 战争武略 + 礼教品格,1,忠义家国
combo-4ac1ebd0,礼教品格,10,4,忠义家国 + 政治权力 + 战争武略 + 礼教品格,1,忠义家国
combo-63a0fecf,忠义家国,1,1,忠义家国 + 政治权力 + 除暴侠义 + 文人世情,1,除暴侠义
combo-63a0fecf,政治权力,2,2,忠义家国 + 政治权力 + 除暴侠义 + 文人世情,1,除暴侠义
combo-63a0fecf,除暴侠义,6,3,忠义家国 + 政治权力 + 除暴侠义 + 文人世情,1,除暴侠义
combo-63a0fecf,文人世情,12,4,忠义家国 + 政治权力 + 除暴侠义 + 文人世情,1,除暴侠义
combo-f83be50a,忠义家国,1,1,忠义家国 + 除暴侠义 + 战争武略 + 恩怨报偿,1,除暴侠义
combo-f83be50a,除暴侠义,6,2,忠义家国 + 除暴侠义 + 战争武略 + 恩怨报偿,1,除暴侠义
combo-f83be50a,战争武略,7,3,忠义家国 + 除暴侠义 + 战争武略 + 恩怨报偿,1,除暴侠义
combo-f83be50a,恩怨报偿,8,4,忠义家国 + 除暴侠义 + 战争武略 + 恩怨报偿,1,除暴侠义
combo-4fa19c7f,战争武略,7,1,战争武略 + 恩怨报偿 + 礼教品格 + 文人世情,1,礼教品格
combo-4fa19c7f,恩怨报偿,8,2,战争武略 + 恩怨报偿 + 礼教品格 + 文人世情,1,礼教品格
combo-4fa19c7f,礼教品格,10,3,战争武略 + 恩怨报偿 + 礼教品格 + 文人世情,1,礼教品格
combo-4fa19c7f,文人世情,12,4,战争武略 + 恩怨报偿 + 礼教品格 + 文人世情,1,礼教品格
combo-af8515a3,政治权力,2,1,政治权力 + 公案冤狱 + 战争武略 + 善恶转化,1,政治权力
combo-af8515a3,公案冤狱,5,2,政治权力 + 公案冤狱 + 战争武略 + 善恶转化,1,政治权力
combo-af8515a3,战争武略,7,3,政治权力 + 公案冤狱 + 战争武略 + 善恶转化,1,政治权力
combo-af8515a3,善恶转化,9,4,政治权力 + 公案冤狱 + 战争武略 + 善恶转化,1,政治权力
combo-82c9a138,政治权力,2,1,政治权力 + 公案冤狱 + 战争武略 + 文人世情,1,政治权力
combo-82c9a138,公案冤狱,5,2,政治权力 + 公案冤狱 + 战争武略 + 文人世情,1,政治权力
combo-82c9a138,战争武略,7,3,政治权力 + 公案冤狱 + 战争武略 + 文人世情,1,政治权力
combo-82c9a138,文人世情,12,4,政治权力 + 公案冤狱 + 战争武略 + 文人世情,1,政治权力
combo-421fbc18,政治权力,2,1,政治权力 + 婚恋姻缘 + 战争武略 + 恩怨报偿,1,恩怨报偿
combo-421fbc18,婚恋姻缘,3,2,政治权力 + 婚恋姻缘 + 战争武略 + 恩怨报偿,1,恩怨报偿
combo-421fbc18,战争武略,7,3,政治权力 + 婚恋姻缘 + 战争武略 + 恩怨报偿,1,恩怨报偿
combo-421fbc18,恩怨报偿,8,4,政治权力 + 婚恋姻缘 + 战争武略 + 恩怨报偿,1,恩怨报偿
combo-e88083df,政治权力,2,1,政治权力 + 婚恋姻缘 + 战争武略 + 礼教品格,1,婚恋姻缘
combo-e88083df,婚恋姻缘,3,2,政治权力 + 婚恋姻缘 + 战争武略 + 礼教品格,1,婚恋姻缘
combo-e88083df,战争武略,7,3,政治权力 + 婚恋姻缘 + 战争武略 + 礼教品格,1,婚恋姻缘
combo-e88083df,礼教品格,10,4,政治权力 + 婚恋姻缘 + 战争武略 + 礼教品格,1,婚恋姻缘
combo-528003ee,政治权力,2,1,政治权力 + 家庭亲情 + 公案冤狱 + 善恶转化,1,公案冤狱
combo-528003ee,家庭亲情,4,2,政治权力 + 家庭亲情 + 公案冤狱 + 善恶转化,1,公案冤狱
combo-528003ee,公案冤狱,5,3,政治权力 + 家庭亲情 + 公案冤狱 + 善恶转化,1,公案冤狱
combo-528003ee,善恶转化,9,4,政治权力 + 家庭亲情 + 公案冤狱 + 善恶转化,1,公案冤狱
combo-d9ed845e,政治权力,2,1,政治权力 + 家庭亲情 + 公案冤狱 + 除暴侠义,1,除暴侠义
combo-d9ed845e,家庭亲情,4,2,政治权力 + 家庭亲情 + 公案冤狱 + 除暴侠义,1,除暴侠义
combo-d9ed845e,公案冤狱,5,3,政治权力 + 家庭亲情 + 公案冤狱 + 除暴侠义,1,除暴侠义
combo-d9ed845e,除暴侠义,6,4,政治权力 + 家庭亲情 + 公案冤狱 + 除暴侠义,1,除暴侠义
combo-8e7c3200,政治权力,2,1,政治权力 + 家庭亲情 + 善恶转化 + 文人世情,1,政治权力
combo-8e7c3200,家庭亲情,4,2,政治权力 + 家庭亲情 + 善恶转化 + 文人世情,1,政治权力
combo-8e7c3200,善恶转化,9,3,政治权力 + 家庭亲情 + 善恶转化 + 文人世情,1,政治权力
combo-8e7c3200,文人世情,12,4,政治权力 + 家庭亲情 + 善恶转化 + 文人世情,1,政治权力
combo-6c63857b,政治权力,2,1,政治权力 + 家庭亲情 + 宗教祥瑞 + 文人世情,1,家庭亲情
combo-6c63857b,家庭亲情,4,2,政治权力 + 家庭亲情 + 宗教祥瑞 + 文人世情,1,家庭亲情
combo-6c63857b,宗教祥瑞,11,3,政治权力 + 家庭亲情 + 宗教祥瑞 + 文人世情,1,家庭亲情
combo-6c63857b,文人世情,12,4,政治权力 + 家庭亲情 + 宗教祥瑞 + 文人世情,1,家庭亲情
combo-85369357,政治权力,2,1,政治权力 + 家庭亲情 + 恩怨报偿 + 善恶转化,1,善恶转化
combo-85369357,家庭亲情,4,2,政治权力 + 家庭亲情 + 恩怨报偿 + 善恶转化,1,善恶转化
combo-85369357,恩怨报偿,8,3,政治权力 + 家庭亲情 + 恩怨报偿 + 善恶转化,1,善恶转化
combo-85369357,善恶转化,9,4,政治权力 + 家庭亲情 + 恩怨报偿 + 善恶转化,1,善恶转化
combo-c1a7c6cc,政治权力,2,1,政治权力 + 家庭亲情 + 战争武略 + 宗教祥瑞,1,宗教祥瑞
combo-c1a7c6cc,家庭亲情,4,2,政治权力 + 家庭亲情 + 战争武略 + 宗教祥瑞,1,宗教祥瑞
combo-c1a7c6cc,战争武略,7,3,政治权力 + 家庭亲情 + 战争武略 + 宗教祥瑞,1,宗教祥瑞
combo-c1a7c6cc,宗教祥瑞,11,4,政治权力 + 家庭亲情 + 战争武略 + 宗教祥瑞,1,宗教祥瑞
combo-e59747cd,政治权力,2,1,政治权力 + 恩怨报偿 + 善恶转化 + 文人世情,1,善恶转化
combo-e59747cd,恩怨报偿,8,2,政治权力 + 恩怨报偿 + 善恶转化 + 文人世情,1,善恶转化
combo-e59747cd,善恶转化,9,3,政治权力 + 恩怨报偿 + 善恶转化 + 文人世情,1,善恶转化
combo-e59747cd,文人世情,12,4,政治权力 + 恩怨报偿 + 善恶转化 + 文人世情,1,善恶转化
combo-bfc081de,政治权力,2,1,政治权力 + 恩怨报偿 + 礼教品格 + 宗教祥瑞,1,礼教品格
combo-bfc081de,恩怨报偿,8,2,政治权力 + 恩怨报偿 + 礼教品格 + 宗教祥瑞,1,礼教品格
combo-bfc081de,礼教品格,10,3,政治权力 + 恩怨报偿 + 礼教品格 + 宗教祥瑞,1,礼教品格
combo-bfc081de,宗教祥瑞,11,4,政治权力 + 恩怨报偿 + 礼教品格 + 宗教祥瑞,1,礼教品格
combo-aff1a493,政治权力,2,1,政治权力 + 战争武略 + 恩怨报偿 + 礼教品格,1,恩怨报偿
combo-aff1a493,战争武略,7,2,政治权力 + 战争武略 + 恩怨报偿 + 礼教品格,1,恩怨报偿
combo-aff1a493,恩怨报偿,8,3,政治权力 + 战争武略 + 恩怨报偿 + 礼教品格,1,恩怨报偿
combo-aff1a493,礼教品格,10,4,政治权力 + 战争武略 + 恩怨报偿 + 礼教品格,1,恩怨报偿
combo-c59356a8,政治权力,2,1,政治权力 + 除暴侠义 + 战争武略 + 文人世情,1,战争武略
combo-c59356a8,除暴侠义,6,2,政治权力 + 除暴侠义 + 战争武略 + 文人世情,1,战争武略
combo-c59356a8,战争武略,7,3,政治权力 + 除暴侠义 + 战争武略 + 文人世情,1,战争武略
combo-c59356a8,文人世情,12,4,政治权力 + 除暴侠义 + 战争武略 + 文人世情,1,战争武略
