数据范围,主题组合ID,矩阵行排序,主题,主题序号,组合内顺序,剧本数量,主题组合显示,主要核心主题,主要核心关系
全量,T0207,1,政治权力,2,1,153,政治权力 + 战争武略,战争武略,权力关系
全量,T0207,1,战争武略,7,2,153,政治权力 + 战争武略,战争武略,权力关系
全量,T0407,2,家庭亲情,4,1,73,家庭亲情 + 战争武略,战争武略,亲属关系
全量,T0407,2,战争武略,7,2,73,家庭亲情 + 战争武略,战争武略,亲属关系
全量,T0304,3,婚恋姻缘,3,1,56,婚恋姻缘 + 家庭亲情,婚恋姻缘,婚恋关系
全量,T0304,3,家庭亲情,4,2,56,婚恋姻缘 + 家庭亲情,婚恋姻缘,婚恋关系
全量,T0107,4,忠义家国,1,1,47,忠义家国 + 战争武略,战争武略,冲突关系
全量,T0107,4,战争武略,7,2,47,忠义家国 + 战争武略,战争武略,冲突关系
全量,T0607,5,除暴侠义,6,1,44,除暴侠义 + 战争武略,除暴侠义,冲突关系
全量,T0607,5,战争武略,7,2,44,除暴侠义 + 战争武略,除暴侠义,冲突关系
全量,T020407,6,政治权力,2,1,44,政治权力 + 家庭亲情 + 战争武略,战争武略,权力关系
全量,T020407,6,家庭亲情,4,2,44,政治权力 + 家庭亲情 + 战争武略,战争武略,权力关系
全量,T020407,6,战争武略,7,3,44,政治权力 + 家庭亲情 + 战争武略,战争武略,权力关系
全量,T0708,7,战争武略,7,1,37,战争武略 + 恩怨报偿,战争武略,冲突关系
全量,T0708,7,恩怨报偿,8,2,37,战争武略 + 恩怨报偿,战争武略,冲突关系
全量,T0709,8,战争武略,7,1,37,战争武略 + 善恶转化,战争武略,冲突关系
全量,T0709,8,善恶转化,9,2,37,战争武略 + 善恶转化,战争武略,冲突关系
全量,T030412,9,婚恋姻缘,3,1,33,婚恋姻缘 + 家庭亲情 + 文人世情,家庭亲情,婚恋关系
全量,T030412,9,家庭亲情,4,2,33,婚恋姻缘 + 家庭亲情 + 文人世情,家庭亲情,婚恋关系
全量,T030412,9,文人世情,12,3,33,婚恋姻缘 + 家庭亲情 + 文人世情,家庭亲情,婚恋关系
全量,T030407,10,婚恋姻缘,3,1,33,婚恋姻缘 + 家庭亲情 + 战争武略,婚恋姻缘,婚恋关系
全量,T030407,10,家庭亲情,4,2,33,婚恋姻缘 + 家庭亲情 + 战争武略,婚恋姻缘,婚恋关系
全量,T030407,10,战争武略,7,3,33,婚恋姻缘 + 家庭亲情 + 战争武略,婚恋姻缘,婚恋关系
全量,T0411,11,家庭亲情,4,1,30,家庭亲情 + 宗教祥瑞,宗教祥瑞,亲属关系
全量,T0411,11,宗教祥瑞,11,2,30,家庭亲情 + 宗教祥瑞,宗教祥瑞,亲属关系
全量,T0410,12,家庭亲情,4,1,29,家庭亲情 + 礼教品格,家庭亲情,亲属关系
全量,T0410,12,礼教品格,10,2,29,家庭亲情 + 礼教品格,家庭亲情,亲属关系
全量,T0405,13,家庭亲情,4,1,28,家庭亲情 + 公案冤狱,公案冤狱,审判与恩怨关系
全量,T0405,13,公案冤狱,5,2,28,家庭亲情 + 公案冤狱,公案冤狱,审判与恩怨关系
全量,T0204,14,政治权力,2,1,25,政治权力 + 家庭亲情,政治权力,权力关系
全量,T0204,14,家庭亲情,4,2,25,政治权力 + 家庭亲情,政治权力,权力关系
全量,T0205,15,政治权力,2,1,23,政治权力 + 公案冤狱,公案冤狱,审判与恩怨关系
全量,T0205,15,公案冤狱,5,2,23,政治权力 + 公案冤狱,公案冤狱,审判与恩怨关系
全量,T0312,16,婚恋姻缘,3,1,23,婚恋姻缘 + 文人世情,婚恋姻缘,婚恋关系
全量,T0312,16,文人世情,12,2,23,婚恋姻缘 + 文人世情,婚恋姻缘,婚恋关系
全量,T020304,17,政治权力,2,1,20,政治权力 + 婚恋姻缘 + 家庭亲情,家庭亲情,亲属关系
全量,T020304,17,婚恋姻缘,3,2,20,政治权力 + 婚恋姻缘 + 家庭亲情,家庭亲情,亲属关系
全量,T020304,17,家庭亲情,4,3,20,政治权力 + 婚恋姻缘 + 家庭亲情,家庭亲情,亲属关系
全量,T010207,18,忠义家国,1,1,18,忠义家国 + 政治权力 + 战争武略,战争武略,权力关系
全量,T010207,18,政治权力,2,2,18,忠义家国 + 政治权力 + 战争武略,战争武略,权力关系
全量,T010207,18,战争武略,7,3,18,忠义家国 + 政治权力 + 战争武略,战争武略,权力关系
全量,T0102,19,忠义家国,1,1,17,忠义家国 + 政治权力,政治权力,权力关系
全量,T0102,19,政治权力,2,2,17,忠义家国 + 政治权力,政治权力,权力关系
全量,T0511,20,公案冤狱,5,1,17,公案冤狱 + 宗教祥瑞,宗教祥瑞,审判与恩怨关系
全量,T0511,20,宗教祥瑞,11,2,17,公案冤狱 + 宗教祥瑞,宗教祥瑞,审判与恩怨关系
全量,T020708,21,政治权力,2,1,17,政治权力 + 战争武略 + 恩怨报偿,战争武略,冲突关系
全量,T020708,21,战争武略,7,2,17,政治权力 + 战争武略 + 恩怨报偿,战争武略,冲突关系
全量,T020708,21,恩怨报偿,8,3,17,政治权力 + 战争武略 + 恩怨报偿,战争武略,冲突关系
全量,T030410,22,婚恋姻缘,3,1,16,婚恋姻缘 + 家庭亲情 + 礼教品格,婚恋姻缘,婚恋关系
全量,T030410,22,家庭亲情,4,2,16,婚恋姻缘 + 家庭亲情 + 礼教品格,婚恋姻缘,婚恋关系
全量,T030410,22,礼教品格,10,3,16,婚恋姻缘 + 家庭亲情 + 礼教品格,婚恋姻缘,婚恋关系
全量,T0609,23,除暴侠义,6,1,15,除暴侠义 + 善恶转化,除暴侠义,同盟关系
全量,T0609,23,善恶转化,9,2,15,除暴侠义 + 善恶转化,除暴侠义,同盟关系
全量,T020709,24,政治权力,2,1,14,政治权力 + 战争武略 + 善恶转化,战争武略,权力关系
全量,T020709,24,战争武略,7,2,14,政治权力 + 战争武略 + 善恶转化,战争武略,权力关系
全量,T020709,24,善恶转化,9,3,14,政治权力 + 战争武略 + 善恶转化,战争武略,权力关系
全量,T0210,25,政治权力,2,1,13,政治权力 + 礼教品格,礼教品格,权力关系
全量,T0210,25,礼教品格,10,2,13,政治权力 + 礼教品格,礼教品格,权力关系
全量,T020712,26,政治权力,2,1,13,政治权力 + 战争武略 + 文人世情,战争武略,权力关系
全量,T020712,26,战争武略,7,2,13,政治权力 + 战争武略 + 文人世情,战争武略,权力关系
全量,T020712,26,文人世情,12,3,13,政治权力 + 战争武略 + 文人世情,战争武略,权力关系
全量,T0911,27,善恶转化,9,1,12,善恶转化 + 宗教祥瑞,宗教祥瑞,亲属关系
全量,T0911,27,宗教祥瑞,11,2,12,善恶转化 + 宗教祥瑞,宗教祥瑞,亲属关系
全量,T020607,28,政治权力,2,1,12,政治权力 + 除暴侠义 + 战争武略,战争武略,权力关系
全量,T020607,28,除暴侠义,6,2,12,政治权力 + 除暴侠义 + 战争武略,战争武略,权力关系
全量,T020607,28,战争武略,7,3,12,政治权力 + 除暴侠义 + 战争武略,战争武略,权力关系
全量,T0608,29,除暴侠义,6,1,11,除暴侠义 + 恩怨报偿,除暴侠义,审判与恩怨关系
全量,T0608,29,恩怨报偿,8,2,11,除暴侠义 + 恩怨报偿,除暴侠义,审判与恩怨关系
全量,T0412,30,家庭亲情,4,1,10,家庭亲情 + 文人世情,文人世情,亲属关系
全量,T0412,30,文人世情,12,2,10,家庭亲情 + 文人世情,文人世情,亲属关系
全量,T020710,31,政治权力,2,1,10,政治权力 + 战争武略 + 礼教品格,战争武略,权力关系
全量,T020710,31,战争武略,7,2,10,政治权力 + 战争武略 + 礼教品格,战争武略,权力关系
全量,T020710,31,礼教品格,10,3,10,政治权力 + 战争武略 + 礼教品格,战争武略,权力关系
全量,T040608,32,家庭亲情,4,1,10,家庭亲情 + 除暴侠义 + 恩怨报偿,除暴侠义,亲属关系
全量,T040608,32,除暴侠义,6,2,10,家庭亲情 + 除暴侠义 + 恩怨报偿,除暴侠义,亲属关系
全量,T040608,32,恩怨报偿,8,3,10,家庭亲情 + 除暴侠义 + 恩怨报偿,除暴侠义,亲属关系
全量,T040711,33,家庭亲情,4,1,10,家庭亲情 + 战争武略 + 宗教祥瑞,宗教祥瑞,冲突关系
全量,T040711,33,战争武略,7,2,10,家庭亲情 + 战争武略 + 宗教祥瑞,宗教祥瑞,冲突关系
全量,T040711,33,宗教祥瑞,11,3,10,家庭亲情 + 战争武略 + 宗教祥瑞,宗教祥瑞,冲突关系
全量,T010204,34,忠义家国,1,1,9,忠义家国 + 政治权力 + 家庭亲情,忠义家国,冲突关系
全量,T010204,34,政治权力,2,2,9,忠义家国 + 政治权力 + 家庭亲情,忠义家国,冲突关系
全量,T010204,34,家庭亲情,4,3,9,忠义家国 + 政治权力 + 家庭亲情,忠义家国,冲突关系
全量,T020405,35,政治权力,2,1,9,政治权力 + 家庭亲情 + 公案冤狱,公案冤狱,亲属关系
全量,T020405,35,家庭亲情,4,2,9,政治权力 + 家庭亲情 + 公案冤狱,公案冤狱,亲属关系
全量,T020405,35,公案冤狱,5,3,9,政治权力 + 家庭亲情 + 公案冤狱,公案冤狱,亲属关系
全量,T020408,36,政治权力,2,1,9,政治权力 + 家庭亲情 + 恩怨报偿,政治权力,权力关系
全量,T020408,36,家庭亲情,4,2,9,政治权力 + 家庭亲情 + 恩怨报偿,政治权力,权力关系
全量,T020408,36,恩怨报偿,8,3,9,政治权力 + 家庭亲情 + 恩怨报偿,政治权力,权力关系
全量,T041012,37,家庭亲情,4,1,9,家庭亲情 + 礼教品格 + 文人世情,家庭亲情,亲属关系
全量,T041012,37,礼教品格,10,2,9,家庭亲情 + 礼教品格 + 文人世情,家庭亲情,亲属关系
全量,T041012,37,文人世情,12,3,9,家庭亲情 + 礼教品格 + 文人世情,家庭亲情,亲属关系
全量,T040607,38,家庭亲情,4,1,9,家庭亲情 + 除暴侠义 + 战争武略,战争武略,冲突关系
全量,T040607,38,除暴侠义,6,2,9,家庭亲情 + 除暴侠义 + 战争武略,战争武略,冲突关系
全量,T040607,38,战争武略,7,3,9,家庭亲情 + 除暴侠义 + 战争武略,战争武略,冲突关系
全量,T040710,39,家庭亲情,4,1,9,家庭亲情 + 战争武略 + 礼教品格,战争武略,亲属关系
全量,T040710,39,战争武略,7,2,9,家庭亲情 + 战争武略 + 礼教品格,战争武略,亲属关系
全量,T040710,39,礼教品格,10,3,9,家庭亲情 + 战争武略 + 礼教品格,战争武略,亲属关系
全量,T040708,40,家庭亲情,4,1,9,家庭亲情 + 战争武略 + 恩怨报偿,战争武略,冲突关系
全量,T040708,40,战争武略,7,2,9,家庭亲情 + 战争武略 + 恩怨报偿,战争武略,冲突关系
全量,T040708,40,恩怨报偿,8,3,9,家庭亲情 + 战争武略 + 恩怨报偿,战争武略,冲突关系
全量,T0106,41,忠义家国,1,1,8,忠义家国 + 除暴侠义,除暴侠义,亲属关系
全量,T0106,41,除暴侠义,6,2,8,忠义家国 + 除暴侠义,除暴侠义,亲属关系
全量,T020410,42,政治权力,2,1,8,政治权力 + 家庭亲情 + 礼教品格,政治权力,权力关系
全量,T020410,42,家庭亲情,4,2,8,政治权力 + 家庭亲情 + 礼教品格,政治权力,权力关系
全量,T020410,42,礼教品格,10,3,8,政治权力 + 家庭亲情 + 礼教品格,政治权力,权力关系
全量,T041112,43,家庭亲情,4,1,8,家庭亲情 + 宗教祥瑞 + 文人世情,家庭亲情,亲属关系
全量,T041112,43,宗教祥瑞,11,2,8,家庭亲情 + 宗教祥瑞 + 文人世情,家庭亲情,亲属关系
全量,T041112,43,文人世情,12,3,8,家庭亲情 + 宗教祥瑞 + 文人世情,家庭亲情,亲属关系
全量,T070809,44,战争武略,7,1,8,战争武略 + 恩怨报偿 + 善恶转化,战争武略,冲突关系
全量,T070809,44,恩怨报偿,8,2,8,战争武略 + 恩怨报偿 + 善恶转化,战争武略,冲突关系
全量,T070809,44,善恶转化,9,3,8,战争武略 + 恩怨报偿 + 善恶转化,战争武略,冲突关系
全量,T0212,45,政治权力,2,1,7,政治权力 + 文人世情,文人世情,权力关系
全量,T0212,45,文人世情,12,2,7,政治权力 + 文人世情,文人世情,权力关系
全量,T0408,46,家庭亲情,4,1,7,家庭亲情 + 恩怨报偿,家庭亲情,亲属关系
全量,T0408,46,恩怨报偿,8,2,7,家庭亲情 + 恩怨报偿,家庭亲情,亲属关系
全量,T020411,47,政治权力,2,1,7,政治权力 + 家庭亲情 + 宗教祥瑞,家庭亲情,权力关系
全量,T020411,47,家庭亲情,4,2,7,政治权力 + 家庭亲情 + 宗教祥瑞,家庭亲情,权力关系
全量,T020411,47,宗教祥瑞,11,3,7,政治权力 + 家庭亲情 + 宗教祥瑞,家庭亲情,权力关系
全量,T020506,48,政治权力,2,1,7,政治权力 + 公案冤狱 + 除暴侠义,政治权力,权力关系
全量,T020506,48,公案冤狱,5,2,7,政治权力 + 公案冤狱 + 除暴侠义,政治权力,权力关系
全量,T020506,48,除暴侠义,6,3,7,政治权力 + 公案冤狱 + 除暴侠义,政治权力,权力关系
全量,T020507,49,政治权力,2,1,7,政治权力 + 公案冤狱 + 战争武略,战争武略,权力关系
全量,T020507,49,公案冤狱,5,2,7,政治权力 + 公案冤狱 + 战争武略,战争武略,权力关系
全量,T020507,49,战争武略,7,3,7,政治权力 + 公案冤狱 + 战争武略,战争武略,权力关系
全量,T030405,50,婚恋姻缘,3,1,7,婚恋姻缘 + 家庭亲情 + 公案冤狱,家庭亲情,亲属关系
全量,T030405,50,家庭亲情,4,2,7,婚恋姻缘 + 家庭亲情 + 公案冤狱,家庭亲情,亲属关系
全量,T030405,50,公案冤狱,5,3,7,婚恋姻缘 + 家庭亲情 + 公案冤狱,家庭亲情,亲属关系
全量,T030708,51,婚恋姻缘,3,1,7,婚恋姻缘 + 战争武略 + 恩怨报偿,恩怨报偿,婚恋关系
全量,T030708,51,战争武略,7,2,7,婚恋姻缘 + 战争武略 + 恩怨报偿,恩怨报偿,婚恋关系
全量,T030708,51,恩怨报偿,8,3,7,婚恋姻缘 + 战争武略 + 恩怨报偿,恩怨报偿,婚恋关系
全量,T040709,52,家庭亲情,4,1,7,家庭亲情 + 战争武略 + 善恶转化,家庭亲情,亲属关系
全量,T040709,52,战争武略,7,2,7,家庭亲情 + 战争武略 + 善恶转化,家庭亲情,亲属关系
全量,T040709,52,善恶转化,9,3,7,家庭亲情 + 战争武略 + 善恶转化,家庭亲情,亲属关系
全量,T02040708,53,政治权力,2,1,7,政治权力 + 家庭亲情 + 战争武略 + 恩怨报偿,政治权力,权力关系
全量,T02040708,53,家庭亲情,4,2,7,政治权力 + 家庭亲情 + 战争武略 + 恩怨报偿,政治权力,权力关系
全量,T02040708,53,战争武略,7,3,7,政治权力 + 家庭亲情 + 战争武略 + 恩怨报偿,政治权力,权力关系
全量,T02040708,53,恩怨报偿,8,4,7,政治权力 + 家庭亲情 + 战争武略 + 恩怨报偿,政治权力,权力关系
全量,T1112,54,宗教祥瑞,11,1,6,宗教祥瑞 + 文人世情,宗教祥瑞,亲属关系
全量,T1112,54,文人世情,12,2,6,宗教祥瑞 + 文人世情,宗教祥瑞,亲属关系
全量,T0310,55,婚恋姻缘,3,1,6,婚恋姻缘 + 礼教品格,婚恋姻缘,婚恋关系
全量,T0310,55,礼教品格,10,2,6,婚恋姻缘 + 礼教品格,婚恋姻缘,婚恋关系
全量,T0506,56,公案冤狱,5,1,6,公案冤狱 + 除暴侠义,除暴侠义,审判与恩怨关系
全量,T0506,56,除暴侠义,6,2,6,公案冤狱 + 除暴侠义,除暴侠义,审判与恩怨关系
全量,T010407,57,忠义家国,1,1,6,忠义家国 + 家庭亲情 + 战争武略,家庭亲情,亲属关系
全量,T010407,57,家庭亲情,4,2,6,忠义家国 + 家庭亲情 + 战争武略,家庭亲情,亲属关系
全量,T010407,57,战争武略,7,3,6,忠义家国 + 家庭亲情 + 战争武略,家庭亲情,亲属关系
全量,T020312,58,政治权力,2,1,6,政治权力 + 婚恋姻缘 + 文人世情,文人世情,权力关系
全量,T020312,58,婚恋姻缘,3,2,6,政治权力 + 婚恋姻缘 + 文人世情,文人世情,权力关系
全量,T020312,58,文人世情,12,3,6,政治权力 + 婚恋姻缘 + 文人世情,文人世情,权力关系
全量,T030411,59,婚恋姻缘,3,1,6,婚恋姻缘 + 家庭亲情 + 宗教祥瑞,婚恋姻缘,婚恋关系
全量,T030411,59,家庭亲情,4,2,6,婚恋姻缘 + 家庭亲情 + 宗教祥瑞,婚恋姻缘,婚恋关系
全量,T030411,59,宗教祥瑞,11,3,6,婚恋姻缘 + 家庭亲情 + 宗教祥瑞,婚恋姻缘,婚恋关系
全量,T02030412,60,政治权力,2,1,6,政治权力 + 婚恋姻缘 + 家庭亲情 + 文人世情,文人世情,权力关系
全量,T02030412,60,婚恋姻缘,3,2,6,政治权力 + 婚恋姻缘 + 家庭亲情 + 文人世情,文人世情,权力关系
全量,T02030412,60,家庭亲情,4,3,6,政治权力 + 婚恋姻缘 + 家庭亲情 + 文人世情,文人世情,权力关系
全量,T02030412,60,文人世情,12,4,6,政治权力 + 婚恋姻缘 + 家庭亲情 + 文人世情,文人世情,权力关系
全量,T010212,61,忠义家国,1,1,5,忠义家国 + 政治权力 + 文人世情,政治权力,权力关系
全量,T010212,61,政治权力,2,2,5,忠义家国 + 政治权力 + 文人世情,政治权力,权力关系
全量,T010212,61,文人世情,12,3,5,忠义家国 + 政治权力 + 文人世情,政治权力,权力关系
全量,T021012,62,政治权力,2,1,5,政治权力 + 礼教品格 + 文人世情,文人世情,权力关系
全量,T021012,62,礼教品格,10,2,5,政治权力 + 礼教品格 + 文人世情,文人世情,权力关系
全量,T021012,62,文人世情,12,3,5,政治权力 + 礼教品格 + 文人世情,文人世情,权力关系
全量,T020307,63,政治权力,2,1,5,政治权力 + 婚恋姻缘 + 战争武略,战争武略,婚恋关系
全量,T020307,63,婚恋姻缘,3,2,5,政治权力 + 婚恋姻缘 + 战争武略,战争武略,婚恋关系
全量,T020307,63,战争武略,7,3,5,政治权力 + 婚恋姻缘 + 战争武略,战争武略,婚恋关系
全量,T030406,64,婚恋姻缘,3,1,5,婚恋姻缘 + 家庭亲情 + 除暴侠义,家庭亲情,亲属关系
全量,T030406,64,家庭亲情,4,2,5,婚恋姻缘 + 家庭亲情 + 除暴侠义,家庭亲情,亲属关系
全量,T030406,64,除暴侠义,6,3,5,婚恋姻缘 + 家庭亲情 + 除暴侠义,家庭亲情,亲属关系
全量,T040911,65,家庭亲情,4,1,5,家庭亲情 + 善恶转化 + 宗教祥瑞,宗教祥瑞,亲属关系
全量,T040911,65,善恶转化,9,2,5,家庭亲情 + 善恶转化 + 宗教祥瑞,宗教祥瑞,亲属关系
全量,T040911,65,宗教祥瑞,11,3,5,家庭亲情 + 善恶转化 + 宗教祥瑞,宗教祥瑞,亲属关系
全量,T070811,66,战争武略,7,1,5,战争武略 + 恩怨报偿 + 宗教祥瑞,战争武略,冲突关系
全量,T070811,66,恩怨报偿,8,2,5,战争武略 + 恩怨报偿 + 宗教祥瑞,战争武略,冲突关系
全量,T070811,66,宗教祥瑞,11,3,5,战争武略 + 恩怨报偿 + 宗教祥瑞,战争武略,冲突关系
全量,T070911,67,战争武略,7,1,5,战争武略 + 善恶转化 + 宗教祥瑞,善恶转化,冲突关系
全量,T070911,67,善恶转化,9,2,5,战争武略 + 善恶转化 + 宗教祥瑞,善恶转化,冲突关系
全量,T070911,67,宗教祥瑞,11,3,5,战争武略 + 善恶转化 + 宗教祥瑞,善恶转化,冲突关系
全量,T02030407,68,政治权力,2,1,5,政治权力 + 婚恋姻缘 + 家庭亲情 + 战争武略,婚恋姻缘,婚恋关系
全量,T02030407,68,婚恋姻缘,3,2,5,政治权力 + 婚恋姻缘 + 家庭亲情 + 战争武略,婚恋姻缘,婚恋关系
全量,T02030407,68,家庭亲情,4,3,5,政治权力 + 婚恋姻缘 + 家庭亲情 + 战争武略,婚恋姻缘,婚恋关系
全量,T02030407,68,战争武略,7,4,5,政治权力 + 婚恋姻缘 + 家庭亲情 + 战争武略,婚恋姻缘,婚恋关系
全量,T02040710,69,政治权力,2,1,5,政治权力 + 家庭亲情 + 战争武略 + 礼教品格,家庭亲情,亲属关系
全量,T02040710,69,家庭亲情,4,2,5,政治权力 + 家庭亲情 + 战争武略 + 礼教品格,家庭亲情,亲属关系
全量,T02040710,69,战争武略,7,3,5,政治权力 + 家庭亲情 + 战争武略 + 礼教品格,家庭亲情,亲属关系
全量,T02040710,69,礼教品格,10,4,5,政治权力 + 家庭亲情 + 战争武略 + 礼教品格,家庭亲情,亲属关系
全量,T03040709,70,婚恋姻缘,3,1,5,婚恋姻缘 + 家庭亲情 + 战争武略 + 善恶转化,战争武略,婚恋关系
全量,T03040709,70,家庭亲情,4,2,5,婚恋姻缘 + 家庭亲情 + 战争武略 + 善恶转化,战争武略,婚恋关系
全量,T03040709,70,战争武略,7,3,5,婚恋姻缘 + 家庭亲情 + 战争武略 + 善恶转化,战争武略,婚恋关系
全量,T03040709,70,善恶转化,9,4,5,婚恋姻缘 + 家庭亲情 + 战争武略 + 善恶转化,战争武略,婚恋关系
全量,T0811,71,恩怨报偿,8,1,4,恩怨报偿 + 宗教祥瑞,宗教祥瑞,婚恋关系
全量,T0811,71,宗教祥瑞,11,2,4,恩怨报偿 + 宗教祥瑞,宗教祥瑞,婚恋关系
全量,T010710,72,忠义家国,1,1,4,忠义家国 + 战争武略 + 礼教品格,战争武略,冲突关系
全量,T010710,72,战争武略,7,2,4,忠义家国 + 战争武略 + 礼教品格,战争武略,冲突关系
全量,T010710,72,礼教品格,10,3,4,忠义家国 + 战争武略 + 礼教品格,战争武略,冲突关系
全量,T020711,73,政治权力,2,1,4,政治权力 + 战争武略 + 宗教祥瑞,战争武略,冲突关系
全量,T020711,73,战争武略,7,2,4,政治权力 + 战争武略 + 宗教祥瑞,战争武略,冲突关系
全量,T020711,73,宗教祥瑞,11,3,4,政治权力 + 战争武略 + 宗教祥瑞,战争武略,冲突关系
全量,T040512,74,家庭亲情,4,1,4,家庭亲情 + 公案冤狱 + 文人世情,公案冤狱,审判与恩怨关系
全量,T040512,74,公案冤狱,5,2,4,家庭亲情 + 公案冤狱 + 文人世情,公案冤狱,审判与恩怨关系
全量,T040512,74,文人世情,12,3,4,家庭亲情 + 公案冤狱 + 文人世情,公案冤狱,审判与恩怨关系
全量,T040712,75,家庭亲情,4,1,4,家庭亲情 + 战争武略 + 文人世情,战争武略,亲属关系
全量,T040712,75,战争武略,7,2,4,家庭亲情 + 战争武略 + 文人世情,战争武略,亲属关系
全量,T040712,75,文人世情,12,3,4,家庭亲情 + 战争武略 + 文人世情,战争武略,亲属关系
全量,T040812,76,家庭亲情,4,1,4,家庭亲情 + 恩怨报偿 + 文人世情,恩怨报偿,审判与恩怨关系
全量,T040812,76,恩怨报偿,8,2,4,家庭亲情 + 恩怨报偿 + 文人世情,恩怨报偿,审判与恩怨关系
全量,T040812,76,文人世情,12,3,4,家庭亲情 + 恩怨报偿 + 文人世情,恩怨报偿,审判与恩怨关系
