数据范围,主题组合ID,矩阵行排序,主题,主题序号,组合内顺序,剧本数量,主题组合显示,主要核心主题,主要核心关系
全量,T040809,77,家庭亲情,4,1,4,家庭亲情 + 恩怨报偿 + 善恶转化,善恶转化,冲突关系
全量,T040809,77,恩怨报偿,8,2,4,家庭亲情 + 恩怨报偿 + 善恶转化,善恶转化,冲突关系
全量,T040809,77,善恶转化,9,3,4,家庭亲情 + 恩怨报偿 + 善恶转化,善恶转化,冲突关系
全量,T02040709,78,政治权力,2,1,4,政治权力 + 家庭亲情 + 战争武略 + 善恶转化,战争武略,权力关系
全量,T02040709,78,家庭亲情,4,2,4,政治权力 + 家庭亲情 + 战争武略 + 善恶转化,战争武略,权力关系
全量,T02040709,78,战争武略,7,3,4,政治权力 + 家庭亲情 + 战争武略 + 善恶转化,战争武略,权力关系
全量,T02040709,78,善恶转化,9,4,4,政治权力 + 家庭亲情 + 战争武略 + 善恶转化,战争武略,权力关系
全量,T02070911,79,政治权力,2,1,4,政治权力 + 战争武略 + 善恶转化 + 宗教祥瑞,善恶转化,权力关系
全量,T02070911,79,战争武略,7,2,4,政治权力 + 战争武略 + 善恶转化 + 宗教祥瑞,善恶转化,权力关系
全量,T02070911,79,善恶转化,9,3,4,政治权力 + 战争武略 + 善恶转化 + 宗教祥瑞,善恶转化,权力关系
全量,T02070911,79,宗教祥瑞,11,4,4,政治权力 + 战争武略 + 善恶转化 + 宗教祥瑞,善恶转化,权力关系
全量,T03040607,80,婚恋姻缘,3,1,4,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 战争武略,除暴侠义,婚恋关系
全量,T03040607,80,家庭亲情,4,2,4,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 战争武略,除暴侠义,婚恋关系
全量,T03040607,80,除暴侠义,6,3,4,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 战争武略,除暴侠义,婚恋关系
全量,T03040607,80,战争武略,7,4,4,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 战争武略,除暴侠义,婚恋关系
全量,T03040608,81,婚恋姻缘,3,1,4,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 恩怨报偿,除暴侠义,亲属关系
全量,T03040608,81,家庭亲情,4,2,4,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 恩怨报偿,除暴侠义,亲属关系
全量,T03040608,81,除暴侠义,6,3,4,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 恩怨报偿,除暴侠义,亲属关系
全量,T03040608,81,恩怨报偿,8,4,4,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 恩怨报偿,除暴侠义,亲属关系
全量,T1012,82,礼教品格,10,1,3,礼教品格 + 文人世情,文人世情,亲属关系
全量,T1012,82,文人世情,12,2,3,礼教品格 + 文人世情,文人世情,亲属关系
全量,T0308,83,婚恋姻缘,3,1,3,婚恋姻缘 + 恩怨报偿,婚恋姻缘,婚恋关系
全量,T0308,83,恩怨报偿,8,2,3,婚恋姻缘 + 恩怨报偿,婚恋姻缘,婚恋关系
全量,T0508,84,公案冤狱,5,1,3,公案冤狱 + 恩怨报偿,恩怨报偿,审判与恩怨关系
全量,T0508,84,恩怨报偿,8,2,3,公案冤狱 + 恩怨报偿,恩怨报偿,审判与恩怨关系
全量,T010308,85,忠义家国,1,1,3,忠义家国 + 婚恋姻缘 + 恩怨报偿,婚恋姻缘,婚恋关系
全量,T010308,85,婚恋姻缘,3,2,3,忠义家国 + 婚恋姻缘 + 恩怨报偿,婚恋姻缘,婚恋关系
全量,T010308,85,恩怨报偿,8,3,3,忠义家国 + 婚恋姻缘 + 恩怨报偿,婚恋姻缘,婚恋关系
全量,T010708,86,忠义家国,1,1,3,忠义家国 + 战争武略 + 恩怨报偿,战争武略,冲突关系
全量,T010708,86,战争武略,7,2,3,忠义家国 + 战争武略 + 恩怨报偿,战争武略,冲突关系
全量,T010708,86,恩怨报偿,8,3,3,忠义家国 + 战争武略 + 恩怨报偿,战争武略,冲突关系
全量,T020412,87,政治权力,2,1,3,政治权力 + 家庭亲情 + 文人世情,政治权力,权力关系
全量,T020412,87,家庭亲情,4,2,3,政治权力 + 家庭亲情 + 文人世情,政治权力,权力关系
全量,T020412,87,文人世情,12,3,3,政治权力 + 家庭亲情 + 文人世情,政治权力,权力关系
全量,T020911,88,政治权力,2,1,3,政治权力 + 善恶转化 + 宗教祥瑞,宗教祥瑞,权力关系
全量,T020911,88,善恶转化,9,2,3,政治权力 + 善恶转化 + 宗教祥瑞,宗教祥瑞,权力关系
全量,T020911,88,宗教祥瑞,11,3,3,政治权力 + 善恶转化 + 宗教祥瑞,宗教祥瑞,权力关系
全量,T031112,89,婚恋姻缘,3,1,3,婚恋姻缘 + 宗教祥瑞 + 文人世情,文人世情,婚恋关系
全量,T031112,89,宗教祥瑞,11,2,3,婚恋姻缘 + 宗教祥瑞 + 文人世情,文人世情,婚恋关系
全量,T031112,89,文人世情,12,3,3,婚恋姻缘 + 宗教祥瑞 + 文人世情,文人世情,婚恋关系
全量,T030408,90,婚恋姻缘,3,1,3,婚恋姻缘 + 家庭亲情 + 恩怨报偿,家庭亲情,亲属关系
全量,T030408,90,家庭亲情,4,2,3,婚恋姻缘 + 家庭亲情 + 恩怨报偿,家庭亲情,亲属关系
全量,T030408,90,恩怨报偿,8,3,3,婚恋姻缘 + 家庭亲情 + 恩怨报偿,家庭亲情,亲属关系
全量,T030508,91,婚恋姻缘,3,1,3,婚恋姻缘 + 公案冤狱 + 恩怨报偿,婚恋姻缘,婚恋关系
全量,T030508,91,公案冤狱,5,2,3,婚恋姻缘 + 公案冤狱 + 恩怨报偿,婚恋姻缘,婚恋关系
全量,T030508,91,恩怨报偿,8,3,3,婚恋姻缘 + 公案冤狱 + 恩怨报偿,婚恋姻缘,婚恋关系
全量,T040910,92,家庭亲情,4,1,3,家庭亲情 + 善恶转化 + 礼教品格,家庭亲情,亲属关系
全量,T040910,92,善恶转化,9,2,3,家庭亲情 + 善恶转化 + 礼教品格,家庭亲情,亲属关系
全量,T040910,92,礼教品格,10,3,3,家庭亲情 + 善恶转化 + 礼教品格,家庭亲情,亲属关系
全量,T050708,93,公案冤狱,5,1,3,公案冤狱 + 战争武略 + 恩怨报偿,恩怨报偿,审判与恩怨关系
全量,T050708,93,战争武略,7,2,3,公案冤狱 + 战争武略 + 恩怨报偿,恩怨报偿,审判与恩怨关系
全量,T050708,93,恩怨报偿,8,3,3,公案冤狱 + 战争武略 + 恩怨报偿,恩怨报偿,审判与恩怨关系
全量,T01020407,94,忠义家国,1,1,3,忠义家国 + 政治权力 + 家庭亲情 + 战争武略,家庭亲情,权力关系
全量,T01020407,94,政治权力,2,2,3,忠义家国 + 政治权力 + 家庭亲情 + 战争武略,家庭亲情,权力关系
全量,T01020407,94,家庭亲情,4,3,3,忠义家国 + 政治权力 + 家庭亲情 + 战争武略,家庭亲情,权力关系
全量,T01020407,94,战争武略,7,4,3,忠义家国 + 政治权力 + 家庭亲情 + 战争武略,家庭亲情,权力关系
全量,T02030405,95,政治权力,2,1,3,政治权力 + 婚恋姻缘 + 家庭亲情 + 公案冤狱,婚恋姻缘,婚恋关系
全量,T02030405,95,婚恋姻缘,3,2,3,政治权力 + 婚恋姻缘 + 家庭亲情 + 公案冤狱,婚恋姻缘,婚恋关系
全量,T02030405,95,家庭亲情,4,3,3,政治权力 + 婚恋姻缘 + 家庭亲情 + 公案冤狱,婚恋姻缘,婚恋关系
全量,T02030405,95,公案冤狱,5,4,3,政治权力 + 婚恋姻缘 + 家庭亲情 + 公案冤狱,婚恋姻缘,婚恋关系
全量,T02070812,96,政治权力,2,1,3,政治权力 + 战争武略 + 恩怨报偿 + 文人世情,政治权力,权力关系
全量,T02070812,96,战争武略,7,2,3,政治权力 + 战争武略 + 恩怨报偿 + 文人世情,政治权力,权力关系
全量,T02070812,96,恩怨报偿,8,3,3,政治权力 + 战争武略 + 恩怨报偿 + 文人世情,政治权力,权力关系
全量,T02070812,96,文人世情,12,4,3,政治权力 + 战争武略 + 恩怨报偿 + 文人世情,政治权力,权力关系
全量,T03041112,97,婚恋姻缘,3,1,3,婚恋姻缘 + 家庭亲情 + 宗教祥瑞 + 文人世情,婚恋姻缘,婚恋关系
全量,T03041112,97,家庭亲情,4,2,3,婚恋姻缘 + 家庭亲情 + 宗教祥瑞 + 文人世情,婚恋姻缘,婚恋关系
全量,T03041112,97,宗教祥瑞,11,3,3,婚恋姻缘 + 家庭亲情 + 宗教祥瑞 + 文人世情,婚恋姻缘,婚恋关系
全量,T03041112,97,文人世情,12,4,3,婚恋姻缘 + 家庭亲情 + 宗教祥瑞 + 文人世情,婚恋姻缘,婚恋关系
全量,T03040710,98,婚恋姻缘,3,1,3,婚恋姻缘 + 家庭亲情 + 战争武略 + 礼教品格,婚恋姻缘,婚恋关系
全量,T03040710,98,家庭亲情,4,2,3,婚恋姻缘 + 家庭亲情 + 战争武略 + 礼教品格,婚恋姻缘,婚恋关系
全量,T03040710,98,战争武略,7,3,3,婚恋姻缘 + 家庭亲情 + 战争武略 + 礼教品格,婚恋姻缘,婚恋关系
全量,T03040710,98,礼教品格,10,4,3,婚恋姻缘 + 家庭亲情 + 战争武略 + 礼教品格,婚恋姻缘,婚恋关系
全量,T04050608,99,家庭亲情,4,1,3,家庭亲情 + 公案冤狱 + 除暴侠义 + 恩怨报偿,恩怨报偿,审判与恩怨关系
全量,T04050608,99,公案冤狱,5,2,3,家庭亲情 + 公案冤狱 + 除暴侠义 + 恩怨报偿,恩怨报偿,审判与恩怨关系
全量,T04050608,99,除暴侠义,6,3,3,家庭亲情 + 公案冤狱 + 除暴侠义 + 恩怨报偿,恩怨报偿,审判与恩怨关系
全量,T04050608,99,恩怨报偿,8,4,3,家庭亲情 + 公案冤狱 + 除暴侠义 + 恩怨报偿,恩怨报偿,审判与恩怨关系
全量,T04060712,100,家庭亲情,4,1,3,家庭亲情 + 除暴侠义 + 战争武略 + 文人世情,家庭亲情,亲属关系
全量,T04060712,100,除暴侠义,6,2,3,家庭亲情 + 除暴侠义 + 战争武略 + 文人世情,家庭亲情,亲属关系
全量,T04060712,100,战争武略,7,3,3,家庭亲情 + 除暴侠义 + 战争武略 + 文人世情,家庭亲情,亲属关系
全量,T04060712,100,文人世情,12,4,3,家庭亲情 + 除暴侠义 + 战争武略 + 文人世情,家庭亲情,亲属关系
全量,T0108,101,忠义家国,1,1,2,忠义家国 + 恩怨报偿,忠义家国,审判与恩怨关系
全量,T0108,101,恩怨报偿,8,2,2,忠义家国 + 恩怨报偿,忠义家国,审判与恩怨关系
全量,T010203,102,忠义家国,1,1,2,忠义家国 + 政治权力 + 婚恋姻缘,忠义家国,权力关系
全量,T010203,102,政治权力,2,2,2,忠义家国 + 政治权力 + 婚恋姻缘,忠义家国,权力关系
全量,T010203,102,婚恋姻缘,3,3,2,忠义家国 + 政治权力 + 婚恋姻缘,忠义家国,权力关系
全量,T010205,103,忠义家国,1,1,2,忠义家国 + 政治权力 + 公案冤狱,忠义家国,审判与恩怨关系
全量,T010205,103,政治权力,2,2,2,忠义家国 + 政治权力 + 公案冤狱,忠义家国,审判与恩怨关系
全量,T010205,103,公案冤狱,5,3,2,忠义家国 + 政治权力 + 公案冤狱,忠义家国,审判与恩怨关系
全量,T010408,104,忠义家国,1,1,2,忠义家国 + 家庭亲情 + 恩怨报偿,恩怨报偿,审判与恩怨关系
全量,T010408,104,家庭亲情,4,2,2,忠义家国 + 家庭亲情 + 恩怨报偿,恩怨报偿,审判与恩怨关系
全量,T010408,104,恩怨报偿,8,3,2,忠义家国 + 家庭亲情 + 恩怨报偿,恩怨报偿,审判与恩怨关系
全量,T010607,105,忠义家国,1,1,2,忠义家国 + 除暴侠义 + 战争武略,战争武略,冲突关系
全量,T010607,105,除暴侠义,6,2,2,忠义家国 + 除暴侠义 + 战争武略,战争武略,冲突关系
全量,T010607,105,战争武略,7,3,2,忠义家国 + 除暴侠义 + 战争武略,战争武略,冲突关系
全量,T010709,106,忠义家国,1,1,2,忠义家国 + 战争武略 + 善恶转化,忠义家国,亲属关系
全量,T010709,106,战争武略,7,2,2,忠义家国 + 战争武略 + 善恶转化,忠义家国,亲属关系
全量,T010709,106,善恶转化,9,3,2,忠义家国 + 战争武略 + 善恶转化,忠义家国,亲属关系
全量,T020310,107,政治权力,2,1,2,政治权力 + 婚恋姻缘 + 礼教品格,婚恋姻缘,婚恋关系
全量,T020310,107,婚恋姻缘,3,2,2,政治权力 + 婚恋姻缘 + 礼教品格,婚恋姻缘,婚恋关系
全量,T020310,107,礼教品格,10,3,2,政治权力 + 婚恋姻缘 + 礼教品格,婚恋姻缘,婚恋关系
全量,T031012,108,婚恋姻缘,3,1,2,婚恋姻缘 + 礼教品格 + 文人世情,婚恋姻缘,婚恋关系
全量,T031012,108,礼教品格,10,2,2,婚恋姻缘 + 礼教品格 + 文人世情,婚恋姻缘,婚恋关系
全量,T031012,108,文人世情,12,3,2,婚恋姻缘 + 礼教品格 + 文人世情,婚恋姻缘,婚恋关系
全量,T030409,109,婚恋姻缘,3,1,2,婚恋姻缘 + 家庭亲情 + 善恶转化,婚恋姻缘,婚恋关系
全量,T030409,109,家庭亲情,4,2,2,婚恋姻缘 + 家庭亲情 + 善恶转化,婚恋姻缘,婚恋关系
全量,T030409,109,善恶转化,9,3,2,婚恋姻缘 + 家庭亲情 + 善恶转化,婚恋姻缘,婚恋关系
全量,T030712,110,婚恋姻缘,3,1,2,婚恋姻缘 + 战争武略 + 文人世情,文人世情,同盟关系
全量,T030712,110,战争武略,7,2,2,婚恋姻缘 + 战争武略 + 文人世情,文人世情,同盟关系
全量,T030712,110,文人世情,12,3,2,婚恋姻缘 + 战争武略 + 文人世情,文人世情,同盟关系
全量,T041011,111,家庭亲情,4,1,2,家庭亲情 + 礼教品格 + 宗教祥瑞,家庭亲情,亲属关系
全量,T041011,111,礼教品格,10,2,2,家庭亲情 + 礼教品格 + 宗教祥瑞,家庭亲情,亲属关系
全量,T041011,111,宗教祥瑞,11,3,2,家庭亲情 + 礼教品格 + 宗教祥瑞,家庭亲情,亲属关系
全量,T040510,112,家庭亲情,4,1,2,家庭亲情 + 公案冤狱 + 礼教品格,公案冤狱,审判与恩怨关系
全量,T040510,112,公案冤狱,5,2,2,家庭亲情 + 公案冤狱 + 礼教品格,公案冤狱,审判与恩怨关系
全量,T040510,112,礼教品格,10,3,2,家庭亲情 + 公案冤狱 + 礼教品格,公案冤狱,审判与恩怨关系
全量,T040511,113,家庭亲情,4,1,2,家庭亲情 + 公案冤狱 + 宗教祥瑞,宗教祥瑞,审判与恩怨关系
全量,T040511,113,公案冤狱,5,2,2,家庭亲情 + 公案冤狱 + 宗教祥瑞,宗教祥瑞,审判与恩怨关系
全量,T040511,113,宗教祥瑞,11,3,2,家庭亲情 + 公案冤狱 + 宗教祥瑞,宗教祥瑞,审判与恩怨关系
全量,T040506,114,家庭亲情,4,1,2,家庭亲情 + 公案冤狱 + 除暴侠义,除暴侠义,亲属关系
全量,T040506,114,公案冤狱,5,2,2,家庭亲情 + 公案冤狱 + 除暴侠义,除暴侠义,亲属关系
全量,T040506,114,除暴侠义,6,3,2,家庭亲情 + 公案冤狱 + 除暴侠义,除暴侠义,亲属关系
全量,T040507,115,家庭亲情,4,1,2,家庭亲情 + 公案冤狱 + 战争武略,公案冤狱,审判与恩怨关系
全量,T040507,115,公案冤狱,5,2,2,家庭亲情 + 公案冤狱 + 战争武略,公案冤狱,审判与恩怨关系
全量,T040507,115,战争武略,7,3,2,家庭亲情 + 公案冤狱 + 战争武略,公案冤狱,审判与恩怨关系
全量,T040811,116,家庭亲情,4,1,2,家庭亲情 + 恩怨报偿 + 宗教祥瑞,恩怨报偿,审判与恩怨关系
全量,T040811,116,恩怨报偿,8,2,2,家庭亲情 + 恩怨报偿 + 宗教祥瑞,恩怨报偿,审判与恩怨关系
全量,T040811,116,宗教祥瑞,11,3,2,家庭亲情 + 恩怨报偿 + 宗教祥瑞,恩怨报偿,审判与恩怨关系
全量,T050709,117,公案冤狱,5,1,2,公案冤狱 + 战争武略 + 善恶转化,公案冤狱,审判与恩怨关系
全量,T050709,117,战争武略,7,2,2,公案冤狱 + 战争武略 + 善恶转化,公案冤狱,审判与恩怨关系
全量,T050709,117,善恶转化,9,3,2,公案冤狱 + 战争武略 + 善恶转化,公案冤狱,审判与恩怨关系
全量,T060710,118,除暴侠义,6,1,2,除暴侠义 + 战争武略 + 礼教品格,除暴侠义,冲突关系
全量,T060710,118,战争武略,7,2,2,除暴侠义 + 战争武略 + 礼教品格,除暴侠义,冲突关系
全量,T060710,118,礼教品格,10,3,2,除暴侠义 + 战争武略 + 礼教品格,除暴侠义,冲突关系
全量,T060711,119,除暴侠义,6,1,2,除暴侠义 + 战争武略 + 宗教祥瑞,战争武略,冲突关系
全量,T060711,119,战争武略,7,2,2,除暴侠义 + 战争武略 + 宗教祥瑞,战争武略,冲突关系
全量,T060711,119,宗教祥瑞,11,3,2,除暴侠义 + 战争武略 + 宗教祥瑞,战争武略,冲突关系
全量,T060708,120,除暴侠义,6,1,2,除暴侠义 + 战争武略 + 恩怨报偿,除暴侠义,审判与恩怨关系
全量,T060708,120,战争武略,7,2,2,除暴侠义 + 战争武略 + 恩怨报偿,除暴侠义,审判与恩怨关系
全量,T060708,120,恩怨报偿,8,3,2,除暴侠义 + 战争武略 + 恩怨报偿,除暴侠义,审判与恩怨关系
全量,T070812,121,战争武略,7,1,2,战争武略 + 恩怨报偿 + 文人世情,战争武略,冲突关系
全量,T070812,121,恩怨报偿,8,2,2,战争武略 + 恩怨报偿 + 文人世情,战争武略,冲突关系
全量,T070812,121,文人世情,12,3,2,战争武略 + 恩怨报偿 + 文人世情,战争武略,冲突关系
全量,T070910,122,战争武略,7,1,2,战争武略 + 善恶转化 + 礼教品格,战争武略,同盟关系
全量,T070910,122,善恶转化,9,2,2,战争武略 + 善恶转化 + 礼教品格,战争武略,同盟关系
全量,T070910,122,礼教品格,10,3,2,战争武略 + 善恶转化 + 礼教品格,战争武略,同盟关系
全量,T081112,123,恩怨报偿,8,1,2,恩怨报偿 + 宗教祥瑞 + 文人世情,宗教祥瑞,审判与恩怨关系
全量,T081112,123,宗教祥瑞,11,2,2,恩怨报偿 + 宗教祥瑞 + 文人世情,宗教祥瑞,审判与恩怨关系
全量,T081112,123,文人世情,12,3,2,恩怨报偿 + 宗教祥瑞 + 文人世情,宗教祥瑞,审判与恩怨关系
全量,T01020607,124,忠义家国,1,1,2,忠义家国 + 政治权力 + 除暴侠义 + 战争武略,战争武略,冲突关系
全量,T01020607,124,政治权力,2,2,2,忠义家国 + 政治权力 + 除暴侠义 + 战争武略,战争武略,冲突关系
全量,T01020607,124,除暴侠义,6,3,2,忠义家国 + 政治权力 + 除暴侠义 + 战争武略,战争武略,冲突关系
全量,T01020607,124,战争武略,7,4,2,忠义家国 + 政治权力 + 除暴侠义 + 战争武略,战争武略,冲突关系
全量,T01020708,125,忠义家国,1,1,2,忠义家国 + 政治权力 + 战争武略 + 恩怨报偿,恩怨报偿,审判与恩怨关系
全量,T01020708,125,政治权力,2,2,2,忠义家国 + 政治权力 + 战争武略 + 恩怨报偿,恩怨报偿,审判与恩怨关系
全量,T01020708,125,战争武略,7,3,2,忠义家国 + 政治权力 + 战争武略 + 恩怨报偿,恩怨报偿,审判与恩怨关系
全量,T01020708,125,恩怨报偿,8,4,2,忠义家国 + 政治权力 + 战争武略 + 恩怨报偿,恩怨报偿,审判与恩怨关系
全量,T02030408,126,政治权力,2,1,2,政治权力 + 婚恋姻缘 + 家庭亲情 + 恩怨报偿,政治权力,权力关系
全量,T02030408,126,婚恋姻缘,3,2,2,政治权力 + 婚恋姻缘 + 家庭亲情 + 恩怨报偿,政治权力,权力关系
全量,T02030408,126,家庭亲情,4,3,2,政治权力 + 婚恋姻缘 + 家庭亲情 + 恩怨报偿,政治权力,权力关系
全量,T02030408,126,恩怨报偿,8,4,2,政治权力 + 婚恋姻缘 + 家庭亲情 + 恩怨报偿,政治权力,权力关系
全量,T02030712,127,政治权力,2,1,2,政治权力 + 婚恋姻缘 + 战争武略 + 文人世情,政治权力,权力关系
全量,T02030712,127,婚恋姻缘,3,2,2,政治权力 + 婚恋姻缘 + 战争武略 + 文人世情,政治权力,权力关系
全量,T02030712,127,战争武略,7,3,2,政治权力 + 婚恋姻缘 + 战争武略 + 文人世情,政治权力,权力关系
全量,T02030712,127,文人世情,12,4,2,政治权力 + 婚恋姻缘 + 战争武略 + 文人世情,政治权力,权力关系
全量,T02040512,128,政治权力,2,1,2,政治权力 + 家庭亲情 + 公案冤狱 + 文人世情,公案冤狱,审判与恩怨关系
全量,T02040512,128,家庭亲情,4,2,2,政治权力 + 家庭亲情 + 公案冤狱 + 文人世情,公案冤狱,审判与恩怨关系
全量,T02040512,128,公案冤狱,5,3,2,政治权力 + 家庭亲情 + 公案冤狱 + 文人世情,公案冤狱,审判与恩怨关系
全量,T02040512,128,文人世情,12,4,2,政治权力 + 家庭亲情 + 公案冤狱 + 文人世情,公案冤狱,审判与恩怨关系
全量,T02040610,129,政治权力,2,1,2,政治权力 + 家庭亲情 + 除暴侠义 + 礼教品格,家庭亲情,亲属关系
全量,T02040610,129,家庭亲情,4,2,2,政治权力 + 家庭亲情 + 除暴侠义 + 礼教品格,家庭亲情,亲属关系
全量,T02040610,129,除暴侠义,6,3,2,政治权力 + 家庭亲情 + 除暴侠义 + 礼教品格,家庭亲情,亲属关系
全量,T02040610,129,礼教品格,10,4,2,政治权力 + 家庭亲情 + 除暴侠义 + 礼教品格,家庭亲情,亲属关系
全量,T02040608,130,政治权力,2,1,2,政治权力 + 家庭亲情 + 除暴侠义 + 恩怨报偿,除暴侠义,权力关系
全量,T02040608,130,家庭亲情,4,2,2,政治权力 + 家庭亲情 + 除暴侠义 + 恩怨报偿,除暴侠义,权力关系
全量,T02040608,130,除暴侠义,6,3,2,政治权力 + 家庭亲情 + 除暴侠义 + 恩怨报偿,除暴侠义,权力关系
全量,T02040608,130,恩怨报偿,8,4,2,政治权力 + 家庭亲情 + 除暴侠义 + 恩怨报偿,除暴侠义,权力关系
全量,T02040712,131,政治权力,2,1,2,政治权力 + 家庭亲情 + 战争武略 + 文人世情,政治权力,权力关系
全量,T02040712,131,家庭亲情,4,2,2,政治权力 + 家庭亲情 + 战争武略 + 文人世情,政治权力,权力关系
全量,T02040712,131,战争武略,7,3,2,政治权力 + 家庭亲情 + 战争武略 + 文人世情,政治权力,权力关系
全量,T02040712,131,文人世情,12,4,2,政治权力 + 家庭亲情 + 战争武略 + 文人世情,政治权力,权力关系
全量,T02060708,132,政治权力,2,1,2,政治权力 + 除暴侠义 + 战争武略 + 恩怨报偿,政治权力,权力关系
全量,T02060708,132,除暴侠义,6,2,2,政治权力 + 除暴侠义 + 战争武略 + 恩怨报偿,政治权力,权力关系
全量,T02060708,132,战争武略,7,3,2,政治权力 + 除暴侠义 + 战争武略 + 恩怨报偿,政治权力,权力关系
全量,T02060708,132,恩怨报偿,8,4,2,政治权力 + 除暴侠义 + 战争武略 + 恩怨报偿,政治权力,权力关系
全量,T02060709,133,政治权力,2,1,2,政治权力 + 除暴侠义 + 战争武略 + 善恶转化,政治权力,权力关系
全量,T02060709,133,除暴侠义,6,2,2,政治权力 + 除暴侠义 + 战争武略 + 善恶转化,政治权力,权力关系
全量,T02060709,133,战争武略,7,3,2,政治权力 + 除暴侠义 + 战争武略 + 善恶转化,政治权力,权力关系
