剧本ID,剧本名称,剧目类别,角色总数,实际关系数,网络密度,度中心化
03027006,骂杨广,历史戏,2,1,1.0,0
03028001,潞安州,历史戏,4,3,0.5,0.333333
03028002,小商河,历史戏,3,3,1.0,0.0
03028003,牛皋招亲,家庭戏,9,30,0.833333,0.214286
03028005,汤怀自刎,历史戏,3,3,1.0,0.0
03028006,请宋灵,历史戏,8,19,0.678571,0.238095
03029001,春秋配,公案戏,6,12,0.8,0.3
03029002,打樱桃,家庭戏,6,13,0.866667,0.2
03029003,送灯,家庭戏,3,3,1.0,0.0
03030001,雁门关,历史戏,11,24,0.436364,0.322222
03030002,雁门关,历史戏,9,16,0.444444,0.553571
03030003,雁门关,历史戏,7,14,0.666667,0.233333
03030004,雁门关,神怪戏,11,22,0.4,0.122222
03030005,雁门关,历史戏,5,4,0.4,0.166667
03030006,雁门关,历史戏,8,21,0.75,0.142857
03030007,雁门关,历史戏,14,27,0.296703,0.282051
03031001,扫地挂画,历史戏,3,3,1.0,0.0
03031002,凤阳花鼓,家庭戏,3,3,1.0,0.0
03031004,顶花砖,家庭戏,3,3,1.0,0.0
03031005,双摇会,家庭戏,6,13,0.866667,0.2
03031006,打面缸,公案戏,5,10,1.0,0.0
03031007,小过年,家庭戏,3,3,1.0,0.0
03031008,十八扯,家庭戏,2,1,1.0,0
03033001,取洛阳,历史戏,5,10,1.0,0.0
03033004,过巴州,历史戏,3,3,1.0,0.0
03033005,司马师逼宫,历史戏,5,9,0.9,0.166667
03033006,枣阳山,江湖戏,2,1,1.0,0
03033007,打龙棚,历史戏,4,6,1.0,0.0
03034001,孟母断机,家庭戏,1,0,0,0
03034002,孝感天,神怪戏,5,8,0.8,0.333333
03034003,漂母饭信,历史戏,2,1,1.0,0
03034004,陵母伏剑,历史戏,1,0,0,0
03034005,钓金龟,神怪戏,5,10,1.0,0.0
03034006,太君辞朝,历史戏,2,1,1.0,0
03037001,金瓶女,公案戏,2,1,1.0,0
03037002,盗红绡,江湖戏,4,6,1.0,0.0
03037003,陈圆圆,历史戏,2,1,1.0,0
03038001,圯桥三进履,历史戏,4,4,0.666667,0.666667
03038002,黄金印,历史戏,6,13,0.866667,0.2
03038003,秋生造律,公案戏,6,13,0.866667,0.2
03039001,救雪艳,家庭戏,4,6,1.0,0.0
03039002,一捧雪,公案戏,6,12,0.8,0.3
03039004,傅氏发配,公案戏,1,0,0,0
03039005,雪杯圆,公案戏,5,10,1.0,0.0
03039006,收雪艳,家庭戏,4,3,0.5,0.333333
03039007,祭雪艳,公案戏,5,10,1.0,0.0
03040001,双玉镯,公案戏,9,25,0.694444,0.392857
03040002,法门寺,公案戏,14,55,0.604396,0.371795
03040003,刘瑾逛花园,历史戏,2,1,1.0,0
03041001,飞将军,历史戏,2,1,1.0,0
03041002,投笔封侯,历史戏,1,0,0,0
03041003,玉门关,历史戏,3,3,1.0,0.0
03041004,周瑜,历史戏,7,15,0.714286,0.4
03041005,战山,历史戏,2,1,1.0,0
03041006,小显,神怪戏,1,0,0,0
03041007,双合印,公案戏,7,18,0.857143,0.2
03042001,父子圆,家庭戏,2,1,1.0,0
03042002,卧虎山,历史戏,2,1,1.0,0
03042003,明末遗恨,历史戏,13,52,0.666667,0.393939
03042004,史可法,历史戏,1,0,0,0
03042005,明末孤忠,历史戏,1,0,0,0
03043003,涿州判,公案戏,4,4,0.666667,0.666667
03044002,宁国府,历史戏,3,3,1.0,0.0
03044003,火烧百凉楼,历史戏,4,2,0.333333,0.666667
03044004,火烧百凉楼,历史戏,5,10,1.0,0.0
03046001,草桥关,历史戏,10,33,0.733333,0.333333
03046002,御果园,历史戏,8,28,1.0,0.0
03046003,白良关,家庭戏,7,14,0.666667,0.466667
03046004,置田装疯,家庭戏,3,3,1.0,0.0
03046005,沙陀国,历史戏,5,10,1.0,0.0
03046006,飞虎山,历史戏,6,15,1.0,0.0
03046007,龙虎斗,神怪戏,2,1,1.0,0
03047001,好鹤失政,历史戏,1,0,0,0
03047002,要离刺庆忌,江湖戏,2,1,1.0,0
03047003,哭秦庭,历史戏,5,6,0.6,0.666667
03047004,豫让桥,历史戏,0,0,0,0
03048001,打城隍,公案戏,5,10,1.0,0.0
03048005,瞎子逛灯,公案戏,2,1,1.0,0
03048006,定计化缘,公案戏,2,1,1.0,0
03050001,闹花灯,家庭戏,5,9,0.9,0.166667
03050002,九焰山,家庭戏,5,8,0.8,0.333333
03050003,铁丘坟,家庭戏,2,1,1.0,0
03051001,马陵道,历史戏,2,1,1.0,0
03051002,马陵道,历史戏,2,1,1.0,0
03051003,马陵道,神怪戏,4,6,1.0,0.0
03051004,马陵道,历史戏,2,1,1.0,0
03051005,马陵道,历史戏,4,5,0.833333,0.333333
03051006,马陵道,神怪戏,4,6,1.0,0.0
03051007,马陵道,神怪戏,3,3,1.0,0.0
03051008,马陵道,历史戏,3,3,1.0,0.0
03052005,朝金顶,神怪戏,4,1,0.166667,0.333333
03053001,打銮驾,公案戏,5,9,0.9,0.166667
03053002,铡包勉,公案戏,4,6,1.0,0.0
03053003,遇皇后,公案戏,3,3,1.0,0.0
03053004,打龙袍,公案戏,6,15,1.0,0.0
03053005,闹东京,神怪戏,4,6,1.0,0.0
03053006,双包案,神怪戏,2,1,1.0,0
03053007,神虎报,神怪戏,2,1,1.0,0
03054001,投刘表,历史戏,5,10,1.0,0.0
03054002,襄阳宴,历史戏,3,3,1.0,0.0
03054003,马跳潭溪,历史戏,5,8,0.8,0.333333
03054004,水镜庄,历史戏,5,6,0.6,0.666667
03054005,取樊城,历史戏,6,15,1.0,0.0
03054006,徐母骂曹,家庭戏,3,3,1.0,0.0
03054007,走马荐诸葛,历史戏,8,13,0.464286,0.52381
03054008,一请诸葛,历史戏,7,14,0.666667,0.233333
03054009,三顾茅庐,历史戏,5,10,1.0,0.0
03054010,三求计,历史戏,4,6,1.0,0.0
03055001,打潘豹,历史戏,8,20,0.714286,0.190476
03055002,双龙会,历史戏,8,22,0.785714,0.285714
03055003,托兆碰碑,神怪戏,5,7,0.7,0.5
03055004,告御状,公案戏,4,5,0.833333,0.333333
03055005,永平安,公案戏,2,1,1.0,0
03055006,夜审潘洪,公案戏,6,9,0.6,0.6
03055007,红岐山,江湖戏,7,21,1.0,0.0
03056002,时迁偷鸡,江湖戏,5,10,1.0,0.0
03057001,大观园,家庭戏,6,15,1.0,0.0
03057002,黛玉伤春,家庭戏,2,1,1.0,0
03057003,黛玉葬花,家庭戏,2,1,1.0,0
03057004,千金一笑,家庭戏,2,1,1.0,0
03057005,梅花络,家庭戏,5,9,0.9,0.166667
03057006,潇湘探病,家庭戏,3,2,0.666667,1.0
03057007,晴雯补裘,家庭戏,3,3,1.0,0.0
03057008,黛玉焚稿,家庭戏,5,6,0.6,0.666667
03058001,遇龙镇,历史戏,4,5,0.833333,0.333333
03058004,青峰岭,江湖戏,1,0,0,0
03059002,请关胜,江湖戏,2,1,1.0,0
03059003,持轮战,江湖戏,2,1,1.0,0
03059004,风流双枪将,江湖戏,6,13,0.866667,0.2
03059005,双卖艺,家庭戏,5,10,1.0,0.0
03060001,封丘大战,历史戏,2,1,1.0,0
03060002,洒金桥,神怪戏,2,1,1.0,0
03060003,董家岭,江湖戏,4,6,1.0,0.0
03060004,花亭射妖,神怪戏,2,1,1.0,0
03060005,困曹府,历史戏,4,5,0.833333,0.333333
03060009,雪夜访普,历史戏,1,0,0,0
03061002,元宵谜,家庭戏,7,21,1.0,0.0
03063001,酒丐,江湖戏,5,10,1.0,0.0
03064003,梨花簪,家庭戏,5,9,0.9,0.166667
03065001,绝粮返境,历史戏,2,1,1.0,0
03065002,取桂阳,历史戏,3,2,0.666667,1.0
03065003,战潼关,历史戏,2,1,1.0,0
03065005,献西川,历史戏,7,21,1.0,0.0
03065006,取雒城,历史戏,3,3,1.0,0.0
03065007,乔府求计,历史戏,2,1,1.0,0
03066002,庚娘,家庭戏,1,0,0,0
03068001,新莽闱,历史戏,4,6,1.0,0.0
03068002,棘阳关,历史戏,5,10,1.0,0.0
03068003,飞叉阵,神怪戏,3,3,1.0,0.0
03068004,收邳彤,历史戏,7,19,0.904762,0.133333
03068005,白蟒台,历史戏,7,21,1.0,0.0
03070003,斩丁原,历史戏,3,3,1.0,0.0
03071001,野猪林,历史戏,5,9,0.9,0.166667
03071002,小鳌山,历史戏,6,15,1.0,0.0
03071003,浔阳楼,江湖戏,1,0,0,0
03072001,春秋笔,历史戏,5,9,0.9,0.166667
03074001,介子推,历史戏,1,0,0,0
03074002,焚棉山,历史戏,1,0,0,0
03074003,羊角哀,神怪戏,1,0,0,0
03074004,钟子期听琴,家庭戏,2,1,1.0,0
03074005,马鞍山,家庭戏,2,1,1.0,0
03074006,兴秦图,历史戏,1,0,0,0
03075001,磐河战,历史戏,3,3,1.0,0.0
03075002,典韦耀武,历史戏,2,1,1.0,0
03075003,三让徐州,历史戏,2,1,1.0,0
03075004,神亭岭,历史戏,5,9,0.9,0.166667
03075005,凤凰台,历史戏,2,1,1.0,0
03075007,斩于吉,神怪戏,2,1,1.0,0
03075008,战官渡,历史戏,3,3,1.0,0.0
03076002,秦淮河,江湖戏,6,14,0.933333,0.1
03077001,赵五娘,家庭戏,3,3,1.0,0.0
03077002,荆钗记,家庭戏,5,10,1.0,0.0
03078003,孟尝君,历史戏,1,0,0,0
03079001,卓文君,家庭戏,6,12,0.8,0.3
03079002,苏武牧羊,历史戏,12,39,0.590909,0.490909
03079003,输财救国,历史戏,1,0,0,0
03079004,汉明妃,历史戏,6,13,0.866667,0.2
03080001,斩华雄,历史戏,6,14,0.933333,0.1
03080002,斩车胄,历史戏,5,10,1.0,0.0
03080005,月下斩貂蝉,历史戏,2,1,1.0,0
03080008,灞桥挑袍,历史戏,3,3,1.0,0.0
03084001,送京娘,江湖戏,2,1,1.0,0
03084002,南界关,历史戏,4,6,1.0,0.0
03084003,战寿州,历史戏,5,6,0.6,0.666667
03084004,四红图,历史戏,2,1,1.0,0
03084006,杀四门,历史戏,2,1,1.0,0
03085001,汉阳院,历史戏,4,6,1.0,0.0
03085003,汉津口,历史戏,8,24,0.857143,0.190476
03086003,擒乌龙,历史戏,1,0,0,0
03088001,独占花魁,家庭戏,2,1,1.0,0
03089001,七星庙,家庭戏,2,1,1.0,0
03089002,双挂印,历史戏,6,10,0.666667,0.5
03089003,洪洋洞,神怪戏,9,18,0.5,0.642857
03090001,安居平五路,历史戏,4,4,0.666667,0.666667
03090002,扑油鼎,历史戏,3,3,1.0,0.0
03090003,雍凉关,历史戏,5,8,0.8,0.333333
03090004,凤鸣关,历史戏,2,1,1.0,0
03090005,天水关,历史戏,3,2,0.666667,1.0
03090006,割麦装神,神怪戏,2,1,1.0,0
03090007,战北原,历史戏,4,4,0.666667,0.666667
03090008,胭粉计,神怪戏,7,16,0.761905,0.333333
03091001,功臣泪,历史戏,2,1,1.0,0
03091002,上天台,历史戏,4,5,0.833333,0.333333
03091004,窦老送子,家庭戏,1,0,0,0
03091005,三字经,公案戏,3,3,1.0,0.0
03091006,乌盆记,神怪戏,7,15,0.714286,0.4
03091008,马房释放,公案戏,2,1,1.0,0
03092001,驱车战将,历史戏,2,1,1.0,0
03092002,湘江会,历史戏,3,3,1.0,0.0
03092004,秦罗敷,家庭戏,1,0,0,0
03093001,许田射鹿,历史戏,10,30,0.666667,0.416667
03093002,鹦鹉洲,历史戏,4,6,1.0,0.0
03093003,三气周瑜,历史戏,3,3,1.0,0.0
03093005,逍遥津,历史戏,5,10,1.0,0.0
03093006,瓦口关,历史戏,7,21,1.0,0.0
03093007,五截山,历史戏,8,23,0.821429,0.238095
03093008,哭祖庙,历史戏,4,4,0.666667,0.666667
03094001,意中缘,家庭戏,9,31,0.861111,0.178571
03096001,借赵云,历史戏,5,8,0.8,0.333333
03096002,舌战群儒,历史戏,4,4,0.666667,0.666667
03096003,华容道,历史戏,2,1,1.0,0
03096004,取南郡,历史戏,7,21,1.0,0.0
03096005,战长沙,历史戏,6,13,0.866667,0.2
03096006,黄鹤楼,历史戏,5,7,0.7,0.5
03097001,斩伍奢,公案戏,4,5,0.833333,0.333333
03097002,战樊城,公案戏,7,14,0.666667,0.233333
03097003,长亭会,公案戏,2,1,1.0,0
03097004,文昭关,公案戏,4,6,1.0,0.0
03097005,浣纱记,公案戏,3,2,0.666667,1.0
03097007,战郢城,历史戏,2,1,1.0,0
03098001,反徐州,公案戏,7,21,1.0,0.0
03098002,广泰庄,历史戏,1,0,0,0
03098004,采石矶,历史戏,2,1,1.0,0
03098005,战太平,历史戏,6,13,0.866667,0.2
03098007,搜山打车,历史戏,2,1,1.0,0
03099002,流沙河,神怪戏,4,6,1.0,0.0
03099003,莲花洞,神怪戏,1,0,0,0
03100001,虹霓关,历史戏,4,5,0.833333,0.333333
03100004,薛仁贵救驾,历史戏,6,14,0.933333,0.1
03100006,锁阳关,历史戏,4,4,0.666667,0.666667
03101001,单刀会,历史戏,4,6,1.0,0.0
03101002,水淹七军,历史戏,4,6,1.0,0.0
03101003,走麦城,历史戏,18,87,0.568627,0.485294
03101004,滚鼓山,历史戏,2,1,1.0,0
03103001,十老安刘,历史戏,8,17,0.607143,0.333333
03103002,四进士,公案戏,18,69,0.45098,0.419118
03104001,晋阳城,历史戏,2,1,1.0,0
03104004,四平山,历史戏,1,0,0,0
03105002,绿珠坠楼,家庭戏,1,0,0,0
03106001,窃兵符,历史戏,2,1,1.0,0
03106002,窃兵符,历史戏,1,0,0,0
03106003,窃兵符,历史戏,3,3,1.0,0.0
03106004,窃兵符,历史戏,2,1,1.0,0
03106005,窃兵符,历史戏,2,1,1.0,0
03107003,阳平关,历史戏,3,3,1.0,0.0
03108005,挑滑车,历史戏,3,3,1.0,0.0
03108007,疯僧扫秦,公案戏,2,1,1.0,0
03109001,河伯娶妇,家庭戏,1,0,0,0
03109002,赠绨袍,历史戏,2,1,1.0,0
03109003,回荆州,历史戏,6,10,0.666667,0.5
03109004,贺后骂殿,历史戏,10,35,0.777778,0.277778
03109005,玉麟图,江湖戏,2,0,0.0,0
04001001,空城计,历史戏,4,5,0.833333,0.333333
04001002,樊江关,历史戏,6,15,1.0,0.0
04001003,挑滑车,历史戏,0,0,0,0
04002003,辕门斩子,历史戏,8,21,0.75,0.333333
04003001,三顾茅庐,历史戏,6,13,0.866667,0.2
04003002,长坂坡,历史戏,5,9,0.9,0.166667
04003003,定军山,历史戏,7,15,0.714286,0.4
04004001,玉堂春,公案戏,0,0,0,0
04004002,两将军,历史戏,2,1,1.0,0
04004003,真假李逵,江湖戏,2,1,1.0,0
04008002,十三妹,江湖戏,11,36,0.654545,0.3
04009002,岳母刺字,历史戏,3,3,1.0,0.0
04009003,辕门射戟,历史戏,4,6,1.0,0.0
04010001,彩楼配,家庭戏,2,1,1.0,0
04010002,三击掌,家庭戏,2,1,1.0,0
04010003,平贵别窑,家庭戏,2,1,1.0,0
04010004,母女会,家庭戏,2,1,1.0,0
04010005,三岔口,江湖戏,4,6,1.0,0.0
04010006,通天犀,公案戏,2,1,1.0,0
04011001,宇宙锋,家庭戏,4,6,1.0,0.0
04011002,激权激瑜,历史戏,5,8,0.8,0.333333
04011003,思凡,家庭戏,1,0,0,0
04011004,阳平关,历史戏,3,3,1.0,0.0
04011005,清风寨,历史戏,1,0,0,0
04012001,二堂舍子,家庭戏,2,1,1.0,0
04012002,瓦口关,历史戏,7,19,0.904762,0.133333
04012003,杨排风,历史戏,5,8,0.8,0.333333
04013001,八大锤,历史戏,4,5,0.833333,0.333333
04013002,千里走单骑,历史戏,5,6,0.6,0.25
04014001,临江驿,家庭戏,4,6,1.0,0.0
04014002,岳家庄,历史戏,1,0,0,0
04014003,艳阳楼,江湖戏,6,14,0.933333,0.1
04016001,甘露寺,历史戏,12,41,0.621212,0.454545
04016002,拾玉镯,家庭戏,3,3,1.0,0.0
04016003,单刀会,历史戏,3,3,1.0,0.0
04017001,战太平,历史戏,7,18,0.857143,0.2
04017002,审潘洪,公案戏,8,12,0.428571,0.761905
04017003,二进宫,历史戏,3,3,1.0,0.0
04017004,五台山,历史戏,2,1,1.0,0
04018003,九江口,历史戏,3,3,1.0,0.0
04020002,鸿门宴,历史戏,6,15,1.0,0.0
04021002,镇潭州,历史戏,4,6,1.0,0.0
04021003,小放牛,家庭戏,2,1,1.0,0
04022001,霸王别姬,历史戏,4,6,1.0,0.0
04022002,描容上路,家庭戏,2,1,1.0,0
04022003,扫松下书,家庭戏,2,1,1.0,0
04022004,劈山救母,神怪戏,2,1,1.0,0
04023001,武松,江湖戏,1,0,0,0
04023002,武松打虎,江湖戏,1,0,0,0
04024004,一箭仇,历史戏,1,0,0,0
04025001,抗金兵,历史戏,3,3,1.0,0.0
04025002,借赵云,历史戏,5,8,0.8,0.333333
04025003,打面缸,江湖戏,5,10,1.0,0.0
04026001,游园惊梦,家庭戏,5,3,0.3,0.75
04026002,铡美案,公案戏,5,10,1.0,0.0
04026003,伐东吴,历史戏,3,2,0.666667,1.0
04026004,连升店,家庭戏,3,3,1.0,0.0
04027001,生死恨,家庭戏,13,34,0.435897,0.568182
04027002,打登州,江湖戏,8,28,1.0,0.0
04029002,三进士,家庭戏,6,15,1.0,0.0
04032002,连营寨,历史戏,3,2,0.666667,1.0
04034001,双合印,公案戏,11,34,0.618182,0.466667
04034002,贺后骂殿,历史戏,11,52,0.945455,0.066667
04034003,牛皋招亲,历史戏,9,28,0.777778,0.285714
04037001,玉簪记,家庭戏,11,39,0.709091,0.233333
04037003,钟馗嫁妹,神怪戏,5,10,1.0,0.0
04040002,打侄上坟,家庭戏,5,7,0.7,0.5
04042002,击鼓骂曹,历史戏,4,6,1.0,0.0
04044001,春闺梦,家庭戏,13,63,0.807692,0.227273
04045004,举鼎观画,历史戏,4,6,1.0,0.0
04049001,无底洞,神怪戏,17,66,0.485294,0.604167
05002001,斩彭越,历史戏,4,5,0.833333,0.333333
05002003,陈桥兵变,历史戏,1,0,0,0
05002005,金镛关,历史戏,1,0,0,0
05003001,临潼会,历史戏,1,0,0,0
05003002,楚宫恨,历史戏,5,10,1.0,0.0
05004001,专母训子,家庭戏,3,3,1.0,0.0
05004002,徐母骂曹,历史戏,3,3,1.0,0.0
05004004,徐母训子,家庭戏,2,1,1.0,0
05004005,袁吕结亲,历史戏,6,10,0.666667,0.5
05004007,七步吟,历史戏,1,0,0,0
05004008,月下赞貂婵,历史戏,2,1,1.0,0
05004009,富春江,历史戏,1,0,0,0
05004010,散瓦岗,历史戏,5,10,1.0,0.0
05004011,晋阳城,历史戏,2,1,1.0,0
05004012,花子骂相,历史戏,2,1,1.0,0
05006004,要离刺庆忌,历史戏,2,1,1.0,0
05006005,要离刺庆忌,历史戏,3,3,1.0,0.0
05006006,斩韩信,历史戏,5,8,0.8,0.333333
05007005,白帝城,历史戏,2,1,1.0,0
05007006,斩黄袍,历史戏,8,17,0.607143,0.333333
05009002,雄州关,历史戏,3,3,1.0,0.0
05010001,焚烟墩,历史戏,3,3,1.0,0.0
05010002,青草坡,历史戏,3,2,0.666667,1.0
05011001,游武庙,历史戏,2,1,1.0,0
05011002,鬼断家私,公案戏,1,0,0,0
05011003,三进士,家庭戏,6,15,1.0,0.0
05012001,吴越春秋,历史戏,6,15,1.0,0.0
05012002,吴越春秋,历史戏,7,20,0.952381,0.066667
05013002,珍珠塔,家庭戏,2,1,1.0,0
05013003,珍珠塔,家庭戏,2,0,0.0,0
05013004,珍珠塔,家庭戏,3,3,1.0,0.0
05013005,珍珠塔,家庭戏,2,1,1.0,0
05014002,破石兆,江湖戏,3,3,1.0,0.0
05014003,荆襄府,历史戏,4,6,1.0,0.0
05014004,张松骂曹,历史戏,3,3,1.0,0.0
05014005,左慈骂曹,历史戏,3,3,1.0,0.0
05014006,柴桑关,历史戏,6,15,1.0,0.0
05014008,截江夺斗,历史戏,3,3,1.0,0.0
05014009,天水关,历史戏,3,2,0.666667,1.0
05015002,恶虎关,历史戏,3,3,1.0,0.0
05016001,双义节,历史戏,1,0,0,0
05016002,敬德装疯,历史戏,6,15,1.0,0.0
05016003,康郎山,历史戏,2,1,1.0,0
05017001,战北原,历史戏,4,6,1.0,0.0
05018001,五彩舆,公案戏,6,4,0.266667,0.2
05018002,五彩舆,公案戏,6,11,0.733333,0.4
05018003,五彩舆,公案戏,5,6,0.6,0.666667
05018004,五彩舆,公案戏,7,11,0.52381,0.433333
05018005,五彩舆,公案戏,8,16,0.571429,0.380952
