剧本ID,剧本名称,剧目类别,角色总数,实际关系数,网络密度,度中心化
05019001,五彩舆,公案戏,6,13,0.866667,0.2
05019002,五彩舆,公案戏,5,7,0.7,0.5
05019003,五彩舆,公案戏,5,6,0.6,0.666667
05019004,五彩舆,公案戏,5,8,0.8,0.333333
05019005,五彩舆,公案戏,6,15,1.0,0.0
05020001,香莲帕,家庭戏,11,29,0.527273,0.455556
05021001,纪母骂刘邦,历史戏,2,1,1.0,0
05021002,喜封侯,历史戏,5,7,0.7,0.5
05022001,龙凤帕,家庭戏,3,3,1.0,0.0
05024001,鞭打督邮,历史戏,4,6,1.0,0.0
05024002,虎牢关,历史戏,4,6,1.0,0.0
05024003,骂董卓,历史戏,2,1,1.0,0
05024008,曹营见母,历史戏,4,6,1.0,0.0
05024012,柴桑口,历史戏,5,9,0.9,0.166667
05024013,对算荐雏,历史戏,3,3,1.0,0.0
05025001,大闹御马监,神怪戏,2,1,1.0,0
05025002,大闹蛇盘山鹰愁涧,神怪戏,3,2,0.666667,1.0
05025003,高老庄,神怪戏,3,3,1.0,0.0
07002001,渡阴平,历史戏,9,25,0.694444,0.392857
07004002,霸王遇虞姬,历史戏,3,3,1.0,0.0
08002005,姚期,历史戏,21,93,0.442857,0.571053
08005002,击鼓骂曹,历史戏,10,35,0.777778,0.277778
08005004,鹦鹉洲,历史戏,4,6,1.0,0.0
08005006,双蛇斗,神怪戏,1,0,0,0
09001002,宇宙锋,历史戏,7,19,0.904762,0.133333
09002002,奇双会,公案戏,6,15,1.0,0.0
09003003,卧龙吊孝,历史戏,12,51,0.772727,0.272727
09004003,断臂说书,历史戏,10,21,0.466667,0.541667
09006001,打严嵩,历史戏,6,14,0.933333,0.1
09006002,荒山泪,家庭戏,15,49,0.466667,0.615385
09007001,生死恨,家庭戏,22,67,0.290043,0.521429
09008002,林冲夜奔,江湖戏,7,15,0.714286,0.666667
10001032,珠帘寨,历史戏,10,26,0.577778,0.388889
10002001,南天门,神怪戏,5,7,0.7,0.5
10002046,坐楼杀惜,公案戏,3,3,1.0,0.0
11001001,连环套,江湖戏,29,174,0.428571,0.345238
11001003,殷家堡,江湖戏,15,62,0.590476,0.225275
13001007,敲骨求金,神怪戏,4,6,1.0,0.0
13003007,二度梅·舟配,家庭戏,6,12,0.8,0.3
13003008,画兰,家庭戏,3,3,1.0,0.0
13004002,洛阳桥·下海,神怪戏,1,0,0,0
13004003,安天会·偷桃,神怪戏,7,10,0.47619,0.5
13004004,安天会·大战,神怪戏,3,3,1.0,0.0
13004005,盘丝洞,神怪戏,4,6,1.0,0.0
14001001,一捧雪,公案戏,8,25,0.892857,0.142857
14001002,二进宫,历史戏,3,3,1.0,0.0
14001003,八大锤,历史戏,6,9,0.6,0.3
14001004,九更天,公案戏,10,27,0.6,0.361111
14001005,丁甲山,江湖戏,10,32,0.711111,0.361111
14001006,三娘教子,家庭戏,5,10,1.0,0.0
14001007,三击掌,家庭戏,2,1,1.0,0
14001008,上天台,历史戏,4,6,1.0,0.0
14001009,大保国,历史戏,4,6,1.0,0.0
14002002,打渔杀家,江湖戏,5,8,0.8,0.333333
14002003,打鼓骂曹,历史戏,4,6,1.0,0.0
14002004,打棍出箱,神怪戏,7,10,0.47619,0.733333
14002005,打严嵩,历史戏,4,5,0.833333,0.333333
14002006,打龙袍,公案戏,8,23,0.821429,0.238095
14002007,玉堂春,公案戏,5,10,1.0,0.0
14002008,白门楼,历史戏,8,23,0.821429,0.238095
14002009,目莲救母,神怪戏,3,3,1.0,0.0
14002010,宇宙锋,历史戏,4,6,1.0,0.0
14003003,空城计,历史戏,10,25,0.555556,0.416667
14007006,翠屏山,家庭戏,7,20,0.952381,0.1
14009005,香妃恨,历史戏,0,0,0,0
14014002,战宛城,历史戏,5,8,0.8,0.333333
14016004,选元戎,历史戏,2,1,1.0,0
14016005,三搜索府,公案戏,1,0,0,0
14016006,白眉毛大闹高家店,江湖戏,1,0,0,0
15013001,虎符救赵,历史戏,10,34,0.755556,0.305556
70001101,四进士,公案戏,16,56,0.466667,0.380952
70001102,打严嵩,历史戏,4,5,0.833333,0.333333
70001103,投军别窑,家庭戏,2,1,1.0,0
70001106,乌龙院,家庭戏,4,4,0.666667,0.666667
70001107,萧何月下追韩信,历史戏,4,6,1.0,0.0
70001108,徐策跑城,江湖戏,8,28,1.0,0.0
70001111,文天祥,历史戏,11,23,0.418182,0.711111
70001201,打渔杀家,江湖戏,3,3,1.0,0.0
70001202,审头刺汤,公案戏,4,6,1.0,0.0
70001203,金殿求计,历史戏,3,3,1.0,0.0
70001204,单刀赴会,历史戏,4,5,0.833333,0.333333
70001205,义责王魁,家庭戏,3,3,1.0,0.0
70001310,明末遗恨,历史戏,13,51,0.653846,0.310606
70001311,打严嵩,公案戏,4,5,0.833333,0.333333
70002101,群英会·借东风,历史戏,20,95,0.5,0.44152
70002102,甘露寺,历史戏,12,37,0.560606,0.536364
70002103,十老安刘,历史戏,31,200,0.430108,0.325287
70002104,串龙珠,历史戏,17,85,0.625,0.354167
70002105,赵氏孤儿,历史戏,22,93,0.402597,0.447619
70002201,四进士,公案戏,23,93,0.367589,0.493506
70002202,胭脂宝褶,历史戏,24,74,0.268116,0.563241
70002203,二堂舍子,家庭戏,9,25,0.694444,0.392857
70002205,清官册·夜审潘洪,公案戏,16,51,0.425,0.504762
70003101,斩熊虎,历史戏,6,13,0.866667,0.2
70003102,桃园结义,历史戏,4,6,1.0,0.0
70003103,造刀投军,历史戏,3,3,1.0,0.0
70003104,斩华雄,历史戏,5,10,1.0,0.0
70003105,斩车胄,历史戏,6,12,0.8,0.3
70003106,屯土山,历史戏,3,3,1.0,0.0
70003107,赐袍赠马,历史戏,6,11,0.733333,0.4
70003108,白马坡,历史戏,9,24,0.666667,0.428571
70003109,诛文丑,历史戏,5,8,0.8,0.333333
70003110,阅军教刀,历史戏,3,3,1.0,0.0
70003111,破汝南,历史戏,4,6,1.0,0.0
70003112,灞桥挑袍,历史戏,2,1,1.0,0
70003113,过五关,历史戏,13,38,0.487179,0.606061
70003114,收周仓,历史戏,7,9,0.428571,0.8
70003115,古城会,历史戏,7,17,0.809524,0.266667
70003116,训弟,历史戏,4,6,1.0,0.0
70003117,收关平,历史戏,8,19,0.678571,0.428571
70003118,火烧博望坡,历史戏,6,12,0.8,0.3
70003119,汉津口,历史戏,8,23,0.821429,0.238095
70003120,临江会,历史戏,6,15,1.0,0.0
70003121,华容道,历史戏,9,21,0.583333,0.535714
70003122,战长沙,历史戏,4,6,1.0,0.0
70003123,单刀会,历史戏,5,7,0.7,0.5
70003124,取襄阳,历史戏,10,28,0.622222,0.472222
70003125,水淹七军,历史戏,4,6,1.0,0.0
70003126,刮骨疗毒,历史戏,2,1,1.0,0
70003127,走麦城,历史戏,8,17,0.607143,0.52381
70004101,驱车战将,历史戏,1,0,0,0
70004102,好鹤失政,历史戏,1,0,0,0
70004103,陈十策,历史戏,1,0,0,0
70004104,绝龙岭,历史戏,1,0,0,0
70004105,闹朝击犬,历史戏,2,1,1.0,0
70004106,二子乘舟,家庭戏,0,0,0,0
70004107,未央宫斩韩信,历史戏,4,6,1.0,0.0
70004108,古城会,历史戏,5,10,1.0,0.0
70004109,走麦城,历史戏,17,58,0.426471,0.729167
70004111,刀劈三关,历史戏,5,8,0.8,0.333333
70005101,战蚩尤,历史戏,3,3,1.0,0.0
70005102,洗耳记,历史戏,3,2,0.666667,1.0
70005103,将相和,历史戏,2,1,1.0,0
70005104,博浪锥,历史戏,3,3,1.0,0.0
70005106,马前泼水,家庭戏,6,6,0.4,0.6
70005108,受禅台,历史戏,9,36,1.0,0.0
70005109,骂王朗,历史戏,2,1,1.0,0
70005110,哭祖庙,历史戏,5,5,0.5,0.833333
70005111,马嵬驿,历史戏,2,1,1.0,0
70005112,刀劈三关,历史戏,3,2,0.666667,1.0
70005114,骂阎罗,神怪戏,6,7,0.466667,0.8
70005115,排王赞,历史戏,6,9,0.6,0.6
70005116,煤山恨,历史戏,3,3,1.0,0.0
70005118,孝妇羹,家庭戏,7,21,1.0,0.0
70006101,搜孤救孤,历史戏,4,5,0.833333,0.333333
70006102,捉放曹,历史戏,4,6,1.0,0.0
70006103,击鼓骂曹,历史戏,2,1,1.0,0
70006104,定军山,历史戏,7,12,0.571429,0.6
70006105,失街亭·空城计·斩马谡,历史戏,4,4,0.666667,0.666667
70006106,武家坡,家庭戏,2,1,1.0,0
70006107,珠帘寨,历史戏,8,21,0.75,0.333333
70006108,洪羊洞,历史戏,7,10,0.47619,0.733333
70006109,乌盆记,公案戏,7,13,0.619048,0.533333
70006110,战太平,历史戏,6,13,0.866667,0.2
70006111,二进宫,历史戏,5,10,1.0,0.0
70006112,御碑亭,家庭戏,5,9,0.9,0.166667
70201101,宇宙锋,家庭戏,3,3,1.0,0.0
70201104,黛玉葬花,家庭戏,2,1,1.0,0
70201105,天女散花,神怪戏,0,0,0,0
70201106,霸王别姬,历史戏,4,6,1.0,0.0
70201107,洛神,神怪戏,4,6,1.0,0.0
70201109,抗金兵,历史戏,3,3,1.0,0.0
70201110,生死恨,家庭戏,12,31,0.469697,0.527273
70201201,女起解,公案戏,2,1,1.0,0
70201202,三堂会审,公案戏,5,10,1.0,0.0
70201203,西施,历史戏,8,21,0.75,0.333333
70201204,穆桂英挂帅,历史戏,11,40,0.727273,0.333333
70202101,红拂传,江湖戏,4,5,0.833333,0.333333
70202102,三击掌,家庭戏,2,1,1.0,0
70202103,鸳鸯冢,家庭戏,10,25,0.555556,0.416667
70202104,青霜剑,公案戏,6,11,0.733333,0.4
70202105,窦娥冤,公案戏,8,20,0.714286,0.380952
70202106,碧玉簪,家庭戏,7,19,0.904762,0.133333
70202107,梅妃,历史戏,4,6,1.0,0.0
70202108,硃痕记,家庭戏,8,28,1.0,0.0
70202109,荒山泪,家庭戏,8,19,0.678571,0.238095
70202110,春闺梦,家庭戏,7,17,0.809524,0.266667
70202111,亡蜀鉴,历史戏,1,0,0,0
70202112,锁麟囊,家庭戏,17,124,0.911765,0.1
70203101,花田错,家庭戏,12,48,0.727273,0.327273
70203102,辛安驿,江湖戏,7,18,0.857143,0.2
70203103,元宵谜,家庭戏,13,42,0.538462,0.44697
70203104,香罗带,家庭戏,10,27,0.6,0.361111
70203105,钗头凤,家庭戏,12,48,0.727273,0.327273
70203106,杜十娘,家庭戏,7,18,0.857143,0.2
70203107,红楼二尤,家庭戏,17,79,0.580882,0.3375
70203108,勘玉钏,公案戏,15,68,0.647619,0.406593
70203109,红娘,家庭戏,11,47,0.854545,0.177778
70203111,金玉奴,家庭戏,10,31,0.688889,0.388889
70203112,卓文君,家庭戏,8,25,0.892857,0.142857
70203201,大英杰烈,江湖戏,12,43,0.651515,0.418182
70203202,玉堂春,公案戏,0,0,0,0
70203203,绣襦记,家庭戏,8,23,0.821429,0.238095
70203204,霍小玉,家庭戏,9,25,0.694444,0.392857
70204106,渔夫恨,江湖戏,6,13,0.866667,0.2
70204107,桃花扇,历史戏,13,70,0.897436,0.121212
70401101,荆轲传,历史戏,1,0,0,0
70401104,青梅煮酒论英雄,历史戏,2,1,1.0,0
70401106,瓦口关,历史戏,7,21,1.0,0.0
70401107,打龙棚,历史戏,4,6,1.0,0.0
70401110,飞虎梦,历史戏,8,21,0.75,0.333333
70402101,铡判官,公案戏,12,33,0.5,0.490909
70402102,铡美案,公案戏,8,17,0.607143,0.52381
70402103,锁五龙,历史戏,5,10,1.0,0.0
70402104,除三害,家庭戏,7,17,0.809524,0.266667
70402105,断密涧,历史戏,6,15,1.0,0.0
70601101,赤壁鏖兵,历史戏,6,12,0.8,0.3
70601102,赤壁鏖兵,历史戏,6,13,0.866667,0.2
70601103,赤壁鏖兵,历史戏,6,15,1.0,0.0
70601104,赤壁鏖兵,历史戏,10,38,0.844444,0.194444
70601105,赤壁鏖兵,历史戏,9,26,0.722222,0.357143
70601106,赤壁鏖兵,历史戏,4,4,0.666667,0.666667
70601107,赤壁鏖兵,历史戏,6,9,0.6,0.6
70601108,赤壁鏖兵,历史戏,4,5,0.833333,0.333333
70601110,变羊记,家庭戏,5,9,0.9,0.166667
70801109,江汉渔歌,历史戏,2,1,1.0,0
70801115,琵琶行,历史戏,3,3,1.0,0.0
70801119,西厢记,家庭戏,5,7,0.7,0.5
70801120,谢瑶环,历史戏,17,82,0.602941,0.45
70802106,青霞丹雪,历史戏,18,85,0.555556,0.367647
70802107,王宝钏,家庭戏,4,6,1.0,0.0
70803102,九江口,历史戏,6,15,1.0,0.0
70804101,满江红,历史戏,8,20,0.714286,0.380952
70805101,锁麟囊,家庭戏,17,124,0.911765,0.1
70805102,周仁献嫂,家庭戏,5,10,1.0,0.0
70805104,大闹天宫,神怪戏,4,3,0.5,0.333333
70805105,响马传,江湖戏,28,260,0.687831,0.336182
70805106,西门豹,公案戏,8,22,0.785714,0.285714
70805901,李逵探母,家庭戏,5,7,0.7,0.5
70901101,单刀会·训子,历史戏,4,6,1.0,0.0
70901102,单刀会·刀会,历史戏,3,3,1.0,0.0
70901103,昊天塔·激良,历史戏,3,3,1.0,0.0
70901104,昊天塔·会兄,历史戏,4,4,0.666667,0.666667
70901105,义侠记·打虎,江湖戏,2,1,1.0,0
70901106,一种情·冥勘,神怪戏,4,6,1.0,0.0
70901107,千金记·别姬,历史戏,4,6,1.0,0.0
70901109,南西厢记·惠明下书,江湖戏,6,15,1.0,0.0
70901115,宝剑记·夜奔,历史戏,1,0,0,0
70901117,清忠谱·五人义,历史戏,14,74,0.813187,0.128205
70901118,麒麟阁·三挡,历史戏,4,5,0.833333,0.333333
70901130,琼林宴·阳审,公案戏,5,10,1.0,0.0
70901132,桃花扇·争座,历史戏,6,15,1.0,0.0
70901133,桃花扇·和战,历史戏,5,8,0.8,0.333333
70901134,升平宝筏·擒猴,神怪戏,2,1,1.0,0
70901135,升平宝筏·北饯,历史戏,6,15,1.0,0.0
70901136,升平宝筏·激猴,神怪戏,2,1,1.0,0
70901144,兴唐传·御果园,历史戏,9,28,0.777778,0.285714
70901145,列国传·棋盘会,历史戏,11,51,0.927273,0.088889
70901147,奏朝草诏,历史戏,5,8,0.8,0.333333
70902101,单刀会·刀会,历史戏,3,3,1.0,0.0
70902102,东窗事犯·扫秦,神怪戏,3,3,1.0,0.0
70902103,西游记·认子,家庭戏,2,1,1.0,0
70902104,荆钗记·见娘,家庭戏,3,3,1.0,0.0
70902105,荆钗记·男祭,家庭戏,3,3,1.0,0.0
70902108,牧羊记·望乡,历史戏,2,1,1.0,0
70902109,牡丹亭·游园,家庭戏,2,1,1.0,0
70902110,牡丹亭·惊梦,神怪戏,4,4,0.666667,0.666667
70902111,牡丹亭·寻梦,家庭戏,2,1,1.0,0
70902112,牡丹亭·拾画,家庭戏,1,0,0,0
70902113,牡丹亭·叫画,家庭戏,1,0,0,0
70902114,紫钗记·折柳,家庭戏,3,3,1.0,0.0
70902115,紫钗记·阳关,家庭戏,3,3,1.0,0.0
70902119,玉簪记·琴挑,家庭戏,2,1,1.0,0
70902120,玉簪记·问病,家庭戏,4,6,1.0,0.0
70902121,玉簪记·秋江,家庭戏,6,14,0.933333,0.1
70902122,狮吼记·梳妆,家庭戏,3,3,1.0,0.0
70902123,狮吼记·跪池,家庭戏,4,6,1.0,0.0
70902126,千忠戮·惨睹,历史戏,2,1,1.0,0
70902127,长生殿·酒楼,历史戏,3,3,1.0,0.0
70902128,长生殿·絮阁,家庭戏,4,6,1.0,0.0
70902129,长生殿·惊变,历史戏,4,5,0.833333,0.333333
70902130,长生殿·埋玉,历史戏,4,6,1.0,0.0
70902131,长生殿·闻铃,历史戏,3,3,1.0,0.0
70902132,长生殿·哭像,历史戏,2,1,1.0,0
70902133,长生殿·弹词,历史戏,6,15,1.0,0.0
70902134,孽海记·思凡,家庭戏,1,0,0,0
70902136,凤凰山·百花赠剑,家庭戏,3,3,1.0,0.0
70902138,奇双会·写状,公案戏,2,1,1.0,0
70902141,风云会·访普,历史戏,7,17,0.809524,0.266667
70902142,四声猿·骂曹,神怪戏,5,7,0.7,0.5
70902144,荆钗记·上路,家庭戏,3,3,1.0,0.0
70902145,琵琶记·卖发,家庭戏,2,1,1.0,0
70902146,琵琶记·赏荷,家庭戏,2,1,1.0,0
70902156,南西厢记·佳期,家庭戏,3,3,1.0,0.0
70902157,焚香记·阳告,神怪戏,4,6,1.0,0.0
70902158,牡丹亭·硬拷,公案戏,4,6,1.0,0.0
70902159,金雀记·乔醋,家庭戏,4,5,0.833333,0.333333
70902162,疗妒羹·题曲,家庭戏,1,0,0,0
70902170,白罗衫·游园,公案戏,4,4,0.666667,0.666667
70902171,白罗衫·看状,公案戏,2,1,1.0,0
70902172,艳云亭·痴诉,公案戏,4,6,1.0,0.0
70902176,铁冠图·撞钟,历史戏,6,10,0.666667,0.5
70902177,铁冠图·分宫,历史戏,6,15,1.0,0.0
70902178,铁冠图·刺虎,历史戏,2,1,1.0,0
70903102,单刀会·刀会,历史戏,3,3,1.0,0.0
70904110,棋盘会·点将,历史戏,8,28,1.0,0.0
70904115,西游记·胖姑学舌,家庭戏,3,3,1.0,0.0
70904207,西游记·认子,家庭戏,2,1,1.0,0
70904208,西游记·胖姑学舌,家庭戏,1,0,0,0
70904214,九莲灯·焚宫烧狱,神怪戏,1,0,0,0
80000001,四郎探母,家庭戏,10,23,0.511111,0.611111
80000002,打渔杀家,江湖戏,3,3,1.0,0.0
80000003,打龙袍,公案戏,6,13,0.866667,0.2
80000004,武家坡,家庭戏,2,1,1.0,0
80000005,火牛阵,历史戏,11,28,0.509091,0.477778
80000006,清官册,公案戏,5,7,0.7,0.5
80000007,李陵碑,历史戏,4,3,0.5,0.333333
80000008,哭灵牌,历史戏,1,0,0,0
80000009,梅龙镇,家庭戏,2,1,1.0,0
80000010,梅龙镇,家庭戏,2,1,1.0,0
80000011,白帝城,历史戏,7,20,0.952381,0.066667
80000012,别宫祭江,家庭戏,3,3,1.0,0.0
80000013,野猪林,江湖戏,9,26,0.722222,0.357143
80000014,汾河湾,家庭戏,3,3,1.0,0.0
80000015,官渡之战,历史戏,11,29,0.527273,0.455556
80000016,贺后骂殿,历史戏,6,15,1.0,0.0
80000017,打面缸,公案戏,5,10,1.0,0.0
80000018,奇冤报,神怪戏,5,8,0.8,0.333333
80000019,打严嵩,公案戏,4,5,0.833333,0.333333
80000020,长坂坡,历史戏,11,30,0.545455,0.433333
80000021,文姬归汉,历史戏,8,15,0.535714,0.428571
80000022,辕门斩子,家庭戏,8,23,0.821429,0.238095
80000023,桃花村,江湖戏,11,49,0.890909,0.133333
80000024,贺后骂殿,历史戏,3,3,1.0,0.0
80000025,春闺梦,神怪戏,3,3,1.0,0.0
80000026,桃花扇,历史戏,13,67,0.858974,0.166667
80000027,三顾茅庐,历史戏,10,31,0.688889,0.388889
80000028,四郎探母,家庭戏,11,29,0.527273,0.577778
80000029,战樊城,历史戏,8,18,0.642857,0.285714
80000030,长亭会,历史戏,2,1,1.0,0
80000031,文昭关,历史戏,4,6,1.0,0.0
80000032,千里送京娘,江湖戏,2,1,1.0,0
80000036,借赵云,历史戏,5,8,0.8,0.333333
80000038,樊江关,家庭戏,6,12,0.8,0.3
90000001,红线盗盒,江湖戏,1,0,0,0
90000002,麻姑拜寿,神怪戏,4,6,1.0,0.0
90000003,赚文娟,家庭戏,2,1,1.0,0
90000004,红娘,家庭戏,3,3,1.0,0.0
90000005,梅龙镇,家庭戏,2,1,1.0,0
90000006,花园赠金,家庭戏,2,1,1.0,0
90000007,花木兰,历史戏,17,40,0.294118,0.445833
90000008,双阳公主,历史戏,6,12,0.8,0.3
90000009,罗成,历史戏,8,12,0.428571,0.761905
90000010,红梅阁,神怪戏,4,6,1.0,0.0
90000021,困曹府,神怪戏,4,5,0.833333,0.333333
94000001,别宫祭江,历史戏,2,3,3.0,0
94000002,海瑞上疏,历史戏,27,161,0.458689,0.584615
94000003,打孟良,江湖戏,4,6,1.0,0.0
94000004,柳荫记,家庭戏,10,29,0.644444,0.444444
94000005,诗文会,家庭戏,7,21,1.0,0.0
94000006,春草闯堂,公案戏,5,10,1.0,0.0
