剧本ID,剧本名称,剧目类别,角色总数,实际关系数,网络密度,度中心化,核心关系,核心主题
01001002,洪羊洞,家庭戏,9,17,0.472222,0.678571,同盟关系,宗教祥瑞
01001006,捉放曹,历史戏,6,10,0.666667,0.5,审判与恩怨关系,公案冤狱
01001008,取成都,历史戏,5,8,0.8,0.333333,亲属关系,家庭亲情
01001009,硃砂痣,家庭戏,6,9,0.6,0.3,亲属关系,家庭亲情
01001010,黄金台,历史戏,6,11,0.733333,0.4,冲突关系,战争武略
01001011,文昭关,历史戏,4,5,0.833333,0.333333,冲突关系,战争武略
01001012,黄鹤楼,历史戏,6,9,0.6,0.3,权力关系,战争武略
01001017,清官册,公案戏,5,6,0.6,0.666667,审判与恩怨关系,公案冤狱
01002003,祭长江,家庭戏,1,0,0,0,婚恋关系,婚恋姻缘
01002007,打金枝,家庭戏,5,9,0.9,0.166667,亲属关系,家庭亲情
01002008,八义图,历史戏,4,5,0.833333,0.333333,冲突关系,家庭亲情
01002009,鱼肠剑,江湖戏,7,16,0.761905,0.333333,亲属关系,家庭亲情
01002016,打渔杀家,江湖戏,5,8,0.8,0.333333,冲突关系,善恶转化
01002017,黑风帕,神怪戏,6,11,0.733333,0.4,亲属关系,家庭亲情
01003001,琼林宴,公案戏,6,8,0.533333,0.7,婚恋关系,婚恋姻缘
01003002,蒋干中计,历史戏,13,57,0.730769,0.318182,冲突关系,战争武略
01003005,拾黄金,家庭戏,1,0,0,0,亲属关系,礼教品格
01003006,辕门斩子,家庭戏,8,23,0.821429,0.238095,亲属关系,家庭亲情
01003009,打龙袍,家庭戏,6,13,0.866667,0.2,审判与恩怨关系,公案冤狱
01003011,斩黄袍,历史戏,7,14,0.666667,0.466667,权力关系,政治权力
01003012,彩楼配,家庭戏,7,16,0.761905,0.333333,亲属关系,家庭亲情
01003013,滑油山,神怪戏,1,0,0,0,亲属关系,宗教祥瑞
01003017,独木关,历史戏,5,7,0.7,0.5,冲突关系,战争武略
01004001,逍遥津,历史戏,16,78,0.65,0.32381,权力关系,政治权力
01004004,盗宗卷,历史戏,7,14,0.666667,0.466667,权力关系,政治权力
01004007,取荥阳,历史戏,5,9,0.9,0.166667,权力关系,战争武略
01004011,飞虎山,历史戏,6,14,0.933333,0.1,亲属关系,家庭亲情
01005003,天雷报,家庭戏,6,9,0.6,0.6,亲属关系,家庭亲情
01005006,六月雪,公案戏,4,5,0.833333,0.333333,审判与恩怨关系,公案冤狱
01005008,玉堂春,公案戏,0,0,0,0,审判与恩怨关系,公案冤狱
01005010,御碑亭,家庭戏,9,22,0.611111,0.5,亲属关系,家庭亲情
01005013,双摇会,家庭戏,6,13,0.866667,0.2,婚恋关系,婚恋姻缘
01006001,连营寨,历史戏,5,8,0.8,0.333333,冲突关系,战争武略
01006002,战长沙,历史戏,4,5,0.833333,0.333333,冲突关系,战争武略
01006003,草桥关,历史戏,7,17,0.809524,0.266667,权力关系,战争武略
01006004,九更天,公案戏,7,11,0.52381,0.433333,审判与恩怨关系,忠义家国
01006005,状元谱,家庭戏,5,7,0.7,0.5,亲属关系,文人世情
01006007,定军山,历史戏,10,26,0.577778,0.527778,冲突关系,战争武略
01006008,宝莲灯,家庭戏,5,9,0.9,0.166667,亲属关系,家庭亲情
01006010,落马湖,江湖戏,5,5,0.5,0.416667,审判与恩怨关系,除暴侠义
01006011,花田错,家庭戏,7,15,0.714286,0.166667,婚恋关系,婚恋姻缘
01006013,孝义节,神怪戏,4,4,0.666667,0.666667,权力关系,礼教品格
01006014,金水桥,家庭戏,6,12,0.8,0.3,权力关系,政治权力
01006016,探亲相骂,家庭戏,5,7,0.7,0.5,亲属关系,家庭亲情
01007001,卖马,江湖戏,6,12,0.8,0.3,权力关系,除暴侠义
01007011,蝴蝶杯,家庭戏,19,75,0.438596,0.441176,婚恋关系,婚恋姻缘
01007014,五雷阵,神怪戏,4,4,0.666667,0.666667,冲突关系,战争武略
01008004,阳平关,历史戏,6,14,0.933333,0.1,冲突关系,战争武略
01008005,算粮登殿,家庭戏,8,27,0.964286,0.047619,婚恋关系,婚恋姻缘
01008006,虹霓关,历史戏,6,12,0.8,0.3,审判与恩怨关系,恩怨报偿
01008008,杜十娘,家庭戏,7,12,0.571429,0.6,亲属关系,家庭亲情
01008011,双钉记,公案戏,4,4,0.666667,0.666667,同盟关系,礼教品格
01009001,失街亭,历史戏,4,5,0.833333,0.333333,冲突关系,战争武略
01009006,长坂坡,历史戏,10,19,0.422222,0.583333,婚恋关系,战争武略
01009008,白良关,历史戏,8,18,0.642857,0.47619,婚恋关系,婚恋姻缘
01009009,卖绒花,家庭戏,0,0,0,0,亲属关系,家庭亲情
01009012,青石山,神怪戏,8,11,0.392857,0.428571,冲突关系,宗教祥瑞
01009014,濮阳城,历史戏,5,8,0.8,0.333333,权力关系,战争武略
01009015,战樊城,历史戏,6,12,0.8,0.3,审判与恩怨关系,恩怨报偿
01010002,宫门带,历史戏,6,9,0.6,0.6,权力关系,政治权力
01010003,渭水河,历史戏,0,0,0,0,权力关系,文人世情
01010010,锁云囊,江湖戏,4,5,0.833333,0.333333,亲属关系,除暴侠义
01011002,请宋灵,历史戏,8,18,0.642857,0.285714,权力关系,忠义家国
01011003,回龙阁,家庭戏,8,26,0.928571,0.095238,婚恋关系,婚恋姻缘
01011004,烧绵山,历史戏,8,22,0.785714,0.285714,亲属关系,家庭亲情
01011008,马上缘,家庭戏,4,4,0.666667,0.666667,亲属关系,战争武略
01011009,拿高登,江湖戏,8,17,0.607143,0.333333,亲属关系,家庭亲情
01011011,白马坡,历史戏,4,5,0.833333,0.333333,冲突关系,战争武略
01011012,摩天岭,历史戏,9,33,0.916667,0.107143,冲突关系,战争武略
01012001,泥马渡康王,神怪戏,9,15,0.416667,0.428571,权力关系,忠义家国
01012002,闹江州,江湖戏,6,11,0.733333,0.4,审判与恩怨关系,除暴侠义
01012004,莲花湖,江湖戏,5,4,0.4,0.166667,冲突关系,除暴侠义
01012006,少华山,家庭戏,5,9,0.9,0.166667,婚恋关系,文人世情
01012008,春秋配,家庭戏,4,5,0.833333,0.333333,亲属关系,文人世情
01012012,南阳关,历史戏,8,15,0.535714,0.619048,冲突关系,战争武略
01012014,血手印,公案戏,6,12,0.8,0.3,审判与恩怨关系,公案冤狱
01012015,一捧雪,公案戏,5,8,0.8,0.333333,婚恋关系,婚恋姻缘
01013001,司马逼宫,历史戏,6,13,0.866667,0.2,权力关系,政治权力
01013003,赠别挑袍,历史戏,4,4,0.666667,0.666667,权力关系,战争武略
01013004,借赵云,历史戏,5,8,0.8,0.333333,冲突关系,战争武略
01013006,奇冤报,神怪戏,5,9,0.9,0.166667,审判与恩怨关系,公案冤狱
01013007,恶虎村,江湖戏,10,37,0.822222,0.222222,审判与恩怨关系,恩怨报偿
01013009,罗四虎,公案戏,9,13,0.361111,0.660714,冲突关系,除暴侠义
01013010,八蜡庙,江湖戏,10,35,0.777778,0.277778,审判与恩怨关系,除暴侠义
01013011,伐东吴,历史戏,8,14,0.5,0.666667,冲突关系,战争武略
01013012,战太平,历史戏,7,15,0.714286,0.4,冲突关系,战争武略
01013013,刺巴杰,江湖戏,7,16,0.761905,0.333333,亲属关系,家庭亲情
01013014,金钱豹,神怪戏,7,15,0.714286,0.4,婚恋关系,文人世情
01013016,贾家楼,江湖戏,10,30,0.666667,0.277778,同盟关系,除暴侠义
01014004,秦淮河,江湖戏,6,13,0.866667,0.2,冲突关系,除暴侠义
01014005,打樱桃,家庭戏,7,18,0.857143,0.2,亲属关系,家庭亲情
01014006,丁甲山,江湖戏,7,16,0.761905,0.333333,亲属关系,除暴侠义
01014007,淮安府,公案戏,4,4,0.666667,0.666667,亲属关系,除暴侠义
01014010,错杀奸,公案戏,5,9,0.9,0.166667,亲属关系,善恶转化
01014012,摘缨会,历史戏,5,7,0.7,0.5,权力关系,政治权力
01014014,罗锅子抢亲,家庭戏,7,15,0.714286,0.4,亲属关系,家庭亲情
01014019,五花洞,神怪戏,9,23,0.638889,0.303571,审判与恩怨关系,公案冤狱
01014020,红梅阁,神怪戏,4,5,0.833333,0.333333,婚恋关系,除暴侠义
01014021,恶虎庄,江湖戏,7,16,0.761905,0.333333,权力关系,政治权力
01015002,古城相会,历史戏,4,5,0.833333,0.333333,同盟关系,战争武略
01015003,潞安州,历史戏,8,13,0.464286,0.333333,冲突关系,战争武略
01015006,英杰烈,家庭戏,7,15,0.714286,0.4,亲属关系,家庭亲情
01015009,盗魂铃,神怪戏,4,4,0.666667,0.666667,亲属关系,宗教祥瑞
01015011,庆阳图,历史戏,9,21,0.583333,0.375,权力关系,政治权力
01015012,一捧雪,公案戏,6,10,0.666667,0.5,审判与恩怨关系,文人世情
01015014,赵家楼,江湖戏,10,31,0.688889,0.388889,同盟关系,除暴侠义
01015016,八郎探母,历史戏,10,24,0.533333,0.583333,亲属关系,家庭亲情
01015017,临潼山,历史戏,8,21,0.75,0.380952,权力关系,政治权力
01016002,蒯彻装疯,历史戏,8,21,0.75,0.333333,权力关系,政治权力
01016006,取南郡,历史戏,16,63,0.525,0.390476,冲突关系,战争武略
01016009,大锯缸,神怪戏,5,7,0.7,0.5,权力关系,宗教祥瑞
01016010,三让徐州,历史戏,0,0,0,0,权力关系,战争武略
01016014,破洪州,历史戏,4,5,0.833333,0.333333,冲突关系,战争武略
01016017,郿邬县,公案戏,11,36,0.654545,0.3,审判与恩怨关系,公案冤狱
01017001,风波亭,历史戏,20,62,0.326316,0.51462,权力关系,忠义家国
01017002,三上殿,公案戏,7,16,0.761905,0.333333,权力关系,政治权力
01017003,假金牌,公案戏,4,5,0.833333,0.333333,权力关系,战争武略
01017004,襄阳宴,历史戏,13,45,0.576923,0.5,冲突关系,战争武略
01017006,张古董借妻,家庭戏,5,9,0.9,0.166667,亲属关系,家庭亲情
01017011,景阳岗,江湖戏,6,5,0.333333,0.4,冲突关系,除暴侠义
01017013,下河东,历史戏,6,8,0.533333,0.7,冲突关系,战争武略
01018001,朝歌恨,历史戏,9,18,0.5,0.482143,权力关系,政治权力
01018003,骂阎罗,神怪戏,5,5,0.5,1.333333,审判与恩怨关系,宗教祥瑞
01018005,排王赞,历史戏,6,9,0.6,0.6,权力关系,忠义家国
01018011,五人义,江湖戏,10,33,0.733333,0.333333,审判与恩怨关系,忠义家国
01018013,迷人馆,江湖戏,16,50,0.416667,0.514286,婚恋关系,除暴侠义
01018014,冀州城,历史戏,11,28,0.509091,0.355556,冲突关系,战争武略
01019001,进妲己,历史戏,18,85,0.555556,0.5,权力关系,政治权力
01019002,过五关,历史戏,12,33,0.5,0.6,冲突关系,战争武略
01019003,三顾茅庐,历史戏,18,62,0.405229,0.470588,亲属关系,战争武略
01019004,舌战群儒,历史戏,5,6,0.6,0.25,冲突关系,战争武略
01019005,马前泼水,家庭戏,6,6,0.4,0.6,婚恋关系,婚恋姻缘
01019006,讨荆州,历史戏,6,13,0.866667,0.2,冲突关系,战争武略
01019009,曾头市,江湖戏,7,17,0.809524,0.266667,亲属关系,除暴侠义
01019012,镇潭州,历史戏,7,14,0.666667,0.466667,冲突关系,战争武略
01019013,磐河战,历史戏,5,9,0.9,0.166667,冲突关系,战争武略
01020001,麦城升天,历史戏,7,17,0.809524,0.266667,冲突关系,战争武略
01020002,戏迷传,家庭戏,0,0,0,0,亲属关系,家庭亲情
01020003,汾河湾,家庭戏,5,8,0.8,0.333333,婚恋关系,婚恋姻缘
01020004,别母乱箭,历史戏,10,25,0.555556,0.555556,婚恋关系,忠义家国
01020005,义旗令,江湖戏,13,46,0.589744,0.287879,婚恋关系,除暴侠义
01020007,凤凰山,历史戏,10,26,0.577778,0.527778,同盟关系,战争武略
01020008,燕青打擂,江湖戏,11,43,0.781818,0.266667,冲突关系,除暴侠义
01020009,采花赶府,家庭戏,5,7,0.7,0.5,婚恋关系,婚恋姻缘
01020010,青楼梦,家庭戏,10,27,0.6,0.361111,亲属关系,家庭亲情
01020013,铁公鸡,历史戏,15,31,0.295238,0.565934,冲突关系,战争武略
01021001,许田射鹿,历史戏,11,36,0.654545,0.422222,权力关系,政治权力
01021002,霸王别姬,历史戏,4,4,0.666667,0.666667,冲突关系,战争武略
01021004,玉玲珑,江湖戏,9,23,0.638889,0.464286,婚恋关系,婚恋姻缘
01021005,泗州城,神怪戏,9,12,0.333333,0.375,亲属关系,宗教祥瑞
01021006,天宝图,江湖戏,33,114,0.215909,0.335685,亲属关系,家庭亲情
01021007,雪夜访普,历史戏,8,24,0.857143,0.190476,权力关系,政治权力
01022002,哭祖庙,历史戏,4,4,0.666667,0.666667,权力关系,忠义家国
01022004,明末遗恨,历史戏,6,9,0.6,0.6,权力关系,恩怨报偿
01022005,青风寨,江湖戏,6,12,0.8,0.3,亲属关系,除暴侠义
01022006,太平桥,历史戏,8,18,0.642857,0.47619,权力关系,战争武略
01022010,飞叉阵,历史戏,8,13,0.464286,0.52381,亲属关系,家庭亲情
01022012,天宝图,江湖戏,44,164,0.173362,0.403101,权力关系,除暴侠义
01023001,宏碧缘,江湖戏,14,69,0.758242,0.192308,亲属关系,家庭亲情
01023005,洗浮山,公案戏,5,9,0.9,0.166667,冲突关系,宗教祥瑞
01023007,百凉楼,历史戏,6,14,0.933333,0.1,冲突关系,战争武略
01024001,宏碧缘,江湖戏,0,0,0,0,审判与恩怨关系,除暴侠义
01024002,宏碧缘,江湖戏,27,82,0.233618,0.578462,亲属关系,家庭亲情
01024005,思凡,家庭戏,1,0,0,0,亲属关系,宗教祥瑞
01024006,雪杯圆,家庭戏,5,8,0.8,0.333333,亲属关系,家庭亲情
01024008,佛门点元,家庭戏,16,30,0.25,0.47619,亲属关系,恩怨报偿
01024009,木门道,历史戏,9,32,0.888889,0.142857,冲突关系,战争武略
01025001,宏碧缘,江湖戏,16,38,0.316667,0.47619,审判与恩怨关系,公案冤狱
01025002,宏碧缘,江湖戏,12,30,0.454545,0.118182,权力关系,除暴侠义
01025010,东宫扫雪,家庭戏,4,4,0.666667,0.666667,亲属关系,家庭亲情
01026004,黑驴告状,公案戏,12,34,0.515152,0.581818,审判与恩怨关系,公案冤狱
01026005,胭脂判,公案戏,9,28,0.777778,0.285714,亲属关系,家庭亲情
01026008,三结义,历史戏,17,49,0.360294,0.654167,同盟关系,家庭亲情
01027002,三门街,江湖戏,15,33,0.314286,0.461538,亲属关系,家庭亲情
01027003,三门街,江湖戏,20,66,0.347368,0.374269,亲属关系,除暴侠义
01027004,三门街,江湖戏,17,22,0.161765,0.3125,审判与恩怨关系,恩怨报偿
01027005,三门街,江湖戏,22,72,0.311688,0.233333,权力关系,政治权力
01027006,怒斩于神仙,神怪戏,14,38,0.417582,0.410256,审判与恩怨关系,宗教祥瑞
01027009,山海关,历史戏,15,38,0.361905,0.489011,冲突关系,战争武略
01027011,战潼台,历史戏,5,8,0.8,0.333333,亲属关系,家庭亲情
01027013,长生乐,家庭戏,16,66,0.55,0.438095,亲属关系,家庭亲情
01028001,童女斩蛇,公案戏,7,16,0.761905,0.333333,亲属关系,家庭亲情
01028002,九阳钟,江湖戏,32,141,0.284274,0.354839,婚恋关系,除暴侠义
01028005,磨房产子,家庭戏,0,0,0,0,婚恋关系,婚恋姻缘
01028006,蜈蚣岭,江湖戏,0,0,0,0,婚恋关系,除暴侠义
01028007,困曹府,历史戏,0,0,0,0,亲属关系,家庭亲情
01029002,关王庙,家庭戏,5,9,0.9,0.166667,权力关系,战争武略
01029004,九阳钟,江湖戏,35,153,0.257143,0.319964,婚恋关系,战争武略
01029005,普球山,江湖戏,13,60,0.769231,0.272727,亲属关系,除暴侠义
01029006,山海关,历史戏,19,56,0.327485,0.316993,权力关系,战争武略
01029007,吴汉杀妻,家庭戏,4,5,0.833333,0.333333,权力关系,政治权力
01030004,三雅园,公案戏,9,20,0.555556,0.571429,审判与恩怨关系,除暴侠义
01030006,山海关,历史戏,10,21,0.466667,0.527778,权力关系,政治权力
01030008,串珠记,公案戏,8,15,0.535714,0.238095,亲属关系,家庭亲情
01030009,贾政训子,家庭戏,9,25,0.694444,0.392857,亲属关系,礼教品格
01031002,牢狱鸳鸯,公案戏,15,52,0.495238,0.417582,婚恋关系,婚恋姻缘
01031006,莲花塘,神怪戏,9,10,0.277778,0.446429,亲属关系,家庭亲情
01031009,雍凉关,历史戏,7,11,0.52381,0.666667,权力关系,政治权力
01031010,选元戎,历史戏,9,26,0.722222,0.357143,权力关系,战争武略
01032002,连环套,江湖戏,12,22,0.333333,0.363636,冲突关系,除暴侠义
01032003,连环套,江湖戏,0,0,0,0,亲属关系,除暴侠义
01032005,新四十八扯,家庭戏,0,0,0,0,权力关系,政治权力
01032006,芙蓉诔,家庭戏,7,15,0.714286,0.4,亲属关系,家庭亲情
01032007,党人碑,公案戏,6,11,0.733333,0.4,权力关系,文人世情
01032008,白傅遣姬,家庭戏,0,0,0,0,权力关系,恩怨报偿
01032009,安五路,历史戏,7,13,0.619048,0.3,权力关系,政治权力
01033001,狸猫换太子,公案戏,23,85,0.335968,0.179654,审判与恩怨关系,公案冤狱
01033002,水漫金山寺,神怪戏,5,7,0.7,0.5,婚恋关系,宗教祥瑞
01034004,池水驿,家庭戏,0,0,0,0,婚恋关系,婚恋姻缘
01034007,艾孝子,家庭戏,8,18,0.642857,0.47619,亲属关系,家庭亲情
01034008,醋中醋,家庭戏,6,8,0.533333,0.4,亲属关系,家庭亲情
01035001,狸猫换太子,公案戏,11,27,0.490909,0.5,审判与恩怨关系,公案冤狱
01035003,宝玉出家,家庭戏,5,7,0.7,0.5,亲属关系,家庭亲情
01035004,新三娘教子,家庭戏,0,0,0,0,亲属关系,礼教品格
01035006,道州城,历史戏,9,24,0.666667,0.267857,审判与恩怨关系,战争武略
01035007,凤凰山,历史戏,4,5,0.833333,0.333333,同盟关系,战争武略
01036002,双龙会,历史戏,12,40,0.606061,0.363636,权力关系,战争武略
01036003,大香山,神怪戏,22,90,0.38961,0.566667,权力关系,宗教祥瑞
01036004,翠花宫,家庭戏,0,0,0,0,婚恋关系,婚恋姻缘
01036005,天女散花,神怪戏,0,0,0,0,亲属关系,家庭亲情
01037002,嫦娥奔月,神怪戏,1,0,0,0,亲属关系,宗教祥瑞
01037006,碧游宫,神怪戏,1,0,0,0,冲突关系,宗教祥瑞
01037008,打桃园,江湖戏,8,14,0.5,0.285714,婚恋关系,婚恋姻缘
01038001,珠帘寨,历史戏,8,21,0.75,0.333333,权力关系,战争武略
01038002,取南郡,历史戏,15,61,0.580952,0.401099,冲突关系,战争武略
01038003,芭蕉扇,神怪戏,5,7,0.7,0.5,权力关系,战争武略
01038007,五雷报,家庭戏,7,15,0.714286,0.4,亲属关系,宗教祥瑞
01038009,湘江会,历史戏,5,8,0.8,0.333333,审判与恩怨关系,恩怨报偿
01038010,宁武关,历史戏,4,5,0.833333,0.333333,冲突关系,战争武略
01039001,贩马记,公案戏,13,24,0.307692,0.424242,亲属关系,家庭亲情
01039002,玉门关,历史戏,9,11,0.305556,0.410714,冲突关系,战争武略
01039003,取南郡,历史戏,13,54,0.692308,0.363636,冲突关系,战争武略
01039005,戏姻缘,家庭戏,0,0,0,0,婚恋关系,婚恋姻缘
01039006,失金钗,家庭戏,6,8,0.533333,0.4,婚恋关系,婚恋姻缘
01040001,阎瑞生,公案戏,18,71,0.464052,0.536765,亲属关系,家庭亲情
01040003,馒头庵,家庭戏,5,9,0.9,0.166667,婚恋关系,战争武略
01040005,万花船,家庭戏,7,18,0.857143,0.2,婚恋关系,婚恋姻缘
01040007,郑恩做亲,历史戏,13,49,0.628205,0.340909,权力关系,政治权力
02001004,遐龄永祝,神怪戏,1,0,0,0,权力关系,宗教祥瑞
