剧本ID,剧本名称,剧目类别,角色总数,实际关系数,网络密度,度中心化,核心关系,核心主题
04003002,长坂坡,历史戏,5,9,0.9,0.166667,婚恋关系,战争武略
04003003,定军山,历史戏,7,15,0.714286,0.4,冲突关系,战争武略
04004001,玉堂春,公案戏,0,0,0,0,审判与恩怨关系,公案冤狱
04008002,十三妹,江湖戏,11,36,0.654545,0.3,亲属关系,家庭亲情
04011002,激权激瑜,历史戏,5,8,0.8,0.333333,权力关系,战争武略
04011003,思凡,家庭戏,1,0,0,0,亲属关系,宗教祥瑞
04011005,清风寨,历史戏,1,0,0,0,婚恋关系,除暴侠义
04012002,瓦口关,历史戏,7,19,0.904762,0.133333,冲突关系,战争武略
04012003,杨排风,历史戏,5,8,0.8,0.333333,冲突关系,战争武略
04013001,八大锤,历史戏,4,5,0.833333,0.333333,冲突关系,忠义家国
04013002,千里走单骑,历史戏,5,6,0.6,0.25,冲突关系,战争武略
04014002,岳家庄,历史戏,1,0,0,0,亲属关系,家庭亲情
04014003,艳阳楼,江湖戏,6,14,0.933333,0.1,权力关系,除暴侠义
04016001,甘露寺,历史戏,12,41,0.621212,0.454545,婚恋关系,战争武略
04017001,战太平,历史戏,7,18,0.857143,0.2,冲突关系,战争武略
04017002,审潘洪,公案戏,8,12,0.428571,0.761905,审判与恩怨关系,公案冤狱
04023001,武松,江湖戏,1,0,0,0,审判与恩怨关系,除暴侠义
04023002,武松打虎,江湖戏,1,0,0,0,冲突关系,除暴侠义
04024004,一箭仇,历史戏,1,0,0,0,审判与恩怨关系,除暴侠义
04025002,借赵云,历史戏,5,8,0.8,0.333333,冲突关系,战争武略
04026001,游园惊梦,家庭戏,5,3,0.3,0.75,亲属关系,文人世情
04027001,生死恨,家庭戏,13,34,0.435897,0.568182,婚恋关系,婚恋姻缘
04034001,双合印,公案戏,11,34,0.618182,0.466667,审判与恩怨关系,公案冤狱
04034002,贺后骂殿,历史戏,11,52,0.945455,0.066667,权力关系,政治权力
04034003,牛皋招亲,历史戏,9,28,0.777778,0.285714,婚恋关系,忠义家国
04037001,玉簪记,家庭戏,11,39,0.709091,0.233333,亲属关系,文人世情
04040002,打侄上坟,家庭戏,5,7,0.7,0.5,亲属关系,家庭亲情
04044001,春闺梦,家庭戏,13,63,0.807692,0.227273,冲突关系,战争武略
04049001,无底洞,神怪戏,17,66,0.485294,0.604167,亲属关系,宗教祥瑞
05002001,斩彭越,历史戏,4,5,0.833333,0.333333,冲突关系,战争武略
05002003,陈桥兵变,历史戏,1,0,0,0,权力关系,战争武略
05002005,金镛关,历史戏,1,0,0,0,权力关系,战争武略
05003001,临潼会,历史戏,1,0,0,0,权力关系,政治权力
05004005,袁吕结亲,历史戏,6,10,0.666667,0.5,婚恋关系,战争武略
05004007,七步吟,历史戏,1,0,0,0,权力关系,政治权力
05004009,富春江,历史戏,1,0,0,0,权力关系,政治权力
05006006,斩韩信,历史戏,5,8,0.8,0.333333,权力关系,政治权力
05007006,斩黄袍,历史戏,8,17,0.607143,0.333333,冲突关系,战争武略
05011002,鬼断家私,公案戏,1,0,0,0,亲属关系,家庭亲情
05012002,吴越春秋,历史戏,7,20,0.952381,0.066667,审判与恩怨关系,恩怨报偿
05013003,珍珠塔,家庭戏,2,0,0.0,0,婚恋关系,婚恋姻缘
05016001,双义节,历史戏,1,0,0,0,权力关系,政治权力
05018001,五彩舆,公案戏,6,4,0.266667,0.2,婚恋关系,婚恋姻缘
05018002,五彩舆,公案戏,6,11,0.733333,0.4,婚恋关系,婚恋姻缘
05018003,五彩舆,公案戏,5,6,0.6,0.666667,审判与恩怨关系,公案冤狱
05018004,五彩舆,公案戏,7,11,0.52381,0.433333,婚恋关系,婚恋姻缘
05018005,五彩舆,公案戏,8,16,0.571429,0.380952,婚恋关系,婚恋姻缘
05019001,五彩舆,公案戏,6,13,0.866667,0.2,冲突关系,战争武略
05019002,五彩舆,公案戏,5,7,0.7,0.5,审判与恩怨关系,战争武略
05019003,五彩舆,公案戏,5,6,0.6,0.666667,婚恋关系,战争武略
05019004,五彩舆,公案戏,5,8,0.8,0.333333,冲突关系,善恶转化
05020001,香莲帕,家庭戏,11,29,0.527273,0.455556,权力关系,政治权力
05021002,喜封侯,历史戏,5,7,0.7,0.5,权力关系,政治权力
05024012,柴桑口,历史戏,5,9,0.9,0.166667,冲突关系,战争武略
07002001,渡阴平,历史戏,9,25,0.694444,0.392857,亲属关系,家庭亲情
08002005,姚期,历史戏,21,93,0.442857,0.571053,亲属关系,家庭亲情
08005002,击鼓骂曹,历史戏,10,35,0.777778,0.277778,权力关系,礼教品格
08005006,双蛇斗,神怪戏,1,0,0,0,亲属关系,家庭亲情
09001002,宇宙锋,历史戏,7,19,0.904762,0.133333,权力关系,政治权力
09003003,卧龙吊孝,历史戏,12,51,0.772727,0.272727,同盟关系,礼教品格
09004003,断臂说书,历史戏,10,21,0.466667,0.541667,冲突关系,忠义家国
09006001,打严嵩,历史戏,6,14,0.933333,0.1,权力关系,政治权力
09006002,荒山泪,家庭戏,15,49,0.466667,0.615385,亲属关系,家庭亲情
09007001,生死恨,家庭戏,22,67,0.290043,0.521429,婚恋关系,婚恋姻缘
09008002,林冲夜奔,江湖戏,7,15,0.714286,0.666667,冲突关系,除暴侠义
10001032,珠帘寨,历史戏,10,26,0.577778,0.388889,冲突关系,战争武略
10002001,南天门,神怪戏,5,7,0.7,0.5,同盟关系,忠义家国
11001001,连环套,江湖戏,29,174,0.428571,0.345238,亲属关系,除暴侠义
11001003,殷家堡,江湖戏,15,62,0.590476,0.225275,权力关系,除暴侠义
13003007,二度梅·舟配,家庭戏,6,12,0.8,0.3,亲属关系,家庭亲情
13004002,洛阳桥·下海,神怪戏,1,0,0,0,审判与恩怨关系,恩怨报偿
13004003,安天会·偷桃,神怪戏,7,10,0.47619,0.5,亲属关系,宗教祥瑞
14001001,一捧雪,公案戏,8,25,0.892857,0.142857,亲属关系,家庭亲情
14001003,八大锤,历史戏,6,9,0.6,0.3,审判与恩怨关系,忠义家国
14001004,九更天,公案戏,10,27,0.6,0.361111,审判与恩怨关系,公案冤狱
14001005,丁甲山,江湖戏,10,32,0.711111,0.361111,亲属关系,除暴侠义
14002002,打渔杀家,江湖戏,5,8,0.8,0.333333,冲突关系,善恶转化
14002004,打棍出箱,神怪戏,7,10,0.47619,0.733333,权力关系,政治权力
14002005,打严嵩,历史戏,4,5,0.833333,0.333333,权力关系,政治权力
14002006,打龙袍,公案戏,8,23,0.821429,0.238095,审判与恩怨关系,公案冤狱
14002008,白门楼,历史戏,8,23,0.821429,0.238095,权力关系,政治权力
14003003,空城计,历史戏,10,25,0.555556,0.416667,冲突关系,战争武略
14007006,翠屏山,家庭戏,7,20,0.952381,0.1,亲属关系,家庭亲情
14009005,香妃恨,历史戏,0,0,0,0,权力关系,恩怨报偿
14014002,战宛城,历史戏,5,8,0.8,0.333333,冲突关系,战争武略
14016005,三搜索府,公案戏,1,0,0,0,权力关系,政治权力
14016006,白眉毛大闹高家店,江湖戏,1,0,0,0,审判与恩怨关系,公案冤狱
15013001,虎符救赵,历史戏,10,34,0.755556,0.305556,冲突关系,战争武略
70001101,四进士,公案戏,16,56,0.466667,0.380952,审判与恩怨关系,公案冤狱
70001102,打严嵩,历史戏,4,5,0.833333,0.333333,权力关系,政治权力
70001106,乌龙院,家庭戏,4,4,0.666667,0.666667,同盟关系,文人世情
70001111,文天祥,历史戏,11,23,0.418182,0.711111,权力关系,忠义家国
70001204,单刀赴会,历史戏,4,5,0.833333,0.333333,冲突关系,战争武略
70001310,明末遗恨,历史戏,13,51,0.653846,0.310606,权力关系,政治权力
70001311,打严嵩,公案戏,4,5,0.833333,0.333333,权力关系,政治权力
70002101,群英会·借东风,历史戏,20,95,0.5,0.44152,冲突关系,战争武略
70002102,甘露寺,历史戏,12,37,0.560606,0.536364,婚恋关系,战争武略
70002103,十老安刘,历史戏,31,200,0.430108,0.325287,权力关系,政治权力
70002104,串龙珠,历史戏,17,85,0.625,0.354167,亲属关系,家庭亲情
70002105,赵氏孤儿,历史戏,22,93,0.402597,0.447619,权力关系,政治权力
70002201,四进士,公案戏,23,93,0.367589,0.493506,审判与恩怨关系,公案冤狱
70002202,胭脂宝褶,历史戏,24,74,0.268116,0.563241,亲属关系,宗教祥瑞
70002203,二堂舍子,家庭戏,9,25,0.694444,0.392857,亲属关系,家庭亲情
70002205,清官册·夜审潘洪,公案戏,16,51,0.425,0.504762,审判与恩怨关系,公案冤狱
70003101,斩熊虎,历史戏,6,13,0.866667,0.2,审判与恩怨关系,公案冤狱
70003105,斩车胄,历史戏,6,12,0.8,0.3,权力关系,战争武略
70003107,赐袍赠马,历史戏,6,11,0.733333,0.4,婚恋关系,战争武略
70003108,白马坡,历史戏,9,24,0.666667,0.428571,冲突关系,战争武略
70003109,诛文丑,历史戏,5,8,0.8,0.333333,冲突关系,战争武略
70003113,过五关,历史戏,13,38,0.487179,0.606061,冲突关系,战争武略
70003114,收周仓,历史戏,7,9,0.428571,0.8,冲突关系,除暴侠义
70003115,古城会,历史戏,7,17,0.809524,0.266667,冲突关系,战争武略
70003117,收关平,历史戏,8,19,0.678571,0.428571,冲突关系,战争武略
70003118,火烧博望坡,历史戏,6,12,0.8,0.3,冲突关系,战争武略
70003119,汉津口,历史戏,8,23,0.821429,0.238095,冲突关系,战争武略
70003121,华容道,历史戏,9,21,0.583333,0.535714,冲突关系,战争武略
70003123,单刀会,历史戏,5,7,0.7,0.5,冲突关系,战争武略
70003124,取襄阳,历史戏,10,28,0.622222,0.472222,同盟关系,战争武略
70003127,走麦城,历史戏,8,17,0.607143,0.52381,冲突关系,战争武略
70004101,驱车战将,历史戏,1,0,0,0,冲突关系,战争武略
70004102,好鹤失政,历史戏,1,0,0,0,冲突关系,战争武略
70004103,陈十策,历史戏,1,0,0,0,权力关系,政治权力
70004104,绝龙岭,历史戏,1,0,0,0,权力关系,战争武略
70004106,二子乘舟,家庭戏,0,0,0,0,亲属关系,家庭亲情
70004109,走麦城,历史戏,17,58,0.426471,0.729167,冲突关系,战争武略
70004111,刀劈三关,历史戏,5,8,0.8,0.333333,权力关系,战争武略
70005106,马前泼水,家庭戏,6,6,0.4,0.6,婚恋关系,文人世情
70005110,哭祖庙,历史戏,5,5,0.5,0.833333,冲突关系,战争武略
70005114,骂阎罗,神怪戏,6,7,0.466667,0.8,亲属关系,家庭亲情
70005115,排王赞,历史戏,6,9,0.6,0.6,权力关系,政治权力
70006101,搜孤救孤,历史戏,4,5,0.833333,0.333333,亲属关系,家庭亲情
70006104,定军山,历史戏,7,12,0.571429,0.6,冲突关系,战争武略
70006105,失街亭·空城计·斩马谡,历史戏,4,4,0.666667,0.666667,冲突关系,战争武略
70006107,珠帘寨,历史戏,8,21,0.75,0.333333,冲突关系,战争武略
70006108,洪羊洞,历史戏,7,10,0.47619,0.733333,亲属关系,家庭亲情
70006109,乌盆记,公案戏,7,13,0.619048,0.533333,审判与恩怨关系,公案冤狱
70006110,战太平,历史戏,6,13,0.866667,0.2,冲突关系,战争武略
70006112,御碑亭,家庭戏,5,9,0.9,0.166667,婚恋关系,文人世情
70201105,天女散花,神怪戏,0,0,0,0,亲属关系,家庭亲情
70201110,生死恨,家庭戏,12,31,0.469697,0.527273,婚恋关系,婚恋姻缘
70201203,西施,历史戏,8,21,0.75,0.333333,审判与恩怨关系,恩怨报偿
70201204,穆桂英挂帅,历史戏,11,40,0.727273,0.333333,亲属关系,家庭亲情
70202101,红拂传,江湖戏,4,5,0.833333,0.333333,婚恋关系,婚恋姻缘
70202103,鸳鸯冢,家庭戏,10,25,0.555556,0.416667,婚恋关系,婚恋姻缘
70202104,青霜剑,公案戏,6,11,0.733333,0.4,审判与恩怨关系,礼教品格
70202105,窦娥冤,公案戏,8,20,0.714286,0.380952,亲属关系,家庭亲情
70202106,碧玉簪,家庭戏,7,19,0.904762,0.133333,婚恋关系,婚恋姻缘
70202109,荒山泪,家庭戏,8,19,0.678571,0.238095,亲属关系,家庭亲情
70202110,春闺梦,家庭戏,7,17,0.809524,0.266667,冲突关系,战争武略
70202111,亡蜀鉴,历史戏,1,0,0,0,婚恋关系,善恶转化
70202112,锁麟囊,家庭戏,17,124,0.911765,0.1,婚恋关系,礼教品格
70203101,花田错,家庭戏,12,48,0.727273,0.327273,婚恋关系,婚恋姻缘
70203102,辛安驿,江湖戏,7,18,0.857143,0.2,婚恋关系,婚恋姻缘
70203103,元宵谜,家庭戏,13,42,0.538462,0.44697,亲属关系,文人世情
70203104,香罗带,家庭戏,10,27,0.6,0.361111,审判与恩怨关系,公案冤狱
70203105,钗头凤,家庭戏,12,48,0.727273,0.327273,婚恋关系,婚恋姻缘
70203106,杜十娘,家庭戏,7,18,0.857143,0.2,婚恋关系,文人世情
70203107,红楼二尤,家庭戏,17,79,0.580882,0.3375,婚恋关系,婚恋姻缘
70203108,勘玉钏,公案戏,15,68,0.647619,0.406593,婚恋关系,婚恋姻缘
70203109,红娘,家庭戏,11,47,0.854545,0.177778,婚恋关系,婚恋姻缘
70203111,金玉奴,家庭戏,10,31,0.688889,0.388889,婚恋关系,婚恋姻缘
70203112,卓文君,家庭戏,8,25,0.892857,0.142857,婚恋关系,文人世情
70203201,大英杰烈,江湖戏,12,43,0.651515,0.418182,亲属关系,家庭亲情
70203202,玉堂春,公案戏,0,0,0,0,审判与恩怨关系,公案冤狱
70203203,绣襦记,家庭戏,8,23,0.821429,0.238095,亲属关系,家庭亲情
70203204,霍小玉,家庭戏,9,25,0.694444,0.392857,婚恋关系,文人世情
70204106,渔夫恨,江湖戏,6,13,0.866667,0.2,权力关系,政治权力
70204107,桃花扇,历史戏,13,70,0.897436,0.121212,权力关系,政治权力
70401101,荆轲传,历史戏,1,0,0,0,审判与恩怨关系,恩怨报偿
70401110,飞虎梦,历史戏,8,21,0.75,0.333333,冲突关系,忠义家国
70402101,铡判官,公案戏,12,33,0.5,0.490909,审判与恩怨关系,公案冤狱
70402102,铡美案,公案戏,8,17,0.607143,0.52381,审判与恩怨关系,公案冤狱
70402104,除三害,家庭戏,7,17,0.809524,0.266667,冲突关系,除暴侠义
70601101,赤壁鏖兵,历史戏,6,12,0.8,0.3,冲突关系,战争武略
70601102,赤壁鏖兵,历史戏,6,13,0.866667,0.2,冲突关系,战争武略
70601104,赤壁鏖兵,历史戏,10,38,0.844444,0.194444,冲突关系,战争武略
70601105,赤壁鏖兵,历史戏,9,26,0.722222,0.357143,冲突关系,战争武略
70601106,赤壁鏖兵,历史戏,4,4,0.666667,0.666667,冲突关系,战争武略
70601107,赤壁鏖兵,历史戏,6,9,0.6,0.6,冲突关系,战争武略
70601108,赤壁鏖兵,历史戏,4,5,0.833333,0.333333,冲突关系,战争武略
70601110,变羊记,家庭戏,5,9,0.9,0.166667,亲属关系,家庭亲情
70801119,西厢记,家庭戏,5,7,0.7,0.5,婚恋关系,婚恋姻缘
70801120,谢瑶环,历史戏,17,82,0.602941,0.45,审判与恩怨关系,除暴侠义
70802106,青霞丹雪,历史戏,18,85,0.555556,0.367647,亲属关系,家庭亲情
70804101,满江红,历史戏,8,20,0.714286,0.380952,权力关系,忠义家国
70805101,锁麟囊,家庭戏,17,124,0.911765,0.1,婚恋关系,婚恋姻缘
70805104,大闹天宫,神怪戏,4,3,0.5,0.333333,权力关系,善恶转化
70805105,响马传,江湖戏,28,260,0.687831,0.336182,冲突关系,除暴侠义
70805106,西门豹,公案戏,8,22,0.785714,0.285714,亲属关系,战争武略
70805901,李逵探母,家庭戏,5,7,0.7,0.5,亲属关系,除暴侠义
70901104,昊天塔·会兄,历史戏,4,4,0.666667,0.666667,亲属关系,家庭亲情
70901115,宝剑记·夜奔,历史戏,1,0,0,0,同盟关系,除暴侠义
70901117,清忠谱·五人义,历史戏,14,74,0.813187,0.128205,权力关系,除暴侠义
70901118,麒麟阁·三挡,历史戏,4,5,0.833333,0.333333,权力关系,战争武略
70901133,桃花扇·和战,历史戏,5,8,0.8,0.333333,冲突关系,战争武略
70901144,兴唐传·御果园,历史戏,9,28,0.777778,0.285714,冲突关系,战争武略
70901145,列国传·棋盘会,历史戏,11,51,0.927273,0.088889,婚恋关系,战争武略
70901147,奏朝草诏,历史戏,5,8,0.8,0.333333,权力关系,政治权力
70902110,牡丹亭·惊梦,神怪戏,4,4,0.666667,0.666667,亲属关系,文人世情
70902112,牡丹亭·拾画,家庭戏,1,0,0,0,亲属关系,文人世情
70902113,牡丹亭·叫画,家庭戏,1,0,0,0,婚恋关系,文人世情
70902121,玉簪记·秋江,家庭戏,6,14,0.933333,0.1,亲属关系,家庭亲情
70902129,长生殿·惊变,历史戏,4,5,0.833333,0.333333,权力关系,政治权力
70902134,孽海记·思凡,家庭戏,1,0,0,0,冲突关系,宗教祥瑞
70902141,风云会·访普,历史戏,7,17,0.809524,0.266667,权力关系,政治权力
70902142,四声猿·骂曹,神怪戏,5,7,0.7,0.5,权力关系,礼教品格
70902159,金雀记·乔醋,家庭戏,4,5,0.833333,0.333333,权力关系,文人世情
70902162,疗妒羹·题曲,家庭戏,1,0,0,0,审判与恩怨关系,文人世情
70902170,白罗衫·游园,公案戏,4,4,0.666667,0.666667,审判与恩怨关系,公案冤狱
70902176,铁冠图·撞钟,历史戏,6,10,0.666667,0.5,权力关系,政治权力
70904208,西游记·胖姑学舌,家庭戏,1,0,0,0,亲属关系,宗教祥瑞
70904214,九莲灯·焚宫烧狱,神怪戏,1,0,0,0,权力关系,宗教祥瑞
80000001,四郎探母,家庭戏,10,23,0.511111,0.611111,亲属关系,家庭亲情
80000003,打龙袍,公案戏,6,13,0.866667,0.2,审判与恩怨关系,公案冤狱
80000005,火牛阵,历史戏,11,28,0.509091,0.477778,权力关系,战争武略
80000006,清官册,公案戏,5,7,0.7,0.5,审判与恩怨关系,公案冤狱
80000007,李陵碑,历史戏,4,3,0.5,0.333333,冲突关系,公案冤狱
80000008,哭灵牌,历史戏,1,0,0,0,冲突关系,恩怨报偿
80000011,白帝城,历史戏,7,20,0.952381,0.066667,冲突关系,战争武略
80000013,野猪林,江湖戏,9,26,0.722222,0.357143,审判与恩怨关系,除暴侠义
80000015,官渡之战,历史戏,11,29,0.527273,0.455556,冲突关系,战争武略
80000018,奇冤报,神怪戏,5,8,0.8,0.333333,审判与恩怨关系,公案冤狱
80000019,打严嵩,公案戏,4,5,0.833333,0.333333,权力关系,政治权力
80000020,长坂坡,历史戏,11,30,0.545455,0.433333,冲突关系,战争武略
80000021,文姬归汉,历史戏,8,15,0.535714,0.428571,权力关系,文人世情
80000022,辕门斩子,家庭戏,8,23,0.821429,0.238095,亲属关系,家庭亲情
80000023,桃花村,江湖戏,11,49,0.890909,0.133333,婚恋关系,婚恋姻缘
80000026,桃花扇,历史戏,13,67,0.858974,0.166667,权力关系,政治权力
80000027,三顾茅庐,历史戏,10,31,0.688889,0.388889,同盟关系,战争武略
80000028,四郎探母,家庭戏,11,29,0.527273,0.577778,亲属关系,家庭亲情
80000029,战樊城,历史戏,8,18,0.642857,0.285714,亲属关系,战争武略
80000036,借赵云,历史戏,5,8,0.8,0.333333,冲突关系,战争武略
80000038,樊江关,家庭戏,6,12,0.8,0.3,冲突关系,战争武略
90000001,红线盗盒,江湖戏,1,0,0,0,冲突关系,除暴侠义
90000007,花木兰,历史戏,17,40,0.294118,0.445833,同盟关系,忠义家国
90000008,双阳公主,历史戏,6,12,0.8,0.3,冲突关系,战争武略
90000009,罗成,历史戏,8,12,0.428571,0.761905,冲突关系,战争武略
90000021,困曹府,神怪戏,4,5,0.833333,0.333333,冲突关系,宗教祥瑞
94000001,别宫祭江,历史戏,2,3,3.0,0,婚恋关系,恩怨报偿
94000002,海瑞上疏,历史戏,27,161,0.458689,0.584615,权力关系,政治权力
94000004,柳荫记,家庭戏,10,29,0.644444,0.444444,婚恋关系,婚恋姻缘
