剧本id,剧本名称,事件/场次ID【阶段】,顺序编号,表演形式密度,冲突强度,情绪强度,角色活跃度,关系变化次数,综合剧情强度,关键事件摘要
01001001,空城计,第一场【开端】,1,5.8,0.0,4.5,10.0,0,5.08,诸葛亮布置空城计
01001001,空城计,第二场【发展】,2,1.28,0.0,0.0,3.0,0,1.07,司马懿疑虑重重
01001001,空城计,第三场【发展】,3,0.34,0.0,0.0,1.5,0,0.46,司马懿退兵
01001001,空城计,第四场【高潮】,4,10.0,2.5,10.0,10.0,0,8.12,司马懿决定进攻
01001001,空城计,第五场【高潮】,5,4.16,0.0,0.0,6.0,0,2.54,司马懿撤军
01001001,空城计,第六场【结局】,6,0.98,0.0,0.0,3.0,0,0.99,诸葛亮成功迷惑司马懿
01001002,洪羊洞,第一场【开端】,1,2.84,0.0,0.0,1.5,0,1.08,主角登场，初步设定背景
01001002,洪羊洞,第二场【发展】,2,10.0,0.0,4.5,6.0,2,5.12,多角色互动，情节推进
01001002,洪羊洞,第三场【发展】,3,3.64,0.0,0.0,3.0,1,1.66,两角色对话，深化剧情
01001002,洪羊洞,第四场【发展】,4,2.36,0.0,0.0,1.5,0,0.96,主角独白，内心活动
01001002,洪羊洞,第五场【发展】,5,2.36,0.0,0.0,1.5,0,0.96,主角独白，内心活动
01001002,洪羊洞,第六场【发展】,6,1.96,0.0,0.0,4.5,1,1.61,三角色互动，冲突加剧
01001002,洪羊洞,第七场【高潮】,7,9.52,0.0,3.0,4.5,2,4.25,激烈冲突，剧情转折
01001002,洪羊洞,第八场【高潮】,8,10.0,0.0,3.0,4.5,1,4.38,紧张对峙，悬念迭起
01001002,洪羊洞,第九场【高潮】,9,5.22,0.0,1.5,3.0,1,2.43,情感爆发，关系转变
01001002,洪羊洞,第十场【结局】,10,10.0,0.0,10.0,9.0,2,7.25,大场面收尾，剧情完结
01001003,三娘教子,第一场(自动推断)【高潮】,1,10.0,0.0,10.0,4.5,0,6.12,剧情推进
01001004,乌盆计,第一场【开端】,1,10.0,0.0,7.5,4.5,0,5.5,主要角色登场，背景介绍
01001004,乌盆计,第二场【结局】,2,10.0,5.0,6.0,6.0,0,6.75,剧情推进
01001005,打鼓骂曹,第一场【开端】,1,0.32,0.0,3.0,1.5,0,1.21,曹操与祢衡初次交锋
01001005,打鼓骂曹,第二场【发展】,2,10.0,0.0,10.0,6.0,1,6.5,祢衡击鼓骂曹，激怒曹操
01001005,打鼓骂曹,第三场【发展】,3,2.44,0.0,3.0,1.5,0,1.73,祢衡继续挑衅，加深矛盾
01001005,打鼓骂曹,第四场【高潮】,4,10.0,10.0,10.0,10.0,1,10.0,曹操决定处决祢衡
07002001,渡阴平,第一场【开端】,1,10.0,0.0,10.0,9.0,0,7.25,角色互动，初步设定剧情背景
07002001,渡阴平,第二场【发展】,2,7.04,2.5,10.0,6.0,0,6.38,角色间对话深入，情节推进
07002001,渡阴平,第三场【发展】,3,8.54,2.5,6.0,10.0,0,6.76,多角色冲突，情节复杂化
07002001,渡阴平,第四场【发展】,4,2.34,0.0,4.5,7.5,0,3.58,角色间对话揭示重要信息
07002001,渡阴平,第五场【发展】,5,6.6,2.5,10.0,3.0,1,5.53,两角色对话，情感或立场转变
07002001,渡阴平,第六场【发展】,6,10.0,0.0,10.0,6.0,0,6.5,角色间激烈讨论，冲突升级
07002001,渡阴平,第七场【发展】,7,5.28,0.0,10.0,7.5,0,5.7,角色间对话，推动剧情进展
07002001,渡阴平,第八场【发展】,8,4.14,5.0,3.0,10.0,0,5.54,角色间对话，揭示更多背景
07002001,渡阴平,第九场【高潮】,9,10.0,0.0,10.0,10.0,0,7.5,角色间对话，剧情达到紧张点
07002001,渡阴平,第十场【高潮】,10,7.62,0.0,1.5,3.0,0,3.03,角色间对话，紧张局势持续
07002001,渡阴平,第十一场【高潮】,11,1.74,0.0,0.0,6.0,0,1.94,角色间对话，紧张局势继续
07002001,渡阴平,第十二场【高潮】,12,0.8,0.0,0.0,3.0,0,0.95,角色间对话，紧张局势加剧
07002001,渡阴平,第十三场【高潮】,13,1.58,0.0,0.0,6.0,0,1.9,角色间对话，紧张局势持续
07002001,渡阴平,第十五场【高潮】,14,4.18,0.0,0.0,6.0,0,2.54,角色间对话，紧张局势继续
07002001,渡阴平,第十六场【高潮】,15,5.04,2.5,6.0,7.5,0,5.26,角色间对话，紧张局势持续
07002001,渡阴平,第十七场【高潮】,16,1.28,2.5,0.0,3.0,0,1.7,角色间对话，紧张局势缓解
07002001,渡阴平,第十八场【结局】,17,1.26,0.0,0.0,4.5,0,1.44,角色间对话，剧情走向结束
07004002,霸王遇虞姬,第一场【开端】,1,1.78,0.0,1.5,4.5,0,1.95,角色初次互动，奠定基调
07004002,霸王遇虞姬,第二场【发展】,2,1.42,0.0,0.0,4.5,1,1.48,深入探讨，情感升温
07004002,霸王遇虞姬,第三场【发展】,3,8.48,0.0,3.0,4.5,1,4.0,冲突加剧，情绪波动
07004002,霸王遇虞姬,第四场【发展】,4,1.78,0.0,3.0,3.0,0,1.95,紧张对话，悬念增加
07004002,霸王遇虞姬,第五场【发展】,5,2.32,0.0,0.0,1.5,0,0.95,独白揭示内心
07004002,霸王遇虞姬,第六场【发展】,6,3.78,0.0,1.5,6.0,1,2.82,多方交涉，局势复杂化
07004002,霸王遇虞姬,第七场【发展】,7,10.0,0.0,1.5,6.0,0,4.38,策略讨论，决策制定
07004002,霸王遇虞姬,第八场【发展】,8,2.28,0.0,4.5,1.5,0,2.07,反思与决定
07004002,霸王遇虞姬,第九场【发展】,9,5.2,0.0,1.5,4.5,0,2.8,情感交流加深
07004002,霸王遇虞姬,第十场【发展】,10,0.2,0.0,3.0,1.5,0,1.18,内心挣扎，决心坚定
07004002,霸王遇虞姬,第十一场【发展】,11,8.18,2.5,3.0,3.0,0,4.17,秘密会议，计划成型
07004002,霸王遇虞姬,第十二场【发展】,12,6.92,0.0,1.5,4.5,0,3.23,重要对话，立场明确
07004002,霸王遇虞姬,第十三场【高潮】,13,10.0,0.0,1.5,7.5,1,4.75,重大冲突爆发
07004002,霸王遇虞姬,第十四场【高潮】,14,0.32,0.0,0.0,1.5,0,0.46,关键抉择
07004002,霸王遇虞姬,第十五场【高潮】,15,3.92,0.0,0.0,7.5,0,2.85,紧张对峙，局势逆转
07004002,霸王遇虞姬,第十六场【高潮】,16,1.32,0.0,0.0,4.5,0,1.46,情感宣泄，关系转折
07004002,霸王遇虞姬,第十七场【高潮】,17,0.58,0.0,0.0,3.0,0,0.9,简短但深刻
07004002,霸王遇虞姬,第十八场【高潮】,18,0.48,0.0,0.0,1.5,0,0.49,内心独白，情感释放
07004002,霸王遇虞姬,第十九场【高潮】,19,5.24,0.0,10.0,4.5,0,4.94,情感高潮，关系深化
07004002,霸王遇虞姬,第二十场【高潮】,20,5.24,2.5,1.5,7.5,0,4.19,紧张局势，决策时刻
07004002,霸王遇虞姬,第二十一场【高潮】,21,3.52,5.0,0.0,4.5,0,3.25,情感宣誓，关系确认
07004002,霸王遇虞姬,第二十二场【高潮】,22,10.0,0.0,3.0,3.0,0,4.0,最终对决，命运抉择
