character_id,play_id,name,trade,raw_trade,standard_trade,major_trade,role_level,role_level_label,network_rank,role_order,scene_count,speech_count,mention_count,text_length,importance,scene_ids,primary_scene_id,linked_theme_ids,linked_themes
char_5bd9ab7d33,01004001,汉献帝,老生,,老生,生,major,主要人物,4,1,4,38,47,1516,0.4671,"[""01004001_scene_03"", ""01004001_scene_04"", ""01004001_scene_08"", ""01004001_scene_10""]",01004001_scene_03,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
char_f3810a5819,01004001,曹操,净,,净,净,core,核心人物,1,2,6,88,110,3520,1,"[""01004001_scene_02"", ""01004001_scene_03"", ""01004001_scene_04"", ""01004001_scene_07"", ""01004001_scene_09"", ""01004001_scene_10""]",01004001_scene_02,"[""theme_power"", ""theme_war""]","[""权谋斗争"", ""战争征伐""]"
char_374304c741,01004001,伏后,旦,,旦,旦,major,主要人物,5,3,5,14,43,764,0.2993,"[""01004001_scene_04"", ""01004001_scene_07"", ""01004001_scene_08"", ""01004001_scene_09"", ""01004001_scene_10""]",01004001_scene_04,"[""theme_women""]","[""女性命运""]"
char_f4f2a7d2a5,01004001,曹妃,旦,,旦,旦,minor,次要人物,14,4,3,10,17,436,0.1645,"[""01004001_scene_04"", ""01004001_scene_08"", ""01004001_scene_10""]",01004001_scene_04,"[""theme_women""]","[""女性命运""]"
char_0eed08a290,01004001,穆顺,老生,生,老生,生,core,核心人物,2,5,6,47,77,2026,0.6316,"[""01004001_scene_04"", ""01004001_scene_05"", ""01004001_scene_06"", ""01004001_scene_07"", ""01004001_scene_09"", ""01004001_scene_10""]",01004001_scene_04,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
char_d31af1963e,01004001,二皇子,小生,娃娃生,小生,生,minor,次要人物,15,6,2,4,14,232,0.0987,"[""01004001_scene_08"", ""01004001_scene_10""]",01004001_scene_08,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
char_3a14353798,01004001,伏完,老生,生,老生,生,minor,次要人物,16,7,1,6,8,244,0.0789,"[""01004001_scene_05""]",01004001_scene_05,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
char_371bd8c4c9,01004001,华歆,丑,,丑,丑,major,主要人物,3,8,6,40,71,1768,0.5559,"[""01004001_scene_02"", ""01004001_scene_03"", ""01004001_scene_07"", ""01004001_scene_08"", ""01004001_scene_09"", ""01004001_scene_10""]",01004001_scene_02,"[""theme_power""]","[""权谋斗争""]"
char_fc0452451c,01004001,司马懿,老生,,老生,生,major,主要人物,6,9,5,21,30,870,0.2862,"[""01004001_scene_02"", ""01004001_scene_03"", ""01004001_scene_07"", ""01004001_scene_09"", ""01004001_scene_10""]",01004001_scene_02,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
char_ef2470268b,01004001,贾诩,老生,,老生,生,minor,次要人物,8,10,2,19,23,754,0.2204,"[""01004001_scene_02"", ""01004001_scene_03""]",01004001_scene_02,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
char_9293a66f56,01004001,郄虑,净,,净,净,minor,次要人物,13,11,2,14,18,564,0.1711,"[""01004001_scene_02"", ""01004001_scene_03""]",01004001_scene_02,"[""theme_power"", ""theme_war""]","[""权谋斗争"", ""战争征伐""]"
char_5f515736d9,01004001,王粲,老生,生,老生,生,minor,次要人物,11,12,2,15,19,602,0.1809,"[""01004001_scene_02"", ""01004001_scene_03""]",01004001_scene_02,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
char_2051f692a9,01004001,曹植,小生,,小生,生,minor,次要人物,10,13,2,16,20,640,0.1908,"[""01004001_scene_02"", ""01004001_scene_03""]",01004001_scene_02,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
char_0a8b880df0,01004001,文聘,老生,生,老生,生,minor,次要人物,12,14,2,15,19,602,0.1809,"[""01004001_scene_02"", ""01004001_scene_03""]",01004001_scene_02,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
char_13010376c1,01004001,夏侯渊,净,,净,净,major,主要人物,7,15,4,20,28,824,0.2632,"[""01004001_scene_02"", ""01004001_scene_03"", ""01004001_scene_06"", ""01004001_scene_07""]",01004001_scene_02,"[""theme_power"", ""theme_war""]","[""权谋斗争"", ""战争征伐""]"
char_edcb7fdd8b,01004001,张辽,老生,生,老生,生,minor,次要人物,9,16,3,16,21,648,0.2039,"[""01004001_scene_01"", ""01004001_scene_02"", ""01004001_scene_03""]",01004001_scene_01,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
char_5df3a7f526,01012004,胜英,老生,生,老生,生,core,核心人物,1,1,10,92,127,3776,1,"[""01012004_scene_01"", ""01012004_scene_02"", ""01012004_scene_03"", ""01012004_scene_04"", ""01012004_scene_05"", ""01012004_scene_06"", ""01012004_scene_12"", ""01012004_scene_13"", ""01012004_scene_14"", ""01012004_scene_15""]",01012004_scene_01,"[""theme_loyalty""]","[""忠义家国""]"
char_f854a868ec,01012004,韩秀,老生,生,老生,生,core,核心人物,2,2,7,28,42,1176,0.3666,"[""01012004_scene_06"", ""01012004_scene_08"", ""01012004_scene_09"", ""01012004_scene_12"", ""01012004_scene_13"", ""01012004_scene_14"", ""01012004_scene_15""]",01012004_scene_06,"[""theme_loyalty""]","[""忠义家国""]"
char_b2ff5b6b94,01012004,和尚,丑,,丑,丑,minor,次要人物,11,3,1,14,19,572,0.1613,"[""01012004_scene_06""]",01012004_scene_06,"[""theme_comedy"", ""theme_trial""]","[""公案审判"", ""市井滑稽""]"
char_6c4056dd77,01012004,胡闹,丑,,丑,丑,minor,次要人物,14,4,1,9,12,366,0.1085,"[""01012004_scene_07""]",01012004_scene_07,"[""theme_comedy"", ""theme_trial""]","[""公案审判"", ""市井滑稽""]"
char_528fa58a93,01012004,荀攸,丑,,丑,丑,minor,次要人物,15,5,1,7,10,290,0.088,"[""01012004_scene_07""]",01012004_scene_07,"[""theme_comedy"", ""theme_trial""]","[""公案审判"", ""市井滑稽""]"
char_630e467223,01012004,黄三泰,武生,,武生,生,major,主要人物,4,6,5,29,44,1222,0.349,"[""01012004_scene_02"", ""01012004_scene_03"", ""01012004_scene_04"", ""01012004_scene_05"", ""01012004_scene_15""]",01012004_scene_02,"[""theme_loyalty"", ""theme_chivalry""]","[""复仇侠义"", ""忠义家国""]"
char_e5f6b8a40a,01012004,杨香武,武生,,武生,生,major,主要人物,3,7,8,26,43,1124,0.3519,"[""01012004_scene_02"", ""01012004_scene_05"", ""01012004_scene_06"", ""01012004_scene_07"", ""01012004_scene_10"", ""01012004_scene_11"", ""01012004_scene_12"", ""01012004_scene_13""]",01012004_scene_02,"[""theme_loyalty"", ""theme_chivalry""]","[""复仇侠义"", ""忠义家国""]"
char_22b51c72dc,01012004,武万年,武生,,武生,生,major,主要人物,5,8,4,27,37,1106,0.3021,"[""01012004_scene_02"", ""01012004_scene_03"", ""01012004_scene_04"", ""01012004_scene_05""]",01012004_scene_02,"[""theme_loyalty"", ""theme_chivalry""]","[""复仇侠义"", ""忠义家国""]"
char_228580aa21,01012004,崔通,武生,,武生,生,minor,次要人物,8,9,4,24,32,976,0.2698,"[""01012004_scene_01"", ""01012004_scene_03"", ""01012004_scene_05"", ""01012004_scene_06""]",01012004_scene_01,"[""theme_loyalty"", ""theme_chivalry""]","[""复仇侠义"", ""忠义家国""]"
char_746f0417fa,01012004,秦尤,武生,,武生,生,major,主要人物,6,10,6,21,39,942,0.2903,"[""01012004_scene_01"", ""01012004_scene_02"", ""01012004_scene_03"", ""01012004_scene_04"", ""01012004_scene_05"", ""01012004_scene_06""]",01012004_scene_01,"[""theme_loyalty"", ""theme_chivalry""]","[""复仇侠义"", ""忠义家国""]"
char_e67d49fc6b,01012004,咎士雄,武生,,武生,生,major,主要人物,7,11,4,25,33,1014,0.2786,"[""01012004_scene_01"", ""01012004_scene_03"", ""01012004_scene_05"", ""01012004_scene_06""]",01012004_scene_01,"[""theme_loyalty"", ""theme_chivalry""]","[""复仇侠义"", ""忠义家国""]"
char_ce90917009,01012004,李刚,武生,,武生,生,minor,次要人物,10,12,6,9,22,446,0.1701,"[""01012004_scene_02"", ""01012004_scene_03"", ""01012004_scene_05"", ""01012004_scene_06"", ""01012004_scene_08"", ""01012004_scene_12""]",01012004_scene_02,"[""theme_loyalty"", ""theme_chivalry""]","[""复仇侠义"", ""忠义家国""]"
char_c6f88e3626,01012004,李志龙,武生,,武生,生,minor,次要人物,9,13,5,13,23,574,0.1877,"[""01012004_scene_02"", ""01012004_scene_03"", ""01012004_scene_04"", ""01012004_scene_05"", ""01012004_scene_06""]",01012004_scene_02,"[""theme_loyalty"", ""theme_chivalry""]","[""复仇侠义"", ""忠义家国""]"
char_58d44bc5d2,01012004,杨俊,武生,,武生,生,minor,次要人物,12,14,4,11,18,474,0.1525,"[""01012004_scene_02"", ""01012004_scene_03"", ""01012004_scene_04"", ""01012004_scene_05""]",01012004_scene_02,"[""theme_loyalty"", ""theme_chivalry""]","[""复仇侠义"", ""忠义家国""]"
char_8ed02c4fe8,01012004,韩韬英,旦,,旦,旦,minor,次要人物,17,15,1,7,9,282,0.0762,"[""01012004_scene_09""]",01012004_scene_09,"[""theme_chivalry""]","[""复仇侠义""]"
char_18bd033d0f,01012004,小桃,花旦,,花旦,旦,minor,次要人物,13,16,1,13,23,574,0.1525,"[""01012004_scene_09""]",01012004_scene_09,"[""theme_comedy""]","[""市井滑稽""]"
char_019e07d9cb,01012004,高大鹏,净,,净,净,minor,次要人物,16,17,3,4,10,200,0.0792,"[""01012004_scene_08"", ""01012004_scene_12"", ""01012004_scene_15""]",01012004_scene_08,"[""theme_chivalry""]","[""复仇侠义""]"
char_5765b8dea6,01012004,李豹,武生,,武生,生,minor,次要人物,18,18,2,2,5,100,0.044,"[""01012004_scene_08"", ""01012004_scene_12""]",01012004_scene_08,"[""theme_loyalty"", ""theme_chivalry""]","[""复仇侠义"", ""忠义家国""]"
char_a9d869411c,01040005,张小莲,花旦,,花旦,旦,major,主要人物,3,1,6,49,67,2006,0.4872,"[""01040005_scene_01"", ""01040005_scene_04"", ""01040005_scene_06"", ""01040005_scene_07"", ""01040005_scene_10"", ""01040005_scene_14""]",01040005_scene_01,"[""theme_love"", ""theme_women""]","[""婚恋情缘"", ""女性命运""]"
char_9ece7821a2,01040005,甘习文,小生,,小生,生,core,核心人物,1,2,9,106,151,4388,1,"[""01040005_scene_02"", ""01040005_scene_03"", ""01040005_scene_05"", ""01040005_scene_06"", ""01040005_scene_08"", ""01040005_scene_10"", ""01040005_scene_12"", ""01040005_scene_13"", ""01040005_scene_14""]",01040005_scene_02,"[""theme_love""]","[""婚恋情缘""]"
char_4753bacca3,01040005,张二莲,旦,二旦,旦,旦,minor,次要人物,8,3,5,21,30,870,0.2359,"[""01040005_scene_01"", ""01040005_scene_04"", ""01040005_scene_07"", ""01040005_scene_13"", ""01040005_scene_14""]",01040005_scene_01,"[""theme_women"", ""theme_love""]","[""婚恋情缘"", ""女性命运""]"
char_561db21d7e,01040005,张济,老生,,老生,生,core,核心人物,2,4,6,56,64,2192,0.5077,"[""01040005_scene_01"", ""01040005_scene_04"", ""01040005_scene_07"", ""01040005_scene_11"", ""01040005_scene_13"", ""01040005_scene_14""]",01040005_scene_01,"[""theme_family""]","[""家庭伦理""]"
char_471ed1dfa7,01040005,张夫人,老旦,,老旦,旦,minor,次要人物,6,5,5,31,39,1242,0.3051,"[""01040005_scene_01"", ""01040005_scene_04"", ""01040005_scene_11"", ""01040005_scene_13"", ""01040005_scene_14""]",01040005_scene_01,"[""theme_family"", ""theme_women""]","[""女性命运"", ""家庭伦理""]"
char_d1ce281751,01040005,蔡炳,丑,,丑,丑,minor,次要人物,7,6,5,25,41,1078,0.2769,"[""01040005_scene_03"", ""01040005_scene_05"", ""01040005_scene_06"", ""01040005_scene_07"", ""01040005_scene_09""]",01040005_scene_03,"[""theme_comedy""]","[""市井滑稽""]"
char_8b70b310ec,01040005,海棠花,花旦,彩旦,花旦,旦,major,主要人物,5,7,2,37,53,1534,0.3436,"[""01040005_scene_13"", ""01040005_scene_14""]",01040005_scene_13,"[""theme_love"", ""theme_women""]","[""婚恋情缘"", ""女性命运""]"
char_942777213b,01040005,观音,旦,,旦,旦,major,主要人物,4,8,3,42,49,1652,0.3641,"[""01040005_scene_10"", ""01040005_scene_12"", ""01040005_scene_13""]",01040005_scene_10,"[""theme_women"", ""theme_love""]","[""婚恋情缘"", ""女性命运""]"
char_f3f578e2ad,01040005,甘氏,老旦,,老旦,旦,minor,次要人物,10,9,1,6,8,244,0.059,"[""01040005_scene_02""]",01040005_scene_02,"[""theme_family"", ""theme_women""]","[""女性命运"", ""家庭伦理""]"
char_804853c6b5,01040005,店家,丑,,丑,丑,minor,次要人物,9,10,4,15,27,666,0.1769,"[""01040005_scene_03"", ""01040005_scene_05"", ""01040005_scene_06"", ""01040005_scene_10""]",01040005_scene_03,"[""theme_comedy""]","[""市井滑稽""]"
char_42107f58d6,02008006,刘承佑,老生,,老生,生,core,核心人物,1,1,12,147,176,5818,1,"[""02008006_scene_01"", ""02008006_scene_04"", ""02008006_scene_08"", ""02008006_scene_09"", ""02008006_scene_13"", ""02008006_scene_15"", ""02008006_scene_16"", ""02008006_scene_17"", ""02008006_scene_18"", ""02008006_scene_19"", ""02008006_scene_20"", ""02008006_scene_22""]",02008006_scene_01,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
char_945af2d6ee,02008006,刘瑞莲,旦,,旦,旦,core,核心人物,2,2,7,108,139,4352,0.7549,"[""02008006_scene_06"", ""02008006_scene_07"", ""02008006_scene_08"", ""02008006_scene_13"", ""02008006_scene_14"", ""02008006_scene_20"", ""02008006_scene_22""]",02008006_scene_06,"[""theme_women""]","[""女性命运""]"
char_e8f1182c6b,02008006,苏妃,旦,,旦,旦,major,主要人物,3,3,6,70,92,2836,0.504,"[""02008006_scene_04"", ""02008006_scene_05"", ""02008006_scene_07"", ""02008006_scene_08"", ""02008006_scene_13"", ""02008006_scene_20""]",02008006_scene_04,"[""theme_women""]","[""女性命运""]"
char_416840313a,02008006,苏逢吉,净,,净,净,major,主要人物,4,4,14,60,87,2496,0.5,"[""02008006_scene_01"", ""02008006_scene_02"", ""02008006_scene_03"", ""02008006_scene_05"", ""02008006_scene_06"", ""02008006_scene_09"", ""02008006_scene_12"", ""02008006_scene_13"", ""02008006_scene_14"", ""02008006_scene_16"", ""02008006_scene_17"", ""02008006_scene_18"", ""02008006_scene_20"", ""02008006_scene_22""]",02008006_scene_01,"[""theme_power"", ""theme_war""]","[""权谋斗争"", ""战争征伐""]"
char_d704060299,02008006,郭彦威,老生,,老生,生,major,主要人物,5,5,12,34,75,1620,0.3597,"[""02008006_scene_01"", ""02008006_scene_02"", ""02008006_scene_03"", ""02008006_scene_08"", ""02008006_scene_09"", ""02008006_scene_11"", ""02008006_scene_12"", ""02008006_scene_13"", ""02008006_scene_16"", ""02008006_scene_20"", ""02008006_scene_21"", ""02008006_scene_22""]",02008006_scene_01,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
char_909ee59582,02008006,王朴,末,,末,末,minor,次要人物,10,6,2,16,22,656,0.1225,"[""02008006_scene_02"", ""02008006_scene_03""]",02008006_scene_02,"[""theme_power""]","[""权谋斗争""]"
char_53048a0372,02008006,史彦超,武生,,武生,生,minor,次要人物,9,7,3,21,28,854,0.1581,"[""02008006_scene_02"", ""02008006_scene_03"", ""02008006_scene_11""]",02008006_scene_02,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
char_d73c72a05a,02008006,柴荣,小生,,小生,生,minor,次要人物,14,8,1,14,15,540,0.0909,"[""02008006_scene_03""]",02008006_scene_03,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
char_ab23c290e6,02008006,韩通,净,,净,净,minor,次要人物,11,9,1,16,23,664,0.1146,"[""02008006_scene_03""]",02008006_scene_03,"[""theme_power"", ""theme_war""]","[""权谋斗争"", ""战争征伐""]"
char_382070ef90,02008006,孟业,末,,末,末,minor,次要人物,15,10,2,12,15,480,0.0889,"[""02008006_scene_01"", ""02008006_scene_03""]",02008006_scene_01,"[""theme_power""]","[""权谋斗争""]"
char_2d81db9dad,02008006,杨邠,老生,,老生,生,minor,次要人物,8,11,7,18,30,780,0.1719,"[""02008006_scene_01"", ""02008006_scene_09"", ""02008006_scene_12"", ""02008006_scene_16"", ""02008006_scene_17"", ""02008006_scene_18"", ""02008006_scene_20""]",02008006_scene_01,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
char_2bb46abcd4,02008006,王章,末,,末,末,minor,次要人物,18,12,2,6,8,244,0.0514,"[""02008006_scene_01"", ""02008006_scene_09""]",02008006_scene_01,"[""theme_power""]","[""权谋斗争""]"
char_8f58850346,02008006,苏夫人,老旦,,老旦,旦,minor,次要人物,17,13,1,8,10,320,0.0573,"[""02008006_scene_05""]",02008006_scene_05,"[""theme_women""]","[""女性命运""]"
char_6b9907d850,02008006,慕容彦超,净,,净,净,minor,次要人物,13,14,4,9,19,422,0.0968,"[""02008006_scene_09"", ""02008006_scene_10"", ""02008006_scene_11"", ""02008006_scene_12""]",02008006_scene_09,"[""theme_power"", ""theme_war""]","[""权谋斗争"", ""战争征伐""]"
char_06cfef4e20,02008006,高庆,丑,,丑,丑,major,主要人物,6,15,9,31,52,1346,0.2787,"[""02008006_scene_13"", ""02008006_scene_14"", ""02008006_scene_15"", ""02008006_scene_16"", ""02008006_scene_17"", ""02008006_scene_18"", ""02008006_scene_19"", ""02008006_scene_20"", ""02008006_scene_22""]",02008006_scene_13,"[""theme_power""]","[""权谋斗争""]"
char_eb9e809c02,02008006,王福,丑,,丑,丑,major,主要人物,7,16,5,26,43,1124,0.2174,"[""02008006_scene_14"", ""02008006_scene_18"", ""02008006_scene_19"", ""02008006_scene_20"", ""02008006_scene_22""]",02008006_scene_14,"[""theme_power""]","[""权谋斗争""]"
char_10190e497e,02008006,张端,末,,末,末,minor,次要人物,12,17,3,12,19,512,0.1028,"[""02008006_scene_13"", ""02008006_scene_14"", ""02008006_scene_21""]",02008006_scene_13,"[""theme_power""]","[""权谋斗争""]"
char_cf6cec5844,02008006,赵普,老生,,老生,生,minor,次要人物,16,18,2,6,12,276,0.0593,"[""02008006_scene_14"", ""02008006_scene_19""]",02008006_scene_14,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
char_28c2fffc20,04008002,何玉凤,旦,,旦,旦,core,核心人物,2,1,11,143,186,5778,0.9481,"[""04008002_scene_04"", ""04008002_scene_08"", ""04008002_scene_10"", ""04008002_scene_11"", ""04008002_scene_15"", ""04008002_scene_17"", ""04008002_scene_18"", ""04008002_scene_19"", ""04008002_scene_20"", ""04008002_scene_21"", ""04008002_scene_22""]",04008002_scene_04,"[""theme_women"", ""theme_love""]","[""女性命运"", ""婚恋情缘""]"
char_9e364f3c74,04008002,安骥,小生,,小生,生,core,核心人物,1,2,12,151,202,6146,1,"[""04008002_scene_01"", ""04008002_scene_03"", ""04008002_scene_05"", ""04008002_scene_07"", ""04008002_scene_08"", ""04008002_scene_09"", ""04008002_scene_11"", ""04008002_scene_14"", ""04008002_scene_16"", ""04008002_scene_18"", ""04008002_scene_21"", ""04008002_scene_22""]",04008002_scene_01,"[""theme_love""]","[""婚恋情缘""]"
char_36008bff4d,04008002,张金凤,旦,,旦,旦,major,主要人物,5,3,4,34,60,1500,0.2685,"[""04008002_scene_13"", ""04008002_scene_20"", ""04008002_scene_21"", ""04008002_scene_22""]",04008002_scene_13,"[""theme_women"", ""theme_love""]","[""女性命运"", ""婚恋情缘""]"
char_9ae7a5d92b,04008002,华忠,老生,,老生,生,minor,次要人物,7,4,4,32,45,1320,0.2315,"[""04008002_scene_01"", ""04008002_scene_03"", ""04008002_scene_05"", ""04008002_scene_07""]",04008002_scene_01,"[""theme_chivalry""]","[""复仇侠义""]"
char_343ef6252d,04008002,白脸狼,丑,,丑,丑,major,主要人物,3,5,11,67,96,2778,0.4926,"[""04008002_scene_02"", ""04008002_scene_03"", ""04008002_scene_05"", ""04008002_scene_06"", ""04008002_scene_07"", ""04008002_scene_08"", ""04008002_scene_09"", ""04008002_scene_10"", ""04008002_scene_11"", ""04008002_scene_14"", ""04008002_scene_16""]",04008002_scene_02,"[""theme_trial"", ""theme_chivalry""]","[""复仇侠义"", ""公案审判""]"
char_c623e8faa8,04008002,黄傻狗,丑,,丑,丑,major,主要人物,4,6,11,54,83,2284,0.4185,"[""04008002_scene_02"", ""04008002_scene_03"", ""04008002_scene_05"", ""04008002_scene_06"", ""04008002_scene_07"", ""04008002_scene_08"", ""04008002_scene_09"", ""04008002_scene_10"", ""04008002_scene_11"", ""04008002_scene_14"", ""04008002_scene_16""]",04008002_scene_02,"[""theme_trial"", ""theme_chivalry""]","[""复仇侠义"", ""公案审判""]"
char_ef5c19ce75,04008002,黑风僧,净,,净,净,minor,次要人物,6,7,4,35,43,1394,0.2333,"[""04008002_scene_12"", ""04008002_scene_13"", ""04008002_scene_16"", ""04008002_scene_18""]",04008002_scene_12,"[""theme_chivalry""]","[""复仇侠义""]"
char_47c9bb3b22,04008002,虎面僧,净,,净,净,minor,次要人物,11,8,3,11,19,482,0.0926,"[""04008002_scene_12"", ""04008002_scene_16"", ""04008002_scene_19""]",04008002_scene_12,"[""theme_chivalry""]","[""复仇侠义""]"
char_16669c5613,04008002,赛西施,丑,,丑,丑,minor,次要人物,8,9,3,33,50,1390,0.2315,"[""04008002_scene_12"", ""04008002_scene_13"", ""04008002_scene_20""]",04008002_scene_12,"[""theme_trial"", ""theme_chivalry""]","[""复仇侠义"", ""公案审判""]"
char_6aaa919478,04008002,张乐世,老生,,老生,生,minor,次要人物,9,10,5,26,46,1148,0.2093,"[""04008002_scene_13"", ""04008002_scene_19"", ""04008002_scene_20"", ""04008002_scene_21"", ""04008002_scene_22""]",04008002_scene_13,"[""theme_chivalry""]","[""复仇侠义""]"
char_6ac8c42935,04008002,张妈妈,老旦,,老旦,旦,minor,次要人物,10,11,4,19,29,802,0.1463,"[""04008002_scene_13"", ""04008002_scene_20"", ""04008002_scene_21"", ""04008002_scene_22""]",04008002_scene_13,"[""theme_women""]","[""女性命运""]"
